49, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1894,45, Cuba, >50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
44, Federal-gov, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,80, Jamaica, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
28, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Farming-fishing, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Dominican-Republic, >50K
76, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,6, Germany, <=50K
57, Private, Some-college, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,7298,0,20, Canada, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Thailand, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,24, Puerto-Rico, >50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,20789,0,54, El-Salvador, >50K
47, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Greece, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, Guatemala, >50K
43, State-gov, HS-grad, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
27, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,2680,0,35, Japan, >50K
36, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
20, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Mexico, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Poland, <=50K
23, Local-gov, 12th, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, England, <=50K
21, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Hong, <=50K
22, Local-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Japan, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Cuba, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,35, Ecuador, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, India, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
61, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,17428,0,40, Cuba, >50K
25, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Jamaica, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, South, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
39, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Ecuador, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,29, Canada, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Greece, >50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
56, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
36, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,6, Italy, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
76, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, Other, Female,0,0,32, France, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Japan, >50K
61, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
58, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, Other, Female,15024,0,32, Ecuador, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Cuba, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
29, Private, 11th, Never-married, Craft-repair, Wife, White, Female,2391,0,12, South, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,70, Canada, <=50K
30, Private, Some-college, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
35, Private, Masters, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Ireland, >50K
38, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,54, Trinadad&Tobago, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,0,0,54, Trinadad&Tobago, >50K
44, Private, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,40, Columbia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
43, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,52, Hong, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,1887,20, Taiwan, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Guatemala, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Canada, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, England, >50K
40, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, South, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,61, South, <=50K
31, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,7048,0,60, Scotland, >50K
36, Private, HS-grad, Separated, Tech-support, Husband, White, Female,0,0,40, France, <=50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, China, >50K
28, Local-gov, Assoc-acdm, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Thailand, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,2230,0,40, Portugal, <=50K
38, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Thailand, >50K
39, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,50, England, <=50K
43, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, Thailand, <=50K
25, Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,35, Taiwan, <=50K
36, State-gov, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,72, Guatemala, <=50K
29, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,16, Ecuador, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Greece, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Female,0,0,40, Portugal, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, Other, Male,0,0,35, Taiwan, <=50K
59, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Other, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Scotland, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
90, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,24, Taiwan, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Portugal, >50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,3903,0,40, Outlying-US(Guam-USVI-etc), >50K
68, State-gov, Some-college, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, India, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
41, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Taiwan, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,15, El-Salvador, >50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
29, Private, 10th, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
47, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, Italy, <=50K
31, Private, HS-grad, Separated, Farming-fishing, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
21, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, <=50K
24, Private, Bachelors, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,7, Guatemala, <=50K
49, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Ireland, >50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,35, Honduras, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,40, Jamaica, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Haiti, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, >50K
67, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Laos, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,45, Thailand, >50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,80, India, >50K
50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,35, Honduras, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Philippines, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Italy, >50K
56, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,29, Ecuador, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Wife, Other, Male,0,0,25, Portugal, <=50K
25, Private, HS-grad, Separated, Transport-moving, Unmarried, Black, Female,0,0,40, Iran, <=50K
27, Private, 10th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,30, Iran, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, South, <=50K
40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Peru, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Mexico, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,25, Guatemala, <=50K
78, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,395,0,20, El-Salvador, <=50K
62, Federal-gov, 9th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
36, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Mexico, >50K
31, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Philippines, >50K
49, Private, Some-college, Separated, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, >50K
19, Private, HS-grad, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,1887,30, Ecuador, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
23, Local-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
51, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
47, Private, Some-college, Separated, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, Honduras, >50K
22, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,30, South, <=50K
41, State-gov, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,54, Yugoslavia, >50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Honduras, >50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,25, Trinadad&Tobago, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
31, Private, Masters, Never-married, Sales, Own-child, Other, Male,0,0,50, Columbia, <=50K
36, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Haiti, <=50K
30, Private, Masters, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, Nicaragua, >50K
63, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,50, Iran, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4065,0,40, Puerto-Rico, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, <=50K
65, Private, Bachelors, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, Italy, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cambodia, <=50K
63, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1977,97, Mexico, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, Haiti, <=50K
43, Local-gov, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Canada, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,7687,0,45, South, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, Iran, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, South, <=50K
44, Private, Some-college, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,11, Vietnam, <=50K
34, Federal-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Outlying-US(Guam-USVI-etc), >50K
17, Self-emp-not-inc, 10th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,15, Japan, <=50K
31, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Germany, <=50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Italy, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,13, Nicaragua, <=50K
60, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,2399,40, Iran, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Peru, <=50K
47, Private, 7th-8th, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Greece, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Scotland, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, South, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, India, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Iran, >50K
42, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,877,40, Hong, <=50K
53, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, >50K
29, Private, Bachelors, Separated, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,64, India, <=50K
72, Local-gov, 5th-6th, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Honduras, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
17, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, Greece, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Mexico, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,10498,0,50, South, >50K
55, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
63, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, India, <=50K
71, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5013,0,40, Yugoslavia, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Haiti, <=50K
45, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Other, Male,0,0,30, Ireland, <=50K
