45, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
53, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1670,40, United-States, >50K
39, Private, Some-college, Separated, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,8, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Guatemala, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,42, United-States, >50K
50, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
35, State-gov, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,1, United-States, <=50K
64, Private, Prof-school, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Local-gov, 9th, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
50, Private, Masters, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
26, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
48, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,81624,0,35, United-States, >50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
48, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, >50K
61, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,24187,0,40, United-States, >50K
56, Private, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Other-relative, White, Male,0,0,35, United-States, >50K
39, Local-gov, 11th, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,36, United-States, <=50K
19, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,54, United-States, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, Some-college, Divorced, Machine-op-inspct, Wife, White, Female,4064,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1977,60, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Wife, Black, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private, 7th-8th, Divorced, Tech-support, Wife, White, Female,0,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,20, United-States, >50K
40, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,20, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,20, United-States, <=50K
26, Private, HS-grad, Separated, Tech-support, Wife, White, Female,0,0,15, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, Bachelors, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,0,10, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
63, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
58, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, United-States, >50K
52, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,20, United-States, <=50K
50, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,7687,0,54, United-States, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
51, Private, Some-college, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
41, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,7298,0,40, United-States, <=50K
26, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Laos, <=50K
48, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
60, Private, Masters, Separated, Farming-fishing, Husband, White, Male,0,0,86, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3158,0,40, United-States, <=50K
34, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, Yugoslavia, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1890,40, Canada, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
56, Federal-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,2155,65, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,10, United-States, <=50K
48, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,465,0,10, Ecuador, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,1740,40, United-States, <=50K
34, Private, Assoc-acdm, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,40, Philippines, <=50K
51, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, >50K
20, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Federal-gov, Some-college, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,54, Canada, >50K
32, Private, Masters, Divorced, Craft-repair, Wife, White, Female,13192,0,50, United-States, >50K
21, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,1887,38, United-States, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1848,40, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Honduras, >50K
36, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,36, United-States, <=50K
55, Private, 9th, Widowed, Farming-fishing, Wife, White, Female,0,0,35, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,7298,0,45, United-States, >50K
40, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Widowed, Prof-specialty, Own-child, Black, Female,0,0,20, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Mexico, <=50K
26, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
48, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
43, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Separated, Craft-repair, Wife, Black, Female,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,30, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Male,7687,0,45, Hong, >50K
18, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
29, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,1750,40, United-States, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, Iran, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,78, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Self-emp-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, >50K
49, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,80, China, <=50K
44, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,7298,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2174,0,5, United-States, <=50K
35, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,35, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, Thailand, >50K
27, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,0,0,50, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
53, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,36, United-States, <=50K
