48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,48, Cuba, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,38, Ecuador, <=50K
37, Self-emp-inc, Assoc-voc, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,45, India, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
61, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15205,0,40, Dominican-Republic, >50K
25, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, Jamaica, <=50K
20, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Female,0,0,24, Japan, <=50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Taiwan, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,43, Thailand, <=50K
38, Private, 12th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,30, Canada, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, Taiwan, <=50K
31, Private, Masters, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,60, Greece, <=50K
33, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Haiti, >50K
36, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,50, Puerto-Rico, <=50K
69, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,8, Jamaica, <=50K
66, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,4054,0,40, India, <=50K
76, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,32, France, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Japan, >50K
61, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, Columbia, <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
59, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,15024,0,35, Ecuador, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Taiwan, <=50K
20, Private, Masters, Never-married, Tech-support, Own-child, Black, Male,0,0,35, Dominican-Republic, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Germany, <=50K
28, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,3527,0,15, Taiwan, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Canada, <=50K
30, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Female,0,0,44, Honduras, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,60, Ireland, >50K
38, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,0,0,54, United-States, <=50K
33, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, Trinadad&Tobago, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Columbia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,54, Hong, >50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1495,20, Thailand, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Other, Male,0,0,45, Guatemala, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,20, China, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,48, England, >50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Taiwan, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,65, Taiwan, <=50K
31, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,60, South, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, China, >50K
27, Federal-gov, 1st-4th, Divorced, Sales, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, Thailand, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,5989,0,40, Portugal, <=50K
38, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
39, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, England, <=50K
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
21, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, Thailand, >50K
25, Self-emp-not-inc, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Thailand, <=50K
36, Without-pay, Prof-school, Never-married, Protective-serv, Husband, White, Male,0,0,73, Guatemala, <=50K
29, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,16, El-Salvador, <=50K
41, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, Greece, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, Taiwan, <=50K
59, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Doctorate, Separated, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, South, <=50K
26, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Male,0,0,60, Philippines, <=50K
90, Private, 7th-8th, Widowed, Prof-specialty, Husband, Black, Female,0,0,30, Thailand, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, China, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Portugal, <=50K
54, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,7298,0,40, Peru, <=50K
68, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, India, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Laos, <=50K
41, Local-gov, 9th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,60, Thailand, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,15, El-Salvador, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,30, Germany, <=50K
42, Local-gov, Masters, Divorced, Transport-moving, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, Italy, <=50K
31, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, Peru, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, >50K
24, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,8, Haiti, <=50K
49, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,48, Italy, >50K
21, Local-gov, 10th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Hong, <=50K
17, Local-gov, 10th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Laos, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cuba, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, <=50K
32, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, Haiti, <=50K
42, Self-emp-inc, HS-grad, Married-spouse-absent, Sales, Husband, White, Female,0,0,45, Dominican-Republic, <=50K
68, Local-gov, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,20, Hong, <=50K
34, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
55, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Laos, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Other-relative, Black, Male,0,1902,45, Trinadad&Tobago, <=50K
30, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,80, Iran, >50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
48, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, Assoc-acdm, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,36, Honduras, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,15, Philippines, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Italy, >50K
56, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, Peru, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Vietnam, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Iran, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Ecuador, <=50K
56, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,25, Portugal, >50K
25, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,40, Iran, <=50K
27, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, Ireland, <=50K
40, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, <=50K
39, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, Peru, >50K
41, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Nicaragua, >50K
23, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,25, Guatemala, <=50K
70, Private, Masters, Widowed, Sales, Husband, White, Male,7298,0,38, El-Salvador, <=50K
62, Federal-gov, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, India, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Mexico, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Scotland, >50K
33, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, Philippines, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Thailand, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Laos, >50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,1653,30, Ecuador, <=50K
65, Private, Some-college, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,35, Peru, >50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Thailand, <=50K
51, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,40, Iran, <=50K
46, Private, Some-college, Never-married, Protective-serv, Husband, White, Female,0,0,40, Hong, >50K
22, Private, Masters, Never-married, Transport-moving, Wife, White, Male,0,0,35, Taiwan, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Male,0,0,35, Canada, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, Hong, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,29, United-States, <=50K
50, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, Columbia, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, Haiti, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,70, Outlying-US(Guam-USVI-etc), <=50K
63, Private, HS-grad, Widowed, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, Iran, <=50K
44, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,5320,0,40, Scotland, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Honduras, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1974,40, Yugoslavia, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Italy, >50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1267,97, Laos, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,48, Haiti, <=50K
42, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Japan, >50K
23, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, Laos, <=50K
53, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Canada, >50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Scotland, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,7687,0,45, Taiwan, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,45, Iran, <=50K
42, Private, 5th-6th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, >50K
40, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Taiwan, >50K
42, Private, Some-college, Separated, Protective-serv, Wife, Black, Female,0,0,10, Vietnam, <=50K
34, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, Outlying-US(Guam-USVI-etc), >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,16, Laos, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, Greece, >50K
25, Private, 9th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Italy, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
58, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1977,40, Iran, >50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
47, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
23, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Guatemala, <=50K
34, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, South, >50K
21, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Taiwan, <=50K
39, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,99999,0,40, India, >50K
31, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, Ireland, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1902,40, Hungary, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala, <=50K
29, Self-emp-inc, Bachelors, Separated, Sales, Husband, Black, Male,0,0,65, India, <=50K
70, Local-gov, 5th-6th, Divorced, Farming-fishing, Husband, White, Male,0,0,15, Columbia, <=50K
51, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, Honduras, >50K
34, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Honduras, <=50K
17, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,20, Hong, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Greece, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Nicaragua, >50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,12909,0,50, Taiwan, >50K
55, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Scotland, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, <=50K
71, Private, Assoc-voc, Widowed, Exec-managerial, Wife, Black, Male,0,0,35, Taiwan, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,6322,0,40, Yugoslavia, <=50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, Haiti, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,30, Ireland, <=50K
35, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,1975,48, Canada, >50K
48, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,48, Portugal, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, Poland, >50K
42, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,1887,40, United-States, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,37, Poland, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,54, South, <=50K
61, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,10330,0,40, Vietnam, >50K
19, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,15, El-Salvador, <=50K
51, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,30, Jamaica, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, Iran, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,24, Iran, <=50K
43, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,51, Cambodia, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Hong, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Greece, <=50K
