26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Local-gov, Some-college, Never-married, Protective-serv, Wife, Black, Male,15024,0,50, United-States, <=50K
42, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,1740,40, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
44, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,9891,0,40, United-States, <=50K
55, State-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Separated, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,32, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
58, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Tech-support, Unmarried, Black, Female,0,0,46, Mexico, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, State-gov, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,20, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
62, Local-gov, 7th-8th, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,29, United-States, <=50K
32, Private, HS-grad, Separated, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
48, State-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, 10th, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,29, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,29, United-States, <=50K
67, Private, HS-grad, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,29, United-States, <=50K
41, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,47, United-States, <=50K
41, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
37, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,9150,0,40, United-States, <=50K
50, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,50, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,7, United-States, <=50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3233,0,50, United-States, <=50K
27, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,20, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-spouse-absent, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Male,27750,0,36, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,4876,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
30, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,7, United-States, >50K
25, State-gov, Bachelors, Married-civ-spouse, Other-service, Other-relative, Black, Female,0,0,29, United-States, >50K
58, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
22, Private, Assoc-voc, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
34, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,8168,0,40, United-States, >50K
42, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,29, United-States, >50K
34, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,29, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,3324,0,48, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
43, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,1777,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Married-spouse-absent, Transport-moving, Wife, White, Male,0,0,35, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, India, <=50K
27, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States, <=50K
53, Self-emp-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,7687,0,40, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
38, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,14091,0,40, Yugoslavia, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,86, United-States, >50K
66, Private, Some-college, Widowed, Tech-support, Not-in-family, White, Female,0,0,25, China, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Widowed, Tech-support, Unmarried, White, Male,763,0,40, United-States, <=50K
29, Private, Assoc-voc, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Jamaica, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,3948,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2419,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
26, Self-emp-not-inc, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,29, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,1740,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Philippines, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
44, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
35, Private, Bachelors, Separated, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
25, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,99999,0,40, United-States, >50K
67, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, >50K
42, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, 11th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,32, United-States, <=50K
49, Private, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,64, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,25, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,72025,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, Columbia, <=50K
69, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,42, United-States, <=50K
33, Federal-gov, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,29, United-States, <=50K
44, Private, Some-college, Widowed, Sales, Wife, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,1563,40, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,3, United-States, <=50K
