26, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,10496,0,50, Dominican-Republic, >50K
27, Private, Doctorate, Never-married, Prof-specialty, Own-child, White, Male,0,1720,40, Japan, <=50K
58, Private, Some-college, Separated, Prof-specialty, Unmarried, Black, Female,0,0,40, France, <=50K
22, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Mexico, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
39, Federal-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, England, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hungary, >50K
35, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
33, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, White, Male,0,0,72, Japan, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Hong, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
45, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,50, Cuba, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
36, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, India, <=50K
27, Private, Some-college, Divorced, Other-service, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Dominican-Republic, >50K
29, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
23, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Japan, >50K
29, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, >50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
35, Private, 11th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Canada, >50K
55, Self-emp-not-inc, Masters, Divorced, Other-service, Wife, White, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,15, Thailand, >50K
61, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,30, Greece, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Poland, >50K
19, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Haiti, <=50K
21, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, Portugal, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
48, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, France, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Germany, <=50K
40, Self-emp-not-inc, Prof-school, Married-spouse-absent, Farming-fishing, Wife, White, Female,0,2434,42, Ireland, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,30, Laos, <=50K
37, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,14083,0,40, Jamaica, >50K
71, Private, Bachelors, Divorced, Machine-op-inspct, Wife, White, Female,0,0,15, Ecuador, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,2174,0,42, Taiwan, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, Dominican-Republic, <=50K
48, Private, HS-grad, Married-spouse-absent, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
39, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, South, >50K
45, Local-gov, 9th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Canada, <=50K
30, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
37, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Ireland, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
21, Private, Assoc-voc, Never-married, Protective-serv, Own-child, White, Male,4164,0,50, Trinadad&Tobago, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, China, <=50K
26, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Hong, <=50K
27, Private, Masters, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, Taiwan, <=50K
36, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
38, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4948,0,45, Canada, <=50K
34, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
32, Private, Doctorate, Divorced, Other-service, Unmarried, White, Female,0,0,60, Taiwan, >50K
31, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Taiwan, >50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, <=50K
34, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Scotland, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, France, <=50K
38, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,5013,0,74, Columbia, >50K
33, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, Jamaica, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,6340,0,45, Trinadad&Tobago, >50K
50, Private, Some-college, Separated, Sales, Unmarried, Black, Female,0,0,45, Portugal, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
33, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,12, England, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
63, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, Thailand, <=50K
27, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, <=50K
37, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Female,0,0,60, Greece, <=50K
56, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, Puerto-Rico, <=50K
43, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, Taiwan, <=50K
73, Private, Prof-school, Widowed, Other-service, Not-in-family, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,65, Portugal, <=50K
23, State-gov, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, Scotland, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Peru, <=50K
42, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Taiwan, <=50K
40, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,44, China, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Portugal, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,20, Peru, >50K
64, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
35, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, Japan, <=50K
24, Local-gov, 5th-6th, Never-married, Other-service, Unmarried, White, Female,0,0,54, Thailand, <=50K
55, Private, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,27, El-Salvador, <=50K
60, State-gov, Masters, Widowed, Prof-specialty, Wife, White, Female,0,0,40, Honduras, >50K
42, Private, 10th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Germany, <=50K
26, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, Italy, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
49, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Peru, >50K
42, Private, Prof-school, Never-married, Priv-house-serv, Own-child, White, Female,0,0,30, Columbia, <=50K
35, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Haiti, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Italy, >50K
35, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hong, <=50K
52, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Peru, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Haiti, >50K
63, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Guatemala, <=50K
51, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,35, Dominican-Republic, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, Hong, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,10, Jamaica, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,44, Trinadad&Tobago, <=50K
29, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,40, Laos, <=50K
54, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
64, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,40, Thailand, <=50K
21, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, India, <=50K
23, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,27, Cuba, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, Vietnam, <=50K
42, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,70, Honduras, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, Jamaica, >50K
62, Private, 7th-8th, Divorced, Sales, Unmarried, Black, Female,0,0,35, Peru, <=50K
42, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
34, Private, Masters, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,65, Iran, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
46, Private, Prof-school, Widowed, Prof-specialty, Unmarried, White, Female,0,0,35, Portugal, >50K
33, Private, Bachelors, Separated, Sales, Wife, White, Female,0,0,50, Iran, >50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, Ireland, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Peru, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Guatemala, <=50K
44, Private, Prof-school, Widowed, Sales, Not-in-family, White, Female,0,2440,40, El-Salvador, <=50K
24, Local-gov, 10th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,20, Iran, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, Mexico, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Puerto-Rico, >50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,32, Philippines, <=50K
42, Private, Some-college, Never-married, Other-service, Wife, Amer-Indian-Eskimo, Female,0,0,30, Thailand, >50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
48, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,43, Philippines, >50K
60, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Iran, <=50K
52, Private, Some-college, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,17, Honduras, <=50K
46, Private, Masters, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,45, Taiwan, <=50K
35, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, Canada, >50K
43, Private, Doctorate, Divorced, Exec-managerial, Husband, White, Male,7687,0,50, Hong, >50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Guatemala, <=50K
45, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Columbia, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, <=50K
61, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
37, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,35, Nicaragua, <=50K
46, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Iran, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,48, Scotland, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Hong, >50K
28, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Italy, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, Haiti, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
40, Local-gov, Some-college, Separated, Sales, Unmarried, Black, Female,0,0,35, Japan, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, Canada, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Scotland, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, South, <=50K
66, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Wife, White, Female,0,0,40, Iran, <=50K
61, Local-gov, 5th-6th, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Taiwan, >50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, Vietnam, <=50K
29, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Greece, >50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7298,0,54, Italy, <=50K
47, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Nicaragua, >50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,20, Iran, <=50K
50, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, Philippines, <=50K
41, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Ireland, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4623,0,40, China, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Greece, <=50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, South, >50K
41, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,48, South, <=50K
21, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, India, <=50K
19, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Male,0,0,35, Ireland, <=50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Hong, <=50K
42, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, Guatemala, <=50K
31, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Black, Female,0,0,50, India, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2073,54, Columbia, >50K
58, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,0,0,30, Honduras, >50K
27, Private, 9th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Honduras, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, Hong, >50K
32, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,2886,0,49, Greece, <=50K
73, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,6, Nicaragua, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, Taiwan, >50K
47, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, Scotland, <=50K
27, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1786,30, Iran, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,50, Taiwan, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Haiti, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Italy, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Canada, <=50K
46, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Portugal, >50K
67, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Poland, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
67, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Poland, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, South, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,35, Vietnam, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, El-Salvador, <=50K
51, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,36, Japan, >50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, Iran, >50K
59, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Iran, >50K
61, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Ecuador, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cambodia, >50K
50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,80, Hong, <=50K
49, Self-emp-inc, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Greece, <=50K
35, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, Honduras, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1683,38, Hungary, >50K
31, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,40, Taiwan, <=50K
53, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,15, Dominican-Republic, <=50K
