48, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
34, Local-gov, Assoc-acdm, Divorced, Other-service, Wife, White, Female,0,0,35, Mexico, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,48, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1882,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
57, Private, 9th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Guatemala, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,38, United-States, <=50K
64, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
28, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,84, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico, <=50K
52, Local-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Iran, <=50K
52, Private, Some-college, Separated, Other-service, Wife, White, Female,0,1756,5, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,3290,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
42, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1977,60, United-States, <=50K
30, Private, Bachelors, Never-married, Sales, Wife, Black, Female,0,0,40, India, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,23, United-States, <=50K
72, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
43, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,2554,0,40, Puerto-Rico, >50K
49, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
50, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,27, United-States, <=50K
34, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1249,40, United-States, <=50K
47, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,76, United-States, >50K
31, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, State-gov, Masters, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
39, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,2, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, Italy, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
42, State-gov, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,50, United-States, <=50K
38, Private, Masters, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, United-States, <=50K
53, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
59, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,33, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
52, Federal-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3722,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Assoc-voc, Never-married, Sales, Own-child, White, Female,0,0,48, Peru, <=50K
77, State-gov, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,5154,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1876,32, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, State-gov, Bachelors, Separated, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,15, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
64, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
56, Private, HS-grad, Widowed, Priv-house-serv, Unmarried, White, Female,99999,0,35, United-States, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
55, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, United-States, >50K
31, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, >50K
60, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Thailand, <=50K
26, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Private, Bachelors, Separated, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
72, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,6, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,99, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
23, Local-gov, 12th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
69, Private, 9th, Divorced, Sales, Husband, White, Male,0,2313,40, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1587,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
73, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, >50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
63, State-gov, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, England, <=50K
45, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,30, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,32, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, Canada, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
62, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Germany, <=50K
37, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,44, United-States, <=50K
39, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
46, Local-gov, 7th-8th, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
55, Private, Some-college, Widowed, Sales, Wife, Other, Female,0,0,40, United-States, <=50K
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, China, >50K
54, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
44, State-gov, 9th, Divorced, Exec-managerial, Wife, White, Female,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Unmarried, White, Male,0,1887,70, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4036,0,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Japan, >50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
30, Private, Assoc-voc, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
67, Self-emp-inc, Some-college, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, United-States, >50K
51, Self-emp-inc, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,4648,0,60, United-States, >50K
53, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Male,0,1977,54, United-States, <=50K
40, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,5178,0,48, India, <=50K
51, Private, 11th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,7756,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,1287,0,54, United-States, >50K
50, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Poland, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,60, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, HS-grad, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Federal-gov, 9th, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
49, Private, Prof-school, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
41, Private, Doctorate, Separated, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,24, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
31, Self-emp-inc, Masters, Never-married, Adm-clerical, Wife, Other, Female,13800,0,50, United-States, >50K
