39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Jamaica, >50K
45, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,60, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, >50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,93, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,48, United-States, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,51, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
45, Local-gov, 5th-6th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,99999,0,20, United-States, <=50K
47, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
54, Private, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, United-States, >50K
23, Private, 7th-8th, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,55, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
64, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,36, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1585,40, United-States, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,35, Mexico, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,48, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,42, United-States, >50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,36, Mexico, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,6, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,13810,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,12, United-States, <=50K
46, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Nicaragua, >50K
25, Local-gov, 12th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Wife, White, Male,0,0,18, United-States, <=50K
49, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, United-States, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
39, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,60, United-States, <=50K
21, State-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,12, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
26, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,10, United-States, <=50K
59, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Female,0,0,3, United-States, <=50K
40, Private, Assoc-voc, Divorced, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,46, United-States, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, Other, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
90, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
40, Private, Masters, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
47, Local-gov, 5th-6th, Never-married, Other-service, Wife, White, Male,0,0,16, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,54, United-States, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
42, Local-gov, HS-grad, Divorced, Transport-moving, Other-relative, White, Female,0,0,40, United-States, >50K
80, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Black, Female,0,0,40, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
73, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, >50K
64, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
52, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
25, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,25, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,45, United-States, >50K
26, Private, Bachelors, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Male,0,1848,40, United-States, >50K
43, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Sales, Own-child, White, Female,0,1717,30, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,1457,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
53, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,44, United-States, >50K
38, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
90, Private, 5th-6th, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,35, United-States, >50K
31, Private, 5th-6th, Divorced, Tech-support, Wife, White, Male,0,0,24, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,6924,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
37, Self-emp-inc, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,76, United-States, >50K
53, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,54, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,8265,0,40, United-States, >50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
40, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,33, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Widowed, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,3901,0,40, United-States, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
68, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2406,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, Haiti, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
56, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
23, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, >50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Columbia, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Wife, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,54, India, >50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,2353,27, United-States, >50K
18, Private, Masters, Never-married, Exec-managerial, Wife, White, Female,0,0,20, United-States, <=50K
40, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, >50K
31, Private, Some-college, Never-married, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K
37, Federal-gov, Some-college, Widowed, Other-service, Unmarried, White, Male,0,0,6, China, <=50K
62, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,30, United-States, >50K
60, State-gov, 10th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,45, United-States, >50K
23, Private, 12th, Never-married, Other-service, Wife, White, Male,0,0,30, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,6899,0,60, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,56, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,7298,0,40, Puerto-Rico, >50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
90, Self-emp-inc, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, United-States, <=50K
30, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Bachelors, Widowed, Protective-serv, Husband, Other, Male,0,0,48, United-States, <=50K
35, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, Philippines, <=50K
30, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,35, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,54, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,54, United-States, >50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,25, United-States, <=50K
44, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,25, United-States, <=50K
21, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,36, Italy, <=50K
42, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, Philippines, <=50K
38, Private, Masters, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,3904,0,40, United-States, >50K
48, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,22, United-States, <=50K
46, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
71, Federal-gov, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,50, United-States, >50K
42, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Doctorate, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, Prof-school, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, >50K
