25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,8614,0,50, Dominican-Republic, >50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
26, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7838,0,48, China, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,38, El-Salvador, <=50K
18, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Male,0,0,32, Dominican-Republic, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
37, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
28, State-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, Thailand, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
19, Private, Bachelors, Never-married, Protective-serv, Husband, Other, Male,0,0,50, Guatemala, <=50K
43, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Ecuador, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
31, Self-emp-inc, Some-college, Never-married, Prof-specialty, Other-relative, White, Female,0,0,38, Nicaragua, <=50K
33, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1954,40, Japan, >50K
57, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
21, Private, 7th-8th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, <=50K
57, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
38, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,49, England, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
34, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
35, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Unmarried, Black, Male,0,0,76, Jamaica, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
22, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
34, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,60, Cuba, >50K
29, Private, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
34, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,10, Yugoslavia, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Taiwan, <=50K
62, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, Greece, <=50K
40, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Philippines, <=50K
19, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
21, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Portugal, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Jamaica, <=50K
47, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,1977,44, Ireland, >50K
17, Private, 12th, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,20, Japan, <=50K
36, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,10461,0,40, Jamaica, >50K
68, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Female,0,0,18, Ecuador, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,45, South, >50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
47, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
38, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, South, >50K
43, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Ireland, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,7687,0,50, Thailand, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,60, Columbia, <=50K
49, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,72, China, >50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, HS-grad, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,8614,0,48, Canada, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Female,0,0,60, Taiwan, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, South, <=50K
26, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
33, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Scotland, >50K
29, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,11, France, <=50K
35, Local-gov, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Male,7687,0,80, China, >50K
32, Federal-gov, 7th-8th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Other, Male,14071,0,50, Taiwan, >50K
49, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Portugal, <=50K
20, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
52, Private, HS-grad, Widowed, Sales, Husband, Black, Female,0,0,14, England, <=50K
33, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
62, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Thailand, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
36, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
37, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,60, Germany, <=50K
58, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Female,0,0,20, Puerto-Rico, <=50K
43, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,38, Taiwan, <=50K
66, Private, Masters, Widowed, Exec-managerial, Own-child, Other, Male,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,70, Poland, <=50K
22, Private, Some-college, Never-married, Priv-house-serv, Unmarried, Black, Male,0,0,40, Scotland, <=50K
28, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,48, Peru, <=50K
41, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
39, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, China, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Portugal, <=50K
59, Private, Assoc-voc, Divorced, Adm-clerical, Husband, Other, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
64, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
35, Private, Masters, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,70, Japan, <=50K
24, Local-gov, 7th-8th, Never-married, Other-service, Unmarried, White, Male,0,0,54, Taiwan, <=50K
56, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, El-Salvador, >50K
61, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
41, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,23, Nicaragua, >50K
22, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,20, Italy, <=50K
29, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, Columbia, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, <=50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
58, Private, Bachelors, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Ireland, >50K
34, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
51, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, >50K
33, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,0,0,71, Haiti, <=50K
63, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, >50K
51, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Other-relative, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,12, Italy, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
53, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
64, State-gov, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
21, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-spouse-absent, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
22, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,30, Cuba, <=50K
37, Private, Preschool, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,60, Vietnam, <=50K
42, Private, Assoc-voc, Never-married, Farming-fishing, Other-relative, Black, Female,0,0,74, Honduras, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,74, Italy, >50K
62, Private, 5th-6th, Divorced, Transport-moving, Wife, White, Male,0,0,35, Peru, >50K
41, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,70, India, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
46, Private, HS-grad, Separated, Protective-serv, Unmarried, Other, Male,0,0,38, Portugal, >50K
32, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, India, <=50K
23, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,38, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, South, <=50K
22, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Peru, >50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, >50K
39, Private, Some-college, Never-married, Sales, Husband, White, Male,0,1977,40, El-Salvador, <=50K
23, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,20, India, <=50K
20, Private, Bachelors, Married-spouse-absent, Protective-serv, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, >50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,35, Philippines, <=50K
43, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Taiwan, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Japan, >50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
46, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Peru, >50K
57, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
25, Private, 11th, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,0,0,40, India, <=50K
54, Private, Some-college, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,16, Honduras, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,50, South, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
51, Self-emp-not-inc, HS-grad, Married-spouse-absent, Exec-managerial, Husband, Asian-Pac-Islander, Male,14031,0,70, Canada, >50K
41, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,10493,0,50, Honduras, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
45, Private, Some-college, Divorced, Transport-moving, Husband, Other, Male,0,0,70, Guatemala, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Columbia, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Haiti, <=50K
60, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,38, Nicaragua, <=50K
48, Private, Masters, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,10, Trinadad&Tobago, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
24, Self-emp-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,70, Honduras, >50K
28, Private, HS-grad, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
20, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,24, Cambodia, <=50K
22, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1974,40, Haiti, >50K
46, Local-gov, Some-college, Divorced, Sales, Husband, Other, Male,0,0,40, Jamaica, >50K
39, Private, Some-college, Never-married, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
26, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,48, Canada, >50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
26, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, South, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
62, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,60, South, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, Vietnam, <=50K
28, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
32, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,50, Greece, >50K
43, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,10434,0,60, Italy, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Nicaragua, >50K
64, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Iran, <=50K
49, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Peru, <=50K
39, Private, 12th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,7802,0,40, China, >50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
54, Private, 9th, Separated, Exec-managerial, Not-in-family, Black, Male,0,0,50, Scotland, >50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, South, <=50K
21, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, India, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,38, Iran, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
42, State-gov, HS-grad, Married-spouse-absent, Farming-fishing, Husband, Other, Male,0,0,60, Guatemala, <=50K
30, Private, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, Columbia, >50K
58, Private, Bachelors, Married-civ-spouse, Tech-support, Own-child, Other, Male,0,0,30, Honduras, <=50K
26, Private, 7th-8th, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
33, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1977,40, Honduras, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,7687,0,50, Greece, <=50K
65, State-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,12, Mexico, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, South, >50K
47, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,1887,35, India, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
43, Private, Prof-school, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
