39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,12, United-States, <=50K
25, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States, <=50K
61, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,5, United-States, <=50K
40, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Separated, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
35, Private, Masters, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Japan, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private, Masters, Separated, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Local-gov, 7th-8th, Separated, Other-service, Wife, White, Female,0,0,16, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States, <=50K
38, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
82, Private, HS-grad, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
72, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
63, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, United-States, >50K
20, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
52, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,46, United-States, <=50K
40, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
52, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1739,40, United-States, >50K
43, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,674,30, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,1604,0,40, United-States, <=50K
27, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
42, Private, Masters, Never-married, Sales, Unmarried, White, Female,0,0,44, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
90, Private, 7th-8th, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, >50K
49, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
31, Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,24, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,4981,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Separated, Sales, Other-relative, White, Male,0,0,78, United-States, >50K
54, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Local-gov, 10th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,54, United-States, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,38, United-States, >50K
29, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Separated, Sales, Other-relative, White, Female,0,0,35, United-States, <=50K
40, Local-gov, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,4076,0,40, United-States, >50K
28, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,12, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
67, State-gov, Doctorate, Divorced, Transport-moving, Husband, White, Male,0,2989,40, United-States, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Some-college, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
61, Private, Bachelors, Widowed, Craft-repair, Unmarried, White, Male,0,0,48, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
23, Private, Assoc-voc, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Columbia, >50K
45, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Jamaica, >50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
75, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,2668,24, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,3063,0,20, United-States, <=50K
39, Private, 7th-8th, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
37, Federal-gov, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,7, Cuba, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, >50K
59, State-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
23, Private, 9th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,30, United-States, <=50K
28, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Female,7298,0,60, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, 9th, Never-married, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,7298,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
90, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, United-States, <=50K
30, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,48, United-States, <=50K
34, Private, 9th, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,38, South, <=50K
30, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,54, United-States, >50K
40, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,38, Iran, <=50K
41, Private, 11th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, Philippines, <=50K
37, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,4619,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
46, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
36, Local-gov, HS-grad, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
69, Federal-gov, 7th-8th, Widowed, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
42, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
34, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
