51, Self-emp-not-inc, Doctorate, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Honduras, >50K
43, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,48, United-States, <=50K
60, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,0,0,25, Poland, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, White, Male,0,0,35, United-States, <=50K
36, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Greece, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Iran, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Wife, Black, Male,15024,0,35, Honduras, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Portugal, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Local-gov, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Honduras, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
29, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,44, United-States, >50K
41, Self-emp-not-inc, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,15, United-States, <=50K
37, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Germany, <=50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,70, El-Salvador, <=50K
51, Private, Some-college, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,60, United-States, >50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
50, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, Taiwan, <=50K
44, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, Thailand, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1544,40, Laos, >50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
70, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,3103,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,44, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,3965,0,48, Poland, <=50K
62, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, England, >50K
49, Local-gov, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Female,0,0,37, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1613,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,48, Mexico, <=50K
42, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,37, United-States, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,29, United-States, <=50K
41, State-gov, Masters, Separated, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
45, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,15024,0,54, Italy, >50K
49, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, Scotland, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,48, United-States, >50K
25, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, State-gov, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
80, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, >50K
31, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
32, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Laos, <=50K
58, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, 10th, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
82, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,10, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,48, United-States, >50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,3452,0,40, United-States, <=50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Greece, >50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
68, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
63, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Greece, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Hong, <=50K
45, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Never-married, Prof-specialty, Unmarried, Black, Female,5178,0,40, United-States, >50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Honduras, <=50K
35, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Male,0,1740,50, United-States, <=50K
30, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,80, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
47, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Iran, <=50K
50, Private, Masters, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
43, Local-gov, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,10, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,54, Ireland, >50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
50, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Other-relative, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Italy, >50K
43, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
30, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1612,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,20, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,20, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,50, Vietnam, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
22, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,60, Greece, <=50K
52, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,1535,0,50, United-States, >50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
25, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Columbia, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Separated, Exec-managerial, Wife, Black, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,38, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,3382,0,40, Iran, <=50K
51, State-gov, Masters, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Wife, Other, Male,7298,0,40, United-States, >50K
37, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cambodia, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
34, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, Puerto-Rico, >50K
37, Private, Assoc-voc, Married-civ-spouse, Sales, Own-child, White, Male,0,0,95, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,1593,40, United-States, <=50K
52, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,58, United-States, >50K
24, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,40, El-Salvador, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, South, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,5286,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,40, United-States, >50K
20, Private, HS-grad, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Germany, <=50K
48, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,1977,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,48, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, Taiwan, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7298,0,50, United-States, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,4945,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,1496,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
66, Local-gov, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,25, Germany, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
42, Private, Masters, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Italy, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,2329,0,35, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,40, United-States, >50K
40, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,54, Italy, >50K
36, Private, Some-college, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,10, Canada, <=50K
40, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,1547,40, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, South, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,37, United-States, <=50K
63, Private, Some-college, Widowed, Protective-serv, Wife, White, Female,7687,0,40, United-States, >50K
