21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Other-service, Wife, White, Male,0,0,20, Scotland, <=50K
44, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,45, Peru, <=50K
22, Private, Assoc-voc, Separated, Machine-op-inspct, Own-child, White, Male,0,0,35, Taiwan, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, China, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
60, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,20, Outlying-US(Guam-USVI-etc), >50K
45, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, >50K
45, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,0,0,45, Japan, <=50K
24, Private, 11th, Never-married, Other-service, Wife, White, Male,0,0,35, Taiwan, <=50K
65, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,25, El-Salvador, >50K
22, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
42, Private, 10th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
19, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,40, Italy, <=50K
50, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,4736,0,70, Hungary, >50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Peru, >50K
46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1672,57, Haiti, >50K
69, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
47, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Ireland, >50K
36, Federal-gov, 11th, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,37, Honduras, <=50K
43, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Peru, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, >50K
27, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Female,0,0,40, Haiti, <=50K
30, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, Haiti, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,1977,24, Dominican-Republic, >50K
28, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,42, Hong, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, Jamaica, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,2345,0,40, Trinadad&Tobago, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Laos, <=50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, Peru, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Taiwan, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Iran, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Cuba, <=50K
69, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
35, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,60, Italy, >50K
35, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Peru, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Vietnam, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, India, <=50K
19, Private, Masters, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Ecuador, <=50K
42, Private, HS-grad, Widowed, Sales, Unmarried, White, Female,0,0,48, Portugal, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
53, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,1846,40, South, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, Peru, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Mexico, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, Guatemala, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
27, Local-gov, 9th, Never-married, Craft-repair, Wife, White, Male,0,0,35, India, <=50K
57, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, Laos, <=50K
46, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Scotland, >50K
48, Private, Prof-school, Separated, Transport-moving, Not-in-family, White, Female,4657,0,40, Philippines, <=50K
30, Private, Some-college, Separated, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,60, Taiwan, <=50K
31, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Japan, >50K
42, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Ecuador, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,80, Philippines, >50K
24, Federal-gov, Bachelors, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, Taiwan, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Iran, <=50K
49, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Hong, >50K
47, Private, Prof-school, Divorced, Tech-support, Wife, White, Female,0,0,40, Taiwan, <=50K
27, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,50, Yugoslavia, <=50K
33, Private, HS-grad, Widowed, Craft-repair, Own-child, White, Female,0,0,40, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Honduras, <=50K
59, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Guatemala, <=50K
44, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, Columbia, >50K
34, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Haiti, >50K
26, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Yugoslavia, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Nicaragua, <=50K
43, Private, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,0,2392,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, >50K
55, Self-emp-not-inc, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Scotland, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
64, Private, Doctorate, Divorced, Prof-specialty, Not-in-family, White, Female,98602,0,60, Yugoslavia, >50K
52, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Italy, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cambodia, >50K
65, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,40, Mexico, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
66, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, Japan, >50K
56, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,54, Laos, >50K
53, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,14260,0,40, Canada, >50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, Scotland, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, South, <=50K
35, Private, HS-grad, Never-married, Farming-fishing, Wife, White, Male,0,0,30, Iran, <=50K
54, Private, 11th, Widowed, Craft-repair, Wife, White, Female,0,0,20, Ecuador, <=50K
34, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Taiwan, >50K
24, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, Vietnam, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,51, Cambodia, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, Peru, >50K
68, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, Jamaica, <=50K
40, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Greece, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,54, Italy, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, >50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Philippines, <=50K
49, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, Ireland, <=50K
67, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
38, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Greece, <=50K
41, Private, Assoc-voc, Separated, Exec-managerial, Other-relative, White, Female,0,0,40, South, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, India, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Ireland, <=50K
28, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Black, Female,0,0,40, Hong, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
51, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
33, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,54, Honduras, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, Honduras, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Honduras, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Guatemala, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Thailand, >50K
50, Private, Assoc-acdm, Separated, Other-service, Not-in-family, White, Female,0,0,40, Scotland, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, India, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Male,0,0,40, Taiwan, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, >50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, Haiti, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ireland, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Canada, >50K
40, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Poland, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, >50K
21, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Philippines, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
38, Private, Bachelors, Never-married, Machine-op-inspct, Wife, White, Female,0,0,50, Vietnam, >50K
22, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
38, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,38, Jamaica, <=50K
33, Private, Doctorate, Never-married, Sales, Own-child, White, Female,0,0,40, India, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Iran, >50K
35, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Ecuador, >50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Hong, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, Greece, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, Haiti, >50K
27, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Hungary, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Taiwan, >50K
