19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Scotland, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
48, Private, Masters, Separated, Exec-managerial, Not-in-family, White, Male,15024,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
37, Local-gov, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,40, India, >50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
48, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
23, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
66, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, State-gov, Some-college, Widowed, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, HS-grad, Separated, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
88, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,70, United-States, >50K
37, Private, Some-college, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3280,0,40, United-States, <=50K
50, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,98, United-States, <=50K
46, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,40, Greece, <=50K
45, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Wife, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,10, United-States, <=50K
21, State-gov, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,1828,10, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
56, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Other, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, Mexico, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
64, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,42, United-States, <=50K
40, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
41, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
61, Federal-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,39, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Philippines, <=50K
45, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,2082,35, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
55, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
60, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,74, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, >50K
27, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, State-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3103,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
86, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7359,0,45, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
65, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
64, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,2114,0,44, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1848,40, United-States, >50K
35, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Local-gov, 9th, Never-married, Craft-repair, Unmarried, White, Male,0,2023,40, United-States, <=50K
53, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
53, Private, Some-college, Widowed, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5178,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
51, Private, Doctorate, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,60, United-States, >50K
48, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 9th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,20, United-States, <=50K
56, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,2837,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,30, El-Salvador, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,45, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
53, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, Mexico, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,33, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Canada, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,5022,0,44, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 9th, Separated, Craft-repair, Wife, White, Female,0,0,35, United-States, >50K
52, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,35, United-States, <=50K
50, Federal-gov, Some-college, Separated, Farming-fishing, Unmarried, White, Male,0,0,77, Canada, <=50K
47, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,46, United-States, >50K
23, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
77, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,32, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7227,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, India, >50K
25, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Widowed, Exec-managerial, Wife, White, Male,8614,0,44, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1724,48, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,50, United-States, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,64, United-States, >50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Japan, <=50K
67, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,4650,0,20, United-States, <=50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,15, United-States, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
67, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Honduras, <=50K
41, Private, 10th, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
44, Local-gov, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Jamaica, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,36, United-States, <=50K
64, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
42, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,20, China, >50K
60, Local-gov, Doctorate, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,10, United-States, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
58, Self-emp-inc, Some-college, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States, >50K
29, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, White, Male,7687,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,38, United-States, <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,7687,0,50, United-States, <=50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
