44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,72, Dominican-Republic, >50K
32, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Peru, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, Haiti, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, Italy, >50K
45, Federal-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,80, Hong, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, Laos, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Peru, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
58, State-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,18, Jamaica, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Hong, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, Jamaica, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
35, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Thailand, >50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,38, India, <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, Cuba, >50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Vietnam, >50K
34, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Honduras, >50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Philippines, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Italy, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, Peru, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,3910,0,45, Iran, >50K
55, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
32, Private, HS-grad, Separated, Sales, Own-child, White, Male,0,0,38, Portugal, <=50K
42, Private, HS-grad, Widowed, Transport-moving, Wife, White, Male,0,0,38, Iran, <=50K
35, Private, 11th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, Iran, <=50K
29, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1991,40, Taiwan, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Peru, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Mexico, >50K
45, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
27, Local-gov, 9th, Never-married, Adm-clerical, Unmarried, Black, Male,0,1887,40, India, <=50K
27, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Puerto-Rico, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Philippines, <=50K
36, Private, Masters, Separated, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Ecuador, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Philippines, >50K
43, Federal-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, Taiwan, <=50K
52, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, >50K
30, Private, Prof-school, Never-married, Sales, Not-in-family, Black, Male,0,1594,40, Honduras, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, South, <=50K
21, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, Yugoslavia, <=50K
23, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, <=50K
55, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,99999,0,60, Hong, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2300,0,20, Guatemala, <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,40, Columbia, <=50K
40, Private, Some-college, Separated, Other-service, Unmarried, Black, Female,0,0,35, Haiti, <=50K
36, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
28, Private, HS-grad, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,43, Iran, <=50K
25, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Scotland, <=50K
42, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,40, Honduras, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, >50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cambodia, >50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Haiti, <=50K
63, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4955,0,40, Japan, >50K
34, Private, Some-college, Separated, Sales, Wife, White, Male,0,0,20, Laos, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Canada, <=50K
54, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Scotland, <=50K
41, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,25, Taiwan, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Iran, <=50K
27, Private, Assoc-acdm, Never-married, Farming-fishing, Own-child, Black, Female,0,0,40, Ecuador, <=50K
35, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
25, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Vietnam, <=50K
56, Federal-gov, HS-grad, Widowed, Other-service, Unmarried, White, Male,0,0,35, Cambodia, <=50K
33, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, Peru, >50K
22, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,18, Japan, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, Greece, >50K
27, Private, Assoc-voc, Never-married, Other-service, Wife, White, Female,4071,0,50, Italy, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Nicaragua, >50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, Doctorate, Never-married, Sales, Not-in-family, White, Female,0,0,40, Philippines, <=50K
39, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, Ireland, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, China, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Greece, <=50K
32, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,60, South, <=50K
23, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, South, <=50K
19, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,50, India, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Ireland, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Hungary, <=50K
24, Self-emp-inc, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Guatemala, <=50K
38, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,0,0,60, India, >50K
27, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, Columbia, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,45, Hong, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,25, Honduras, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Hong, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,35, Guatemala, <=50K
27, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,48, Mexico, <=50K
48, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Taiwan, >50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, South, >50K
62, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, Iran, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,45, Thailand, <=50K
61, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Haiti, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, Ireland, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,25, Canada, <=50K
44, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Portugal, >50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Poland, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, >50K
41, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, Poland, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, South, >50K
30, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,20, Vietnam, <=50K
31, Private, Some-college, Divorced, Tech-support, Wife, White, Female,0,0,40, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, Jamaica, <=50K
25, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,40, Iran, <=50K
64, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Iran, <=50K
42, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,54, Ecuador, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, Cambodia, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Hong, <=50K
46, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, Greece, <=50K
42, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,44, Haiti, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Hungary, >50K
41, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,54, Taiwan, >50K
31, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, Dominican-Republic, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Ireland, >50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Scotland, <=50K
