21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,24, Mexico, <=50K
43, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Own-child, White, Male,0,0,63, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,32, Vietnam, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,30, United-States, <=50K
46, Private, Bachelors, Separated, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
66, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,3347,0,40, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,27373,0,60, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,7, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
23, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
44, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Peru, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, >50K
67, Private, Masters, Never-married, Prof-specialty, Husband, Black, Female,15024,0,2, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,60, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1902,54, United-States, >50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2415,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Doctorate, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,36, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,50, United-States, <=50K
41, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, >50K
60, Local-gov, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,35, Poland, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
34, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,3372,0,40, Poland, <=50K
26, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
29, Local-gov, Bachelors, Married-spouse-absent, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Wife, Black, Female,0,0,35, Mexico, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
78, Self-emp-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
29, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
42, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
60, Local-gov, Some-college, Widowed, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,72, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,66, United-States, <=50K
32, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1992,45, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,95, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, State-gov, Masters, Widowed, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, >50K
29, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,37, United-States, <=50K
42, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Widowed, Other-service, Wife, Black, Male,0,0,30, Italy, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Local-gov, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Male,3911,0,99, United-States, >50K
53, State-gov, HS-grad, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,1043,50, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,3137,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
66, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,16, Mexico, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
56, Self-emp-inc, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,1671,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1840,40, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
54, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
55, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
78, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,1737,0,12, United-States, <=50K
19, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,10676,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, >50K
60, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,1679,50, United-States, <=50K
43, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,50, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
38, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
37, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
67, Private, 5th-6th, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,10, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, Mexico, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,3133,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
35, Private, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Assoc-voc, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Yugoslavia, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, China, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, >50K
23, Local-gov, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,7117,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, India, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
36, Self-emp-not-inc, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,45, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Federal-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4052,0,40, El-Salvador, >50K
58, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,50, United-States, >50K
30, State-gov, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,25, United-States, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,54, United-States, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
45, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,20, United-States, >50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Separated, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 12th, Never-married, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Husband, White, Male,4386,0,45, United-States, >50K
59, Private, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,6, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
41, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
18, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,40, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,37, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
25, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Masters, Divorced, Craft-repair, Wife, White, Female,0,1671,30, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
31, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Sales, Unmarried, White, Female,0,0,4, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
49, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, El-Salvador, >50K
45, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, >50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
40, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2496,45, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
58, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,1346,40, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,3999,0,40, United-States, >50K
65, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,15, United-States, <=50K
51, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Male,0,0,37, United-States, >50K
59, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
