48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
27, Private, Prof-school, Never-married, Exec-managerial, Unmarried, White, Male,0,0,48, Japan, <=50K
62, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Columbia, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,40, Jamaica, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, Ecuador, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2007,50, Thailand, >50K
24, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Bachelors, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
36, Private, 7th-8th, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, South, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Canada, <=50K
32, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Dominican-Republic, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Holand-Netherlands, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ireland, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Trinadad&Tobago, >50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, Columbia, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, China, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, >50K
34, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,65, Thailand, <=50K
40, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,30, Guatemala, <=50K
38, State-gov, Some-college, Never-married, Exec-managerial, Wife, Black, Female,0,0,10, Guatemala, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,17, Trinadad&Tobago, <=50K
52, Private, HS-grad, Divorced, Sales, Wife, Black, Female,0,0,40, China, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,12, England, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,24, Taiwan, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, Taiwan, <=50K
46, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, >50K
39, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Germany, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Columbia, >50K
36, Federal-gov, 9th, Divorced, Sales, Not-in-family, White, Female,0,0,50, Jamaica, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, Thailand, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Portugal, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, France, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Haiti, <=50K
28, Self-emp-not-inc, Prof-school, Never-married, Adm-clerical, Unmarried, White, Female,0,0,99, Trinadad&Tobago, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, Thailand, <=50K
47, Without-pay, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7058,0,40, Haiti, <=50K
46, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
46, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,45, Greece, <=50K
56, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Poland, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,54, South, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Peru, <=50K
41, Private, Assoc-voc, Separated, Other-service, Not-in-family, White, Male,15024,0,40, Trinadad&Tobago, >50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,25, China, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,37, Portugal, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, State-gov, Doctorate, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,60, India, >50K
25, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, Japan, <=50K
20, Local-gov, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Thailand, <=50K
34, Private, Masters, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, England, >50K
44, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Holand-Netherlands, <=50K
33, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Greece, <=50K
29, Local-gov, Some-college, Never-married, Tech-support, Wife, Black, Female,0,0,20, Nicaragua, >50K
61, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Italy, >50K
49, State-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,50, Hungary, >50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,20, Peru, <=50K
37, Private, Prof-school, Never-married, Other-service, Unmarried, White, Female,0,0,40, Cuba, <=50K
20, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, Haiti, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Ireland, >50K
43, Local-gov, 11th, Divorced, Craft-repair, Not-in-family, White, Male,0,1902,40, Honduras, <=50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, >50K
37, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,8384,0,54, Haiti, >50K
20, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, Holand-Netherlands, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Dominican-Republic, >50K
38, Local-gov, Masters, Never-married, Sales, Own-child, White, Female,0,0,60, Honduras, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,25, Italy, >50K
22, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,58, Trinadad&Tobago, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, Laos, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
26, State-gov, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,60, Thailand, <=50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, India, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Vietnam, <=50K
47, Private, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,35, Holand-Netherlands, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
34, State-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,30, Italy, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Peru, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,60, Vietnam, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,20, India, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Ecuador, <=50K
32, Private, Some-college, Separated, Sales, Wife, White, Male,7298,0,35, Puerto-Rico, >50K
23, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, Iran, <=50K
38, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Iran, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
46, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Peru, >50K
35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,42, Mexico, <=50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7531,0,40, Guatemala, >50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, El-Salvador, <=50K
56, Federal-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, India, <=50K
52, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Mexico, >50K
33, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Puerto-Rico, >50K
57, Private, Some-college, Widowed, Transport-moving, Not-in-family, White, Female,0,0,39, Philippines, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,45, Thailand, >50K
36, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,50, Japan, >50K
54, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,1902,40, El-Salvador, <=50K
35, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Peru, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, Thailand, >50K
47, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,1887,40, India, <=50K
52, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Honduras, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,30, South, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,24, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,42, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Haiti, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,2001,40, Columbia, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Holand-Netherlands, <=50K
43, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,15024,0,70, Yugoslavia, >50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,17, United-States, <=50K
55, Local-gov, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,4345,0,40, Iran, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2169,40, Scotland, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
48, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Male,0,0,40, Italy, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
35, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,2, Mexico, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Haiti, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, Jamaica, >50K
25, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,38, Laos, <=50K
76, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,8, Canada, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,50, Scotland, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, South, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Iran, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ecuador, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, Taiwan, <=50K
26, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,50, Vietnam, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Cambodia, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
38, State-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, Guatemala, <=50K
27, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Italy, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Nicaragua, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Iran, <=50K
52, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,65, Iran, >50K
27, Private, Masters, Never-married, Sales, Unmarried, White, Female,0,0,60, China, <=50K
73, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2381,26, Guatemala, >50K
39, Private, Assoc-acdm, Separated, Craft-repair, Unmarried, White, Female,0,0,40, Scotland, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, India, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Iran, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Hong, <=50K
41, State-gov, Bachelors, Separated, Other-service, Unmarried, Black, Female,0,0,50, Haiti, <=50K
50, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,40, Hungary, <=50K
65, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, Columbia, <=50K
53, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,1975,50, Honduras, <=50K
32, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Honduras, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Guatemala, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Taiwan, >50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
49, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, India, <=50K
43, Private, Bachelors, Widowed, Exec-managerial, Wife, Black, Male,0,0,45, Taiwan, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,8721,0,40, Yugoslavia, >50K
37, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,30, Haiti, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, <=50K
59, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Canada, <=50K
61, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Portugal, >50K
27, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, Poland, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,12, Columbia, <=50K
39, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
70, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, Poland, <=50K
51, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,1902,40, South, <=50K
38, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,38, Vietnam, >50K
45, Private, Masters, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,38, El-Salvador, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Jamaica, >50K
23, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,25, India, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, India, <=50K
42, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Cambodia, <=50K
28, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Hong, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Holand-Netherlands, <=50K
22, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Hungary, <=50K
27, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,50, Taiwan, >50K
