39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Honduras, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, India, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,17, United-States, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, >50K
33, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,4092,0,50, Nicaragua, >50K
22, Private, 9th, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
45, Private, Assoc-voc, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,54, United-States, <=50K
19, Local-gov, 11th, Never-married, Priv-house-serv, Own-child, Black, Male,0,0,30, Mexico, <=50K
26, Local-gov, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,44, United-States, <=50K
35, Private, Assoc-voc, Separated, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Yugoslavia, >50K
30, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
45, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Hungary, >50K
37, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
21, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Holand-Netherlands, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,13, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,3325,0,45, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,30, India, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Cuba, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Private, Masters, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,93, Trinadad&Tobago, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, HS-grad, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,53, Peru, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Germany, <=50K
48, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Iran, <=50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,27784,0,20, Holand-Netherlands, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, >50K
54, Private, 5th-6th, Separated, Adm-clerical, Unmarried, White, Female,0,0,10, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,58, Honduras, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1591,40, Germany, >50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,35, El-Salvador, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,42, Scotland, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Scotland, <=50K
45, Private, HS-grad, Divorced, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,38, Dominican-Republic, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, Laos, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,5, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,14179,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,12, Peru, <=50K
46, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
25, Local-gov, 5th-6th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,19, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, United-States, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
39, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, Nicaragua, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Own-child, Other, Male,0,0,12, Trinadad&Tobago, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,10, United-States, <=50K
61, Without-pay, HS-grad, Widowed, Other-service, Husband, White, Female,0,0,5, Scotland, <=50K
40, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Other, Female,0,0,20, Ireland, <=50K
31, Private, HS-grad, Separated, Sales, Not-in-family, White, Male,0,0,48, Portugal, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
31, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
36, Private, Masters, Never-married, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
90, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Federal-gov, 5th-6th, Separated, Other-service, Unmarried, White, Female,0,0,16, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, Mexico, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, 10th, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
83, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Separated, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
72, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,20, Germany, <=50K
63, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,10, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
52, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
25, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,46, United-States, <=50K
41, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,25, United-States, <=50K
52, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, Greece, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, Bachelors, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1797,40, United-States, >50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Holand-Netherlands, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,1670,27, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,2178,0,40, United-States, <=50K
27, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, United-States, <=50K
43, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,44, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
31, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
90, Private, 5th-6th, Widowed, Other-service, Other-relative, White, Female,0,0,30, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
31, Private, 9th, Divorced, Sales, Unmarried, White, Female,0,0,24, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,5389,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, India, >50K
38, Self-emp-inc, HS-grad, Separated, Sales, Not-in-family, White, Male,0,0,79, United-States, >50K
54, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,54, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,38, United-States, >50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, South, <=50K
34, Private, Some-college, Separated, Protective-serv, Not-in-family, White, Female,0,0,35, Italy, <=50K
40, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Italy, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,4165,0,40, United-States, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,12, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
66, State-gov, Doctorate, Divorced, Transport-moving, Not-in-family, White, Male,0,3066,40, Vietnam, <=50K
63, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,50, Cuba, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, Taiwan, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, <=50K
62, Private, Some-college, Widowed, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, <=50K
62, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, Cambodia, >50K
45, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Columbia, >50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, United-States, <=50K
72, Private, Some-college, Married-spouse-absent, Craft-repair, Wife, White, Male,0,2848,23, United-States, <=50K
18, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,2415,0,20, United-States, <=50K
40, Private, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Ireland, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
31, Private, Some-college, Never-married, Protective-serv, Wife, Black, Male,0,0,40, United-States, <=50K
37, Federal-gov, Some-college, Separated, Other-service, Unmarried, Other, Male,0,0,6, Cambodia, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,30, United-States, >50K
60, State-gov, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Scotland, >50K
23, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,5399,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, 5th-6th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,7298,0,40, El-Salvador, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
43, Private, Assoc-acdm, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
90, Self-emp-inc, 5th-6th, Married-spouse-absent, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,52, United-States, <=50K
31, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Scotland, <=50K
46, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,48, United-States, <=50K
35, Private, 7th-8th, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,38, France, <=50K
30, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, 9th, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,35, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, Scotland, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,54, United-States, >50K
41, Private, Preschool, Divorced, Craft-repair, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Private, Bachelors, Separated, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Married-spouse-absent, Craft-repair, Not-in-family, Other, Male,0,0,70, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Widowed, Adm-clerical, Own-child, White, Male,0,0,38, Dominican-Republic, <=50K
42, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,25, Germany, <=50K
38, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,4386,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Ireland, <=50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
46, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, India, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, <=50K
36, Local-gov, HS-grad, Married-spouse-absent, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Taiwan, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
70, Federal-gov, 7th-8th, Widowed, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
42, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Hong, <=50K
