19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Dominican-Republic, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Germany, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Cambodia, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,35, Thailand, <=50K
32, Local-gov, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, El-Salvador, <=50K
69, Private, Some-college, Widowed, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Greece, <=50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,78, Guatemala, <=50K
40, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,34, Ecuador, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, Nicaragua, >50K
52, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Japan, <=50K
41, Private, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, France, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,41, Laos, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, Poland, >50K
43, Federal-gov, 9th, Divorced, Priv-house-serv, Unmarried, Asian-Pac-Islander, Female,0,0,50, England, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Hong, <=50K
28, Local-gov, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
22, Private, 11th, Separated, Prof-specialty, Wife, Black, Female,0,0,4, Japan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Honduras, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Female,0,0,30, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, Ecuador, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, India, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Cuba, >50K
58, Private, 11th, Widowed, Sales, Unmarried, Black, Female,0,0,40, Italy, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, >50K
24, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, South, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, Trinadad&Tobago, <=50K
63, Private, 11th, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,35, Ecuador, <=50K
53, Private, HS-grad, Divorced, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,38, Canada, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,48, Taiwan, >50K
41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Philippines, <=50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Haiti, >50K
32, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
27, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, Jamaica, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, India, >50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,30, France, <=50K
79, Private, Assoc-acdm, Married-spouse-absent, Sales, Husband, Other, Female,0,0,20, France, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
54, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
47, Local-gov, 11th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Jamaica, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, South, <=50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, South, >50K
19, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,54, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1733,50, Iran, <=50K
33, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Trinadad&Tobago, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, Thailand, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,2257,12, China, <=50K
59, Private, Some-college, Widowed, Farming-fishing, Wife, Black, Female,0,0,40, Hong, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, South, <=50K
20, Local-gov, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,25, Guatemala, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,44, Guatemala, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,24, Thailand, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Canada, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,15, South, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,45, South, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Thailand, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Female,0,0,40, France, <=50K
37, Local-gov, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, China, <=50K
59, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,50, Jamaica, >50K
47, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, Other, Female,0,0,50, Taiwan, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Poland, <=50K
34, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Iran, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, Thailand, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,43, England, >50K
66, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, >50K
23, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Taiwan, <=50K
57, State-gov, Some-college, Widowed, Protective-serv, Husband, White, Male,0,0,60, Guatemala, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,10, El-Salvador, <=50K
32, Private, HS-grad, Separated, Sales, Not-in-family, Black, Male,0,0,40, Germany, <=50K
84, Private, Some-college, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,50, Puerto-Rico, <=50K
42, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,70, Thailand, >50K
36, Private, Some-college, Separated, Craft-repair, Unmarried, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,3282,0,40, Scotland, <=50K
49, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,80, Peru, <=50K
26, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,98, Taiwan, >50K
45, Private, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
44, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, Portugal, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
21, State-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1875,8, India, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
45, Local-gov, 7th-8th, Married-spouse-absent, Prof-specialty, Wife, White, Male,0,0,40, Taiwan, <=50K
51, Private, HS-grad, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
56, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Germany, <=50K
22, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,35, Nicaragua, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Italy, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, Columbia, <=50K
43, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Guatemala, >50K
62, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, Italy, >50K
41, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Hong, <=50K
60, Federal-gov, 9th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
42, Private, Prof-school, Divorced, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
53, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Columbia, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Jamaica, <=50K
19, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,20, Haiti, <=50K
40, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,39, Dominican-Republic, >50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
44, Self-emp-not-inc, Doctorate, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,2053,35, Trinadad&Tobago, <=50K
38, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
45, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,74, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
59, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,30, Vietnam, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,20, Honduras, <=50K
27, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
26, State-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, Italy, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Other-relative, White, Male,3087,0,40, Peru, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Vietnam, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
84, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Other, Female,0,0,35, Dominican-Republic, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7333,0,45, Puerto-Rico, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,16, Iran, <=50K
64, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,30, Iran, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, South, <=50K
48, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Peru, >50K
64, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,1861,0,45, Mexico, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1639,40, Guatemala, >50K
34, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
27, Local-gov, Assoc-acdm, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,1977,40, India, <=50K
52, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Laos, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, >50K
53, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Philippines, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5178,0,40, Thailand, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
50, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Ecuador, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, >50K
47, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, India, <=50K
56, Private, Some-college, Separated, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,2195,0,40, Honduras, >50K
26, Private, Prof-school, Married-civ-spouse, Transport-moving, Own-child, Other, Male,0,0,40, South, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, Yugoslavia, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,45, Honduras, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Trinadad&Tobago, <=50K
52, Private, Some-college, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Guatemala, <=50K
42, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,45, Columbia, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,45, Haiti, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Male,0,0,35, Yugoslavia, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, Black, Female,0,0,40, Nicaragua, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Other, Female,0,0,32, Iran, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Puerto-Rico, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Italy, >50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, Cambodia, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
64, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Jamaica, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,40, Laos, >50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,4475,0,45, Canada, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, Puerto-Rico, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,30, South, <=50K
27, Private, Doctorate, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Iran, <=50K
44, Local-gov, 9th, Never-married, Exec-managerial, Other-relative, White, Female,0,0,35, Ecuador, >50K
52, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, South, >50K
23, Private, Some-college, Never-married, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,35, Vietnam, <=50K
50, Federal-gov, Some-college, Widowed, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,79, Cambodia, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7687,0,45, Peru, >50K
23, Private, 12th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Greece, >50K
75, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Nicaragua, >50K
35, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Iran, <=50K
61, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,6866,0,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Peru, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,60, Ireland, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, China, >50K
25, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Greece, <=50K
47, Private, Assoc-voc, Widowed, Exec-managerial, Wife, Black, Male,8298,0,44, South, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1738,48, South, <=50K
31, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Iran, <=50K
26, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,64, Guatemala, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, India, >50K
28, Local-gov, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
65, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,3722,0,20, Honduras, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,2007,15, Hong, >50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,8, Greece, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Mexico, <=50K
50, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, South, <=50K
44, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Puerto-Rico, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, India, <=50K
37, Private, Doctorate, Married-spouse-absent, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
47, Private, 9th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Yugoslavia, <=50K
67, Self-emp-inc, Some-college, Married-spouse-absent, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,40, Ireland, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Canada, <=50K
