59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Greece, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,30, Guatemala, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,40, Mexico, >50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Philippines, >50K
22, Private, 11th, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,12, Cuba, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40,, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, Poland, <=50K
26, Federal-gov, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
48, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,30, Iran, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, Hong, <=50K
31, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,35, Germany, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Honduras, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Philippines, <=50K
33, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Thailand, >50K
56, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Italy, <=50K
24, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,55, Jamaica, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, India, <=50K
59, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,32, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Philippines, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Haiti, <=50K
68, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,15, Ecuador, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,80, Canada, <=50K
23, Private, Doctorate, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, >50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
44, Self-emp-not-inc, Masters, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,60, China, <=50K
36, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,35, United-States, <=50K
51, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Mexico, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,45, Taiwan, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, South, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,70, Japan, >50K
27, Private, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, <=50K
19, Self-emp-inc, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,30, Yugoslavia, <=50K
32, Local-gov, Some-college, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,35, South, <=50K
25, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,45, Guatemala, >50K
33, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,45, United-States, <=50K
43, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Nicaragua, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Peru, <=50K
60, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,1887,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,1622,45, Japan, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Peru, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,30, Dominican-Republic, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, England, <=50K
39, Private, 5th-6th, Divorced, Sales, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
28, Private, Some-college, Never-married, Sales, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
24, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Own-child, Black, Female,0,0,40, Hungary, <=50K
42, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, France, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, England, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Vietnam, <=50K
34, Private, HS-grad, Married-spouse-absent, Prof-specialty, Own-child, Other, Male,14083,0,40, United-States, >50K
58, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Peru, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,30, Italy, >50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,60, Vietnam, <=50K
29, Without-pay, 1st-4th, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
57, Federal-gov, 7th-8th, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,2293,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,18, Honduras, <=50K
60, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Portugal, <=50K
33, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Columbia, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Scotland, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Iran, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Greece, >50K
26, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, China, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,9583,0,50, Cambodia, <=50K
39, Private, Some-college, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,45, Cambodia, <=50K
35, Local-gov, Some-college, Never-married, Farming-fishing, Husband, White, Female,0,0,99, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1887,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Poland, <=50K
66, Self-emp-not-inc, HS-grad, Divorced, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,35, South, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cuba, >50K
39, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
49, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,5, Peru, <=50K
36, Private, HS-grad, Never-married, Other-service, Husband, Black, Female,12012,0,46, Japan, >50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Ireland, <=50K
46, Self-emp-inc, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,15, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, Puerto-Rico, <=50K
23, Private, Assoc-acdm, Divorced, Craft-repair, Own-child, White, Female,2829,0,40, Scotland, <=50K
24, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Peru, >50K
29, State-gov, Some-college, Never-married, Protective-serv, Not-in-family, White, Female,0,0,35, Jamaica, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Iran, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Portugal, <=50K
43, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,44, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Cambodia, >50K
41, State-gov, HS-grad, Never-married, Sales, Wife, Asian-Pac-Islander, Male,5090,0,40, Ireland, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,20, Poland, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, Poland, <=50K
23, Self-emp-inc, Some-college, Never-married, Sales, Other-relative, Black, Male,0,0,40, Columbia, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
63, Self-emp-not-inc, 10th, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,5, United-States, >50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Widowed, Sales, Unmarried, Black, Female,0,0,40, Iran, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,99, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,44, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Thailand, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,3155,0,40, Outlying-US(Guam-USVI-etc), >50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, Nicaragua, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, Mexico, <=50K
53, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,50, Philippines, <=50K
61, Private, HS-grad, Widowed, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Scotland, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,20, South, <=50K
47, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Guatemala, >50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
55, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,3103,0,40, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,45, El-Salvador, >50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1887,50, Taiwan, >50K
47, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,35, Nicaragua, <=50K
33, Private, Some-college, Never-married, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
39, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, Black, Male,0,0,18, Scotland, <=50K
57, Self-emp-not-inc, 9th, Widowed, Sales, Unmarried, White, Female,0,0,40, Vietnam, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,35, Trinadad&Tobago, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,30, Portugal, >50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
64, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,2347,65, Nicaragua, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, Peru, >50K
21, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,48, Scotland, <=50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, Haiti, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Columbia, <=50K
24, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Scotland, <=50K
71, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
54, Self-emp-inc, 7th-8th, Divorced, Priv-house-serv, Not-in-family, Other, Female,0,0,35, Hungary, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Other-service, Wife, Other, Male,0,0,35, Trinadad&Tobago, <=50K
34, Private, Bachelors, Divorced, Craft-repair, Other-relative, Black, Male,7298,0,35, Columbia, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,2829,0,40, Cambodia, <=50K
59, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, Philippines, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,45, United-States, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1887,40, United-States, >50K
19, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,20, Taiwan, <=50K
63, Private, Masters, Widowed, Sales, Husband, White, Male,0,0,50, Vietnam, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cambodia, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,5178,0,50, United-States, >50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Unmarried, Black, Female,0,0,35, Trinadad&Tobago, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,70, Greece, >50K
37, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Jamaica, >50K
41, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, Cambodia, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Philippines, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, >50K
31, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,50, Cambodia, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,20, United-States, >50K
74, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
61, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,3346,0,40, Trinadad&Tobago, >50K
32, Private, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
45, Self-emp-inc, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Guatemala, <=50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,3896,0,35, Canada, <=50K
