49, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1902,45, United-States, >50K
44, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,30, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
78, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,5, United-States, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, France, <=50K
90, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,16, Ireland, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, United-States, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,19637,0,54, United-States, >50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
42, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3147,0,35, United-States, >50K
36, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Local-gov, 5th-6th, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
21, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Female,0,0,35, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
61, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,23874,0,40, United-States, >50K
25, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, Laos, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, Prof-school, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,6, United-States, <=50K
66, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,1224,0,40, United-States, <=50K
76, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
43, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
61, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
58, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,15024,0,35, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
28, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,3380,0,12, United-States, >50K
37, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Portugal, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,42, United-States, <=50K
34, Private, Prof-school, Divorced, Exec-managerial, Wife, White, Female,0,0,60, United-States, >50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,54, United-States, <=50K
33, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
44, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Mexico, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,52, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1675,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,20, Mexico, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,63, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
36, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Local-gov, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Scotland, >50K
28, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Other, Male,2602,0,40, United-States, <=50K
38, Private, Prof-school, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,52, United-States, <=50K
43, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
36, Without-pay, Prof-school, Separated, Sales, Not-in-family, White, Male,0,0,72, United-States, <=50K
29, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,16, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
90, Private, 5th-6th, Widowed, Other-service, Husband, White, Male,0,0,21, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Japan, <=50K
41, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4719,0,40, United-States, >50K
68, State-gov, Masters, Widowed, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
41, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,15, United-States, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,7, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,46, United-States, >50K
21, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
50, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
67, Local-gov, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
34, Private, Doctorate, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,80, United-States, >50K
50, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
56, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
57, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Male,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
76, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2238,0,20, United-States, <=50K
62, Federal-gov, 11th, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
31, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,1858,30, United-States, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Female,0,0,34, United-States, <=50K
23, Local-gov, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
51, Local-gov, 5th-6th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Tech-support, Unmarried, White, Female,0,0,30, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Japan, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,25, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
62, Private, Masters, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,3786,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, <=50K
64, Private, Assoc-voc, Separated, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, <=50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1957,97, United-States, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,47, United-States, <=50K
42, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Jamaica, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,45, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Separated, Prof-specialty, Wife, White, Female,0,0,10, United-States, <=50K
34, Federal-gov, Some-college, Separated, Other-service, Own-child, White, Male,0,0,40, Columbia, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
31, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Local-gov, Masters, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,2256,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, 5th-6th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
42, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,0,1646,40, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Self-emp-inc, Bachelors, Separated, Sales, Not-in-family, White, Female,0,0,61, United-States, <=50K
70, Local-gov, 10th, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,9285,0,50, United-States, >50K
55, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
62, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
70, Private, Assoc-acdm, Widowed, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States, <=50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
44, Private, Doctorate, Divorced, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,2032,45, Japan, >50K
47, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
42, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,1902,40, United-States, <=50K
59, Private, Masters, Divorced, Craft-repair, Not-in-family, White, Female,0,0,36, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Priv-house-serv, Wife, White, Male,8376,0,40, United-States, >50K
19, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
51, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-inc, Masters, Never-married, Prof-specialty, Wife, White, Female,0,0,20, United-States, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, England, >50K
44, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Federal-gov, Assoc-voc, Never-married, Sales, Husband, White, Male,99999,0,70, United-States, >50K
42, Private, Some-college, Separated, Sales, Wife, White, Male,0,0,60, United-States, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
71, Private, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Male,9130,0,45, United-States, >50K
34, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,2621,0,20, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1664,40, United-States, <=50K
53, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,20, United-States, <=50K
39, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
