50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,70, Hong, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
50, Private, HS-grad, Divorced, Tech-support, Other-relative, Black, Male,0,0,40, United-States, <=50K
43, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Never-married, Sales, Wife, Black, Female,0,0,20, Honduras, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1489,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2202,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,4361,0,48, United-States, >50K
62, Local-gov, 9th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Japan, >50K
49, Federal-gov, 7th-8th, Divorced, Other-service, Other-relative, White, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1107,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
41, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,29, United-States, <=50K
40, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,15024,0,54, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
25, Private, Masters, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
81, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,14, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, India, >50K
30, Self-emp-not-inc, HS-grad, Married-spouse-absent, Exec-managerial, Other-relative, White, Male,0,0,60, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, >50K
58, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2107,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
86, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,10, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3103,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Philippines, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
68, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Philippines, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
29, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
27, State-gov, Some-college, Never-married, Protective-serv, Unmarried, Black, Female,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Masters, Never-married, Sales, Unmarried, Other, Female,5178,0,40, United-States, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Mexico, <=50K
34, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,1752,50, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,80, United-States, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
55, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Thailand, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
19, Self-emp-inc, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, >50K
27, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1902,51, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
50, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,50, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, >50K
30, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1581,40, United-States, >50K
23, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,15, United-States, <=50K
40, State-gov, Bachelors, Divorced, Transport-moving, Husband, White, Male,8614,0,51, United-States, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Germany, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, Mexico, <=50K
52, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Widowed, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,2163,0,50, United-States, >50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,32, Canada, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
25, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,24, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, England, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,22, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,3345,0,40, United-States, >50K
51, State-gov, Masters, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
37, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Canada, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Masters, Never-married, Other-service, Own-child, White, Female,810,0,20, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,94, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,13, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,1618,40, United-States, <=50K
52, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Ireland, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,29, United-States, <=50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,5178,0,40, United-States, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1853,40, United-States, >50K
20, Private, Bachelors, Never-married, Prof-specialty, Other-relative, Black, Male,0,0,29, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
47, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,1977,40, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
51, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
31, State-gov, Bachelors, Married-spouse-absent, Farming-fishing, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7298,0,50, United-States, >50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,34, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Wife, Black, Male,4938,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Holand-Netherlands, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,29, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
66, Local-gov, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,20, Mexico, >50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Other, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
48, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,2628,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
40, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
35, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,10, Columbia, <=50K
40, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,1495,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
62, Private, Some-college, Widowed, Sales, Wife, White, Female,7687,0,38, United-States, >50K
33, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,29, Portugal, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
