59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
45, Self-emp-not-inc, Some-college, Widowed, Prof-specialty, Wife, White, Male,0,0,70, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, Yugoslavia, <=50K
33, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
27, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,6041,0,43, United-States, >50K
33, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
58, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1713,45, United-States, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, South, <=50K
46, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Separated, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
49, State-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,14083,0,40, United-States, <=50K
59, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
29, Without-pay, Assoc-voc, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
58, Federal-gov, 5th-6th, Divorced, Craft-repair, Husband, White, Female,0,2259,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Poland, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Peru, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, Nicaragua, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Male,13762,0,50, El-Salvador, >50K
40, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,45, Dominican-Republic, <=50K
36, Private, Some-college, Never-married, Farming-fishing, Husband, White, Male,0,0,99, United-States, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
59, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
40, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,4, United-States, <=50K
36, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,13944,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,38, United-States, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Sales, Wife, White, Female,0,0,15, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Wife, White, Male,0,0,54, United-States, <=50K
24, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,2709,0,40, United-States, <=50K
24, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
29, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,43, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, El-Salvador, <=50K
43, State-gov, Masters, Separated, Sales, Wife, White, Female,7298,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Philippines, <=50K
25, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,4, United-States, <=50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Masters, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,99, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,56, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,4064,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Widowed, Sales, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4064,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States, >50K
29, Private, Doctorate, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, United-States, >50K
47, State-gov, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
58, Private, Bachelors, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,34, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,2290,65, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Widowed, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
43, State-gov, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
34, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, Portugal, <=50K
24, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, United-States, <=50K
72, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,7687,0,35, Puerto-Rico, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3206,0,40, China, <=50K
61, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
48, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
63, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7129,0,50, United-States, <=50K
43, Private, Some-college, Divorced, Transport-moving, Wife, White, Female,0,0,35, United-States, <=50K
39, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
38, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, >50K
42, State-gov, HS-grad, Divorced, Sales, Other-relative, White, Female,0,0,35, China, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, China, >50K
51, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,7687,0,20, United-States, >50K
74, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3423,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
45, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Widowed, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4495,0,35, Germany, >50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Guatemala, >50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,34, Puerto-Rico, <=50K
37, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
37, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
37, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,15024,0,40, United-States, >50K
41, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
56, Self-emp-inc, Prof-school, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,43, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
18, Private, 11th, Never-married, Priv-house-serv, Own-child, White, Female,2193,0,20, United-States, <=50K
