59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,37, Germany, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
44, Private, Assoc-acdm, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, >50K
26, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Guatemala, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, Some-college, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,15, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, Hong, <=50K
33, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,38, Greece, <=50K
67, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,37, Jamaica, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Female,0,0,35, Canada, <=50K
39, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,60, China, <=50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,4669,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,91, Honduras, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,40, Outlying-US(Guam-USVI-etc), >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Peru, <=50K
40, Without-pay, HS-grad, Never-married, Protective-serv, Unmarried, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,1715,45, Germany, <=50K
22, Private, Prof-school, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
60, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
63, Private, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,99, Hungary, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, South, >50K
26, Private, HS-grad, Separated, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,50, United-States, <=50K
42, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,25, Portugal, <=50K
50, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, Yugoslavia, <=50K
81, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, England, >50K
76, Self-emp-not-inc, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, Haiti, <=50K
34, Private, Assoc-voc, Divorced, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, Germany, <=50K
43, Private, 11th, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,0,0,16, United-States, <=50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,45, Haiti, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Columbia, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,8, Yugoslavia, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
38, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, <=50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,16, United-States, <=50K
46, Private, 7th-8th, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Italy, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Wife, Black, Male,7298,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Craft-repair, Own-child, Black, Female,0,0,10, El-Salvador, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40,, <=50K
38, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
27, Federal-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, France, <=50K
49, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,30, Puerto-Rico, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,50, Philippines, <=50K
31, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,35, Iran, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Iran, <=50K
33, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Thailand, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,54, Trinadad&Tobago, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, Poland, <=50K
59, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Mexico, <=50K
71, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,12, Germany, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, China, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,60, Columbia, <=50K
36, State-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
51, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,45, United-States, <=50K
25, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,70, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, Yugoslavia, <=50K
33, Local-gov, Some-college, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
39, Private, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
27, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,5329,0,45, Jamaica, >50K
33, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,1887,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1672,45, United-States, >50K
53, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Female,0,0,48, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, France, <=50K
45, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Honduras, <=50K
39, Private, 5th-6th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Divorced, Farming-fishing, Own-child, White, Female,0,0,40, Peru, <=50K
43, Private, 9th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Hungary, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, El-Salvador, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-spouse-absent, Priv-house-serv, Own-child, White, Male,10520,0,40, United-States, <=50K
59, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
48, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,30, Thailand, >50K
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
30, Without-pay, 5th-6th, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
58, Federal-gov, 5th-6th, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,2201,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,16, Outlying-US(Guam-USVI-etc), <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,45, Ecuador, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Portugal, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,40, England, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Ireland, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, Cuba, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,9033,0,50, Canada, <=50K
39, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, Canada, <=50K
37, Federal-gov, Some-college, Never-married, Farming-fishing, Husband, White, Female,0,0,99, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1887,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, El-Salvador, >50K
39, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
49, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,4, United-States, <=50K
36, Self-emp-inc, HS-grad, Never-married, Other-service, Husband, White, Female,10502,0,45, United-States, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,36, South, <=50K
45, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,15, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,54, United-States, <=50K
24, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,2259,0,40, United-States, <=50K
24, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
29, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Trinadad&Tobago, <=50K
30, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Canada, <=50K
43, State-gov, HS-grad, Never-married, Sales, Wife, Black, Male,4386,0,40, Taiwan, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, 11th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,4, United-States, >50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Widowed, Prof-specialty, Unmarried, Other, Female,0,0,40, Scotland, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,99, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,54, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,2230,0,40, United-States, >50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,52, United-States, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, Masters, Widowed, Sales, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, HS-grad, Widowed, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Vietnam, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Jamaica, >50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,1439,0,40, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,43, Haiti, >50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, United-States, >50K
47, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,16, United-States, <=50K
57, Self-emp-not-inc, 9th, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Male,0,0,32, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,30, United-States, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,2361,65, United-States, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Iran, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Wife, Other, Female,0,0,40, United-States, >50K
54, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,52, United-States, >50K
21, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,48, United-States, <=50K
42, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Mexico, <=50K
34, Private, Bachelors, Divorced, Adm-clerical, Other-relative, White, Male,0,0,50, Ecuador, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
71, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Italy, <=50K
54, Private, 7th-8th, Divorced, Other-service, Not-in-family, White, Female,0,0,35, Poland, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
36, Private, Bachelors, Divorced, Craft-repair, Unmarried, Other, Male,6698,0,35, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,2886,0,40, Cambodia, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, United-States, >50K
48, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,45, United-States, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1887,40, United-States, >50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K
64, Private, Prof-school, Widowed, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5067,0,50, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, Other, Female,0,0,35, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,35, United-States, <=50K
35, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,70, Italy, >50K
37, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Trinadad&Tobago, >50K
42, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, Cambodia, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Cambodia, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,20, United-States, >50K
75, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
62, Private, HS-grad, Divorced, Handlers-cleaners, Husband, White, Male,2530,0,40, United-States, >50K
32, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
45, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,3459,0,35, China, <=50K
29, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
46, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, China, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, Jamaica, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, France, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Haiti, <=50K
62, Private, Masters, Divorced, Other-service, Not-in-family, Other, Female,0,0,30, El-Salvador, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, England, <=50K
37, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Italy, <=50K
