33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Peru, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
31, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
50, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,22, United-States, <=50K
31, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Germany, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,93, United-States, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
43, Private, 7th-8th, Separated, Adm-clerical, Husband, White, Male,0,0,37, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, >50K
19, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, Trinadad&Tobago, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
48, Private, HS-grad, Never-married, Tech-support, Unmarried, Black, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
37, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
24, Private, 11th, Never-married, Transport-moving, Own-child, Other, Male,0,0,35, Guatemala, <=50K
34, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, Puerto-Rico, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
21, Private, Bachelors, Divorced, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Mexico, >50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Hong, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,48, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,25, United-States, <=50K
22, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Female,1082,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,54, Haiti, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,99999,0,50, United-States, >50K
37, Local-gov, Assoc-acdm, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,40, Ireland, <=50K
53, Federal-gov, 5th-6th, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
59, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, Black, Male,7298,0,20, United-States, <=50K
50, Self-emp-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,1720,30, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
33, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,60, United-States, <=50K
39, State-gov, Masters, Separated, Sales, Not-in-family, White, Male,0,1724,40, United-States, <=50K
40, Private, Bachelors, Divorced, Handlers-cleaners, Husband, White, Male,2812,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,24, United-States, <=50K
31, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Other-relative, White, Male,0,0,10, United-States, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, Black, Male,4830,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,48, United-States, >50K
38, Private, Some-college, Separated, Prof-specialty, Unmarried, Black, Female,0,0,20, Guatemala, <=50K
27, Self-emp-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
43, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, <=50K
58, Local-gov, 5th-6th, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,60, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
66, State-gov, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,50, United-States, <=50K
42, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
78, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,10057,0,44, United-States, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Mexico, >50K
67, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-spouse-absent, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,1902,40, United-States, >50K
69, Federal-gov, 10th, Separated, Exec-managerial, Not-in-family, White, Female,0,0,25, United-States, <=50K
37, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Mexico, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,40, Philippines, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
19, Self-emp-not-inc, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
51, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
46, State-gov, Some-college, Married-civ-spouse, Protective-serv, Wife, Black, Male,7687,0,35, United-States, >50K
51, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,42, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, United-States, >50K
27, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
56, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,41, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
48, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
47, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,22, United-States, <=50K
62, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Federal-gov, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,26, United-States, <=50K
37, Local-gov, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States, >50K
37, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,1979,13, United-States, >50K
39, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
29, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,3878,0,40, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,10, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,35, France, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
57, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Farming-fishing, Husband, Other, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,38, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, Yugoslavia, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Canada, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, >50K
42, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Other, Male,3108,0,40, United-States, >50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,1123,0,40, England, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,65, United-States, <=50K
34, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, >50K
44, State-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
31, Private, Some-college, Never-married, Sales, Wife, Other, Male,0,0,50, United-States, <=50K
53, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051,0,50, Canada, >50K
53, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, >50K
38, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,3807,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,14025,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,1597,73, United-States, >50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,87, Iran, >50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Widowed, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
20, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Japan, <=50K
23, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, United-States, >50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, United-States, >50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
68, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Wife, Black, Male,0,0,45, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,3470,0,50, Haiti, <=50K
26, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Other-relative, White, Female,4877,0,40, United-States, <=50K
63, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,0,72, United-States, >50K
35, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
22, Private, 11th, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, China, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
45, Private, Some-college, Widowed, Prof-specialty, Wife, White, Female,0,0,35, United-States, <=50K
39, Self-emp-inc, Some-college, Divorced, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Widowed, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, >50K
50, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
