27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Honduras, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,35, Iran, >50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,10, United-States, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, Doctorate, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, El-Salvador, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Japan, >50K
33, Private, Bachelors, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, Hong, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Philippines, <=50K
52, Self-emp-not-inc, Doctorate, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,99, China, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Columbia, >50K
25, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,25, Yugoslavia, <=50K
43, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,0,66, United-States, <=50K
55, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,26, Italy, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, South, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,70, Italy, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,20, Hungary, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,50, Philippines, >50K
28, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
38, Federal-gov, 5th-6th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,45, Mexico, <=50K
38, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
58, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Unmarried, White, Male,0,0,84, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, Haiti, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,54, Iran, <=50K
54, Self-emp-inc, Assoc-acdm, Widowed, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
22, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, Honduras, <=50K
43, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,2774,0,60, United-States, >50K
51, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Ireland, <=50K
55, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
33, Private, Masters, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
30, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Portugal, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, >50K
57, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Female,0,0,50, United-States, <=50K
27, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
31, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Peru, >50K
38, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, Poland, <=50K
49, Self-emp-inc, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,20, Germany, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Iran, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,54, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,45, Honduras, <=50K
33, Private, Bachelors, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,55, Portugal, <=50K
46, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, Black, Female,0,0,30, Dominican-Republic, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Honduras, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1890,48, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, United-States, >50K
56, Self-emp-inc, Bachelors, Divorced, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Germany, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Ecuador, >50K
20, Private, Some-college, Never-married, Armed-Forces, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
42, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Scotland, >50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,25, Dominican-Republic, <=50K
68, Self-emp-inc, HS-grad, Separated, Other-service, Unmarried, White, Male,0,0,20, Laos, <=50K
35, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
41, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Peru, <=50K
32, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, >50K
20, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
68, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,2121,40, Laos, <=50K
27, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,7687,0,40, United-States, >50K
43, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,9391,0,40, United-States, <=50K
54, Without-pay, Some-college, Widowed, Prof-specialty, Husband, White, Male,2748,0,40, United-States, <=50K
22, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Italy, <=50K
41, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,25, Poland, <=50K
28, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,60, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,8, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,10, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,40, United-States, >50K
36, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,70, United-States, >50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,60, Ecuador, >50K
20, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, State-gov, HS-grad, Separated, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
37, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Japan, >50K
25, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, Poland, <=50K
28, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,16, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,3639,0,30, Greece, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Thailand, <=50K
43, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
65, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
38, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,65, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, Germany, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Thailand, >50K
43, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1620,60, Trinadad&Tobago, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Honduras, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,27, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
33, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, <=50K
49, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,6516,0,40, United-States, >50K
90, Private, 5th-6th, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,36, United-States, <=50K
28, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1976,45, India, >50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, >50K
36, Private, Bachelors, Separated, Transport-moving, Not-in-family, White, Male,0,2207,70, United-States, <=50K
29, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,99999,0,30, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, South, <=50K
59, Private, Some-college, Separated, Tech-support, Husband, White, Male,0,0,40, Jamaica, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
44, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
55, Private, Bachelors, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ireland, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, >50K
42, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,81, United-States, >50K
60, Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
31, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, >50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,60, Cuba, >50K
21, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Female,0,0,35, United-States, <=50K
34, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, South, <=50K
33, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,16, Germany, <=50K
38, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
74, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,55, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Other, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
50, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
25, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
48, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,1660,48, United-States, >50K
50, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, Columbia, <=50K
68, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, <=50K
58, Local-gov, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, >50K
37, State-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,20, United-States, <=50K
61, Private, Some-college, Widowed, Prof-specialty, Wife, Black, Female,0,0,25, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,35, Cambodia, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,50, United-States, >50K
26, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
58, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,60, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,31, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Ecuador, >50K
58, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Scotland, <=50K
30, Private, Assoc-acdm, Separated, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, United-States, <=50K
34, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,70, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,13, Thailand, <=50K
41, Self-emp-inc, Bachelors, Married-spouse-absent, Protective-serv, Husband, Black, Male,7687,0,60, United-States, >50K
54, Local-gov, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, France, <=50K
22, Private, Bachelors, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, 12th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, South, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
53, Private, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1959,20, Thailand, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,40, United-States, >50K
44, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
26, Private, 10th, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, France, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
42, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Italy, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,13658,0,10, United-States, >50K
29, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
20, Private, 11th, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ireland, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, Canada, <=50K
54, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Puerto-Rico, <=50K
70, Self-emp-not-inc, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Federal-gov, 11th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
44, Private, Some-college, Separated, Sales, Wife, White, Female,0,1887,42, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hungary, >50K
