21, Private, Masters, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Honduras, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4241,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Japan, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Thailand, <=50K
50, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,99, China, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Cuba, >50K
36, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Yugoslavia, <=50K
56, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Laos, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
51, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, Japan, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, Laos, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,25, United-States, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,5013,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, Philippines, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
45, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Peru, >50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
19, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,35, United-States, <=50K
51, Private, Prof-school, Divorced, Adm-clerical, Unmarried, White, Female,0,1602,40, Yugoslavia, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
28, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Italy, <=50K
22, Private, Assoc-voc, Never-married, Priv-house-serv, Own-child, White, Female,0,0,24, United-States, <=50K
65, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, >50K
29, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, United-States, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,45, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,42, United-States, <=50K
36, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Italy, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Dominican-Republic, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, >50K
60, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Craft-repair, Husband, Other, Male,2247,0,40, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, Poland, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Poland, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,48, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,45, Italy, <=50K
32, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Hong, <=50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Taiwan, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,10, El-Salvador, <=50K
52, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Ireland, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,25, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Greece, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, El-Salvador, >50K
32, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,54, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
29, Private, Prof-school, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Local-gov, Masters, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, <=50K
26, Self-emp-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
55, Private, HS-grad, Separated, Tech-support, Unmarried, White, Female,0,0,35, Scotland, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, France, <=50K
46, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female,0,0,15, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,45, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,45, United-States, >50K
33, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,65, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,54, Peru, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Prof-school, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1602,40, United-States, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,60, Nicaragua, <=50K
54, Private, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,1590,50, United-States, <=50K
65, Private, HS-grad, Widowed, Sales, Husband, White, Female,0,0,40, United-States, >50K
22, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,45, United-States, <=50K
22, Private, 11th, Separated, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, El-Salvador, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,7298,0,20, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
44, Private, Some-college, Separated, Exec-managerial, Unmarried, Other, Female,0,0,45, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
65, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,25, Japan, >50K
22, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, South, <=50K
44, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,4057,0,70, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,1590,58, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Local-gov, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
42, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Guatemala, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
26, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Wife, White, Female,0,1977,24, Italy, >50K
27, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,2838,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,50, United-States, >50K
30, Private, 9th, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Honduras, <=50K
69, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
36, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States, >50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,28, Italy, <=50K
41, Private, Masters, Widowed, Prof-specialty, Unmarried, White, Female,0,0,47, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,1602,40, United-States, <=50K
32, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, Scotland, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
26, Local-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
56, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
47, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,4638,0,40, United-States, <=50K
29, Private, Some-college, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Japan, <=50K
61, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,80, United-States, >50K
23, Local-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Craft-repair, Own-child, Other, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, Vietnam, <=50K
32, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, Cuba, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, Guatemala, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Male,0,2415,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,88839,0,54, Yugoslavia, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cambodia, >50K
65, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,15, United-States, >50K
55, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,54, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,14156,0,40, Cuba, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Separated, Handlers-cleaners, Wife, White, Male,0,0,30, United-States, <=50K
53, Local-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, Italy, <=50K
33, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, United-States, <=50K
44, Federal-gov, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,50, Cambodia, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,10, United-States, <=50K
67, State-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, >50K
56, Private, 9th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
38, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,827,0,40, United-States, <=50K
47, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
66, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Ecuador, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Separated, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
51, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, <=50K
33, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,50, United-States, >50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Doctorate, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,50, United-States, >50K
50, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Separated, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
58, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ecuador, >50K
39, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,50, United-States, >50K
22, Private, Some-college, Divorced, Transport-moving, Own-child, Other, Female,0,0,40, Italy, <=50K
37, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,40, United-States, >50K
33, Self-emp-inc, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,50, Japan, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Canada, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,60, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2039,47, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
