19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,24, Greece, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, Hungary, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, Guatemala, >50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, Japan, <=50K
41, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Female,0,0,45, China, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, China, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, >50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Hong, <=50K
71, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,10, Nicaragua, <=50K
40, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,71, Peru, <=50K
40, State-gov, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,25, Guatemala, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
53, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,45, Italy, >50K
57, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,53, United-States, >50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,50, Iran, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, South, <=50K
29, Local-gov, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Self-emp-not-inc, 11th, Never-married, Prof-specialty, Wife, White, Male,5110,0,4, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,78, Puerto-Rico, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,30, France, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Haiti, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Thailand, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
35, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
59, Private, 11th, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, United-States, <=50K
64, Private, 1st-4th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, Guatemala, <=50K
54, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,36, Columbia, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,47, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Peru, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, Ireland, <=50K
81, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, Jamaica, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
55, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Haiti, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, United-States, >50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Germany, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
58, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Private, Assoc-voc, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, Columbia, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,54, Greece, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1717,50, United-States, >50K
34, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,1977,13, Dominican-Republic, <=50K
60, Private, Some-college, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, Scotland, <=50K
23, Private, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,24, Nicaragua, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
22, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male,0,0,23, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,45, Cuba, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Hungary, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Italy, <=50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,50, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
67, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,50, Philippines, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
23, Self-emp-inc, Masters, Never-married, Exec-managerial, Other-relative, White, Male,0,0,50, United-States, <=50K
58, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,60, Philippines, <=50K
18, Private, 12th, Married-civ-spouse, Other-service, Own-child, Other, Male,0,0,10, Hong, <=50K
32, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,40, Laos, <=50K
86, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1977,70, United-States, >50K
36, Private, Some-college, Separated, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Other, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3440,0,40, United-States, <=50K
50, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,78, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,96, United-States, >50K
45, Private, Masters, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
44, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
21, State-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1750,8, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
46, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
56, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,10, Laos, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Other, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,25, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,53, England, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, Peru, >50K
63, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
42, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,61, South, <=50K
61, Federal-gov, 9th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,38, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, England, <=50K
44, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, Philippines, <=50K
41, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Peru, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,37, Germany, >50K
55, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Puerto-Rico, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,2026,36, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
55, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
60, Self-emp-inc, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,71, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, Portugal, >50K
28, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
27, State-gov, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,36, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Own-child, White, Male,3103,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
88, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,32, Haiti, <=50K
45, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,7323,0,45, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,15, United-States, <=50K
65, Local-gov, 10th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, >50K
64, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Male,2865,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1602,40, Outlying-US(Guam-USVI-etc), >50K
34, Private, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, Hong, <=50K
28, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,1977,40, Trinadad&Tobago, <=50K
53, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
53, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,4650,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Honduras, <=50K
50, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
48, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 12th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Female,2677,0,40, Scotland, >50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,69, Yugoslavia, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,30, China, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,15024,0,44, Scotland, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
53, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, England, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Peru, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Poland, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, Cambodia, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
64, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
43, Local-gov, Some-college, Married-civ-spouse, Tech-support, Wife, Black, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,3942,0,40, China, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 7th-8th, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, Haiti, <=50K
53, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, Black, Female,0,0,35, United-States, <=50K
50, Federal-gov, Some-college, Separated, Prof-specialty, Unmarried, Other, Male,0,0,72, Cambodia, <=50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Male,7687,0,45, United-States, >50K
23, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Mexico, >50K
77, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, >50K
35, Local-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
63, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
56, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, Dominican-Republic, >50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
47, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, White, Male,8614,0,40, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1712,48, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Scotland, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Peru, >50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Trinadad&Tobago, >50K
28, Local-gov, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, El-Salvador, <=50K
66, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,3230,0,20, Puerto-Rico, >50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Other, Male,0,0,40, Poland, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1977,15, Puerto-Rico, >50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,8, Nicaragua, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,35, Vietnam, <=50K
67, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Poland, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,37, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Cuba, <=50K
41, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,30, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
44, Local-gov, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
31, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,45, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Male,0,0,35, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,40, Honduras, >50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,7298,0,60, United-States, >50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
28, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Honduras, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,20, Cambodia, >50K
61, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,10, Puerto-Rico, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Mexico, <=50K
