56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Germany, >50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, England, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1644,40, Peru, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, >50K
31, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
54, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
49, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,50, England, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, United-States, >50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Peru, <=50K
26, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Peru, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Greece, >50K
41, Private, Masters, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
59, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,3348,0,30, United-States, <=50K
46, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,16, United-States, <=50K
35, Private, HS-grad, Separated, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,37, United-States, <=50K
57, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4000,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
26, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
63, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,50, Portugal, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, 7th-8th, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,45, United-States, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,4652,0,20, Haiti, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Widowed, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 11th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,70, United-States, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,1854,38, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,30, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Nicaragua, >50K
48, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,45, Hong, <=50K
42, Local-gov, 7th-8th, Never-married, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
72, Local-gov, Masters, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
51, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,50, Hong, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Scotland, >50K
27, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,70, United-States, <=50K
19, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,16, Yugoslavia, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,35, Columbia, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Peru, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Peru, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Vietnam, >50K
43, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, Black, Male,0,0,42, Portugal, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, Yugoslavia, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,0,0,38, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,81, United-States, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Peru, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,44, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Black, Male,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, China, <=50K
67, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,30, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Wife, Other, Female,0,0,38, United-States, <=50K
37, Private, 1st-4th, Never-married, Exec-managerial, Wife, White, Female,0,0,30, Honduras, >50K
55, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, Black, Female,0,0,35, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,45, Cambodia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
52, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,38, United-States, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Laos, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,54, United-States, <=50K
40, Private, Doctorate, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,14132,0,99, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, 5th-6th, Divorced, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,38, Dominican-Republic, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,21, Mexico, <=50K
54, Private, 9th, Widowed, Craft-repair, Unmarried, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
25, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
90, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Ecuador, >50K
25, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,74, Puerto-Rico, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,40, Poland, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Scotland, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,25, Mexico, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Assoc-acdm, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, Bachelors, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Vietnam, <=50K
24, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,60, Peru, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Male,0,0,40, Columbia, <=50K
29, Private, 10th, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,48, United-States, >50K
36, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, El-Salvador, >50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,48, United-States, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,4126,0,40, United-States, >50K
45, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,2417,50, United-States, >50K
18, Private, Some-college, Divorced, Tech-support, Own-child, Black, Female,0,0,16, Hong, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,1661,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,54, Honduras, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Scotland, <=50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
