58, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,37, Cuba, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
20, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,16, Jamaica, <=50K
45, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,30, France, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,7687,0,40, Ireland, >50K
30, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Japan, <=50K
22, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,12, Columbia, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,40,, <=50K
36, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, Mexico, <=50K
25, Federal-gov, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Cuba, <=50K
47, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,30, Honduras, <=50K
40, State-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,50, Haiti, <=50K
30, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,35, France, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, England, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,40, Guatemala, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,35, Japan, <=50K
32, Local-gov, Masters, Divorced, Sales, Own-child, White, Male,0,0,40, Philippines, >50K
55, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Hungary, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Female,0,0,54, India, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Haiti, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, Taiwan, <=50K
53, Private, 7th-8th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,45, Japan, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Greece, >50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,14918,0,8, Dominican-Republic, <=50K
29, Private, Some-college, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Canada, >50K
23, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
31, Private, Some-college, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,60, Canada, <=50K
35, Self-emp-not-inc, 5th-6th, Divorced, Craft-repair, Other-relative, White, Female,0,0,35, United-States, <=50K
51, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Iran, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Portugal, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Unmarried, White, Female,0,0,45, Peru, >50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Peru, <=50K
43, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,70, Iran, >50K
26, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, Iran, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, Taiwan, <=50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Italy, >50K
19, Self-emp-inc, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,30, Yugoslavia, <=50K
31, Local-gov, Some-college, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Italy, <=50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Portugal, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Black, Female,0,0,35, Peru, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Male,7682,0,43, Germany, >50K
32, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Trinadad&Tobago, >50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
26, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Jamaica, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,1902,40, United-States, >50K
56, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1902,50, Iran, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,48, Jamaica, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Thailand, >50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
27, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Female,0,0,30, Cuba, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Ecuador, <=50K
38, Private, 1st-4th, Divorced, Protective-serv, Husband, White, Male,0,0,50, Portugal, >50K
28, Private, Some-college, Never-married, Sales, Husband, White, Female,0,0,40, Poland, <=50K
24, Self-emp-not-inc, Some-college, Married-spouse-absent, Tech-support, Husband, White, Male,0,0,45, South, <=50K
24, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
42, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, El-Salvador, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Vietnam, <=50K
34, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,14083,0,40, Thailand, <=50K
58, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Jamaica, <=50K
47, Private, HS-grad, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,30, Hungary, >50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Vietnam, <=50K
28, Without-pay, 12th, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Japan, <=50K
55, Federal-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,40, United-States, >50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,16, Guatemala, <=50K
59, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, China, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Honduras, <=50K
50, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, White, Female,0,0,40, Cuba, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, France, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, Honduras, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, China, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,12469,0,50, Cambodia, >50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Cambodia, <=50K
37, Federal-gov, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, Taiwan, >50K
34, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1902,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Priv-house-serv, Unmarried, White, Female,0,0,40, Mexico, <=50K
65, Self-emp-not-inc, HS-grad, Divorced, Other-service, Husband, Asian-Pac-Islander, Male,0,0,35, Peru, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
57, Local-gov, HS-grad, Divorced, Tech-support, Husband, White, Male,0,0,40, Columbia, <=50K
38, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Jamaica, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Thailand, <=50K
47, State-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Male,0,0,35, Portugal, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,4, Jamaica, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,10520,0,45, Iran, >50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,36, Hong, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,15, Portugal, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
22, Private, 9th, Divorced, Craft-repair, Not-in-family, White, Male,3897,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Federal-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, South, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Jamaica, >50K
28, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, India, <=50K
28, Private, Some-college, Separated, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
57, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Male,0,0,40, Mexico, <=50K
43, Local-gov, 1st-4th, Divorced, Protective-serv, Husband, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,40, South, <=50K
23, Private, Assoc-acdm, Never-married, Other-service, Husband, White, Male,0,0,43, Cambodia, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Sales, Wife, White, Male,7298,0,40, Hungary, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, Mexico, <=50K
23, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,25, Mexico, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
24, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,40, Jamaica, <=50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,4, Puerto-Rico, <=50K
46, Self-emp-inc, Assoc-voc, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, Honduras, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,99, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,54, Philippines, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,855,0,40, Italy, >50K
30, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, Italy, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Scotland, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ireland, <=50K
53, Local-gov, Masters, Widowed, Sales, Husband, White, Male,0,0,50, Japan, <=50K
60, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,45, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Female,0,0,20, Peru, <=50K
47, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, France, <=50K
34, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
53, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Thailand, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,42, Ecuador, >50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,1893,50, Poland, <=50K
46, State-gov, Some-college, Widowed, Other-service, Wife, Black, Male,0,0,35, Italy, <=50K
32, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
39, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, Jamaica, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,16, Outlying-US(Guam-USVI-etc), <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, Vietnam, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,30, Portugal, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Other-service, Husband, White, Female,0,0,30, Nicaragua, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Ireland, <=50K
62, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,60, Jamaica, >50K
41, Private, Assoc-acdm, Divorced, Sales, Husband, White, Male,0,0,50, France, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, >50K
53, Self-emp-not-inc, Bachelors, Widowed, Sales, Not-in-family, White, Female,0,0,50, Jamaica, >50K
20, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, Peru, >50K
41, State-gov, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, Greece, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, Columbia, <=50K
23, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
71, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, <=50K
53, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,35, Haiti, <=50K
24, Private, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Puerto-Rico, >50K
42, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, Poland, <=50K
35, Private, Bachelors, Divorced, Other-service, Other-relative, White, Male,8125,0,25, China, <=50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,4494,0,40, Cambodia, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,10520,0,50, Japan, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1976,45, Trinadad&Tobago, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, South, >50K
19, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, Philippines, <=50K
62, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,50, Vietnam, <=50K
54, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Cambodia, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,6054,0,50, United-States, <=50K
41, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, Poland, <=50K
37, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,35, South, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,50, Vietnam, <=50K
26, Private, Bachelors, Divorced, Other-service, Own-child, White, Female,0,0,36, United-States, <=50K
43, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,70, France, <=50K
36, Private, Some-college, Separated, Adm-clerical, Husband, White, Male,0,0,40, Nicaragua, <=50K
22, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, Portugal, <=50K
53, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, India, <=50K
41, State-gov, HS-grad, Divorced, Prof-specialty, Other-relative, White, Female,0,0,35, Cambodia, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Portugal, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Japan, >50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
30, Private, Prof-school, Never-married, Exec-managerial, Husband, White, Male,7687,0,50, Cambodia, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,18, Trinadad&Tobago, >50K
74, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,20, United-States, <=50K
59, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,5227,0,40, Portugal, >50K
31, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,25, Trinadad&Tobago, <=50K
44, Self-emp-inc, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Italy, <=50K
49, Private, Doctorate, Married-civ-spouse, Priv-house-serv, Unmarried, White, Female,0,0,40, Germany, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,30, Canada, >50K
28, Local-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,40, Jamaica, <=50K
56, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,30, Greece, >50K
45, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Canada, <=50K
25, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, Cuba, <=50K
35, Self-emp-inc, Masters, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, Ecuador, <=50K
61, Private, Masters, Divorced, Prof-specialty, Husband, White, Female,0,0,30, Columbia, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
35, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, <=50K
