63, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
48, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1812,50, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
19, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
53, Private, Masters, Divorced, Sales, Husband, White, Female,0,0,13, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,1881,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,2581,0,54, United-States, >50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Philippines, <=50K
35, Private, Doctorate, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Black, Male,0,0,25, United-States, <=50K
42, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
46, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private, 12th, Never-married, Tech-support, Own-child, White, Female,0,0,20, Mexico, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
25, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,1652,50, United-States, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Philippines, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,45, Mexico, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,54, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Other, Female,5013,0,50, Mexico, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, United-States, >50K
23, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico, >50K
41, Federal-gov, 5th-6th, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,50, United-States, >50K
51, Private, Some-college, Separated, Sales, Not-in-family, Black, Male,3586,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,24, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
28, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
45, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,15024,0,60, United-States, <=50K
22, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
27, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,3939,0,40, United-States, >50K
47, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
17, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, >50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Mexico, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, <=50K
38, State-gov, HS-grad, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,12, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,70, United-States, >50K
25, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
19, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,1979,60, United-States, >50K
30, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,48, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
70, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
38, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
19, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,25616,0,50, United-States, <=50K
64, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Black, Male,0,0,32, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1902,40, United-States, >50K
24, Private, 12th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Never-married, Farming-fishing, Other-relative, White, Female,0,0,60, United-States, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
35, Private, 9th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,25, United-States, <=50K
49, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,48, United-States, <=50K
26, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
41, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
46, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,38, United-States, >50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,50, United-States, >50K
50, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,37, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
26, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
71, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Husband, White, Male,0,0,20, Guatemala, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
36, Private, Some-college, Divorced, Tech-support, Husband, White, Male,7298,0,40, United-States, <=50K
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
43, Private, Bachelors, Widowed, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,25, United-States, <=50K
40, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,5033,0,61, China, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,91, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,25, United-States, <=50K
27, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, India, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,7298,0,60, United-States, <=50K
36, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,71, United-States, >50K
28, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,30, United-States, >50K
44, Private, Some-college, Married-spouse-absent, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,8, Columbia, <=50K
42, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
48, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,15024,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,48, United-States, >50K
68, Private, 1st-4th, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, Black, Male,0,0,36, United-States, <=50K
40, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
28, Private, 5th-6th, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,48, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
27, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
32, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,15024,0,60, Japan, >50K
24, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,48, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,27, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,1977,50, United-States, >50K
44, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,48, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,32, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
35, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, >50K
70, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
59, Private, Doctorate, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,4977,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States, >50K
