62, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Germany, <=50K
57, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Dominican-Republic, >50K
29, Federal-gov, 5th-6th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, India, <=50K
41, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
43, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,4308,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Without-pay, Some-college, Separated, Other-service, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,1982,45, Honduras, >50K
43, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,42, Japan, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,5015,0,40, United-States, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,38, United-States, >50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
79, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
34, Private, Prof-school, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Separated, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,36, Cuba, <=50K
70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
52, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
48, Private, Masters, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Hong, >50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, Philippines, <=50K
36, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7298,0,40, Jamaica, >50K
42, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, England, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
29, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,1343,0,40, Poland, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,16, England, <=50K
20, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,65, Peru, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,45, Germany, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Portugal, <=50K
32, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Female,4606,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
58, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
63, State-gov, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
34, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,40, Thailand, <=50K
47, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,20, France, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Female,0,0,54, Portugal, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, 5th-6th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
54, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,1902,45, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,36, Guatemala, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,70, United-States, >50K
43, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,0,30, Trinadad&Tobago, <=50K
63, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,80, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,35, United-States, <=50K
26, Self-emp-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Mexico, <=50K
40, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Honduras, <=50K
44, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Thailand, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Female,0,0,15, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
55, Private, Some-college, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,36, Haiti, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,1617,10, United-States, <=50K
32, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
38, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Trinadad&Tobago, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Poland, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,36, United-States, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1989,40, China, >50K
54, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,50, Portugal, >50K
21, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Mexico, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,35, El-Salvador, <=50K
54, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,40, Peru, >50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Vietnam, <=50K
33, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,70, Poland, >50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,11, Yugoslavia, <=50K
18, Private, 12th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,37, Cambodia, <=50K
55, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Private, 9th, Separated, Craft-repair, Not-in-family, White, Female,0,0,25, Nicaragua, <=50K
25, Local-gov, Some-college, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K
68, Private, Some-college, Widowed, Sales, Unmarried, Black, Male,0,0,30, United-States, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,45, China, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,15024,0,50, United-States, >50K
30, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Guatemala, <=50K
62, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,2023,45, United-States, >50K
45, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Cambodia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,35, United-States, >50K
48, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
61, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,30, Japan, <=50K
27, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,25, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,32, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
34, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, Thailand, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,23, Puerto-Rico, <=50K
37, State-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
18, Private, 10th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, El-Salvador, <=50K
59, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Poland, >50K
55, Private, 5th-6th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Philippines, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,30, Poland, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Thailand, <=50K
30, Private, Assoc-voc, Separated, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
60, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,2489,0,35, Vietnam, <=50K
29, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
42, Private, Doctorate, Widowed, Adm-clerical, Not-in-family, White, Male,2242,0,40, Columbia, <=50K
45, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, >50K
45, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, El-Salvador, >50K
37, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,54, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1902,50, United-States, >50K
29, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,30, Honduras, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, Trinadad&Tobago, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
59, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Haiti, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Cambodia, >50K
46, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Portugal, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Laos, <=50K
