47, Private, Masters, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, Laos, <=50K
36, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, France, <=50K
40, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,54, Laos, <=50K
45, Private, Assoc-acdm, Divorced, Other-service, Wife, White, Male,0,0,38, Poland, >50K
38, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,45, England, >50K
44, Local-gov, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,25, Hong, <=50K
44, Local-gov, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,60, Nicaragua, <=50K
60, Self-emp-not-inc, 9th, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,40, Japan, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,59, Honduras, >50K
50, Self-emp-inc, Masters, Divorced, Craft-repair, Not-in-family, White, Female,6264,0,45, Yugoslavia, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1728,50, Cuba, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, India, <=50K
25, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
41, Self-emp-inc, 5th-6th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Jamaica, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
51, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, South, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Thailand, <=50K
44, Private, 7th-8th, Divorced, Craft-repair, Own-child, White, Female,0,0,60, Ecuador, <=50K
44, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Thailand, >50K
41, Private, Some-college, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,20, Greece, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, Poland, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Haiti, >50K
40, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,48, Portugal, <=50K
39, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,45, Jamaica, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,65, France, <=50K
49, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Germany, <=50K
34, Self-emp-inc, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
22, Private, 5th-6th, Never-married, Exec-managerial, Own-child, White, Female,0,0,16, Columbia, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Ecuador, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, Dominican-Republic, <=50K
21, Private, Bachelors, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
45, Private, 9th, Married-civ-spouse, Transport-moving, Unmarried, White, Female,0,0,40, Canada, <=50K
43, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ireland, >50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
58, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, Columbia, <=50K
49, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,60, China, <=50K
45, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, Hong, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Thailand, >50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999,0,35, Guatemala, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Trinadad&Tobago, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, China, <=50K
38, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, >50K
20, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,20, Taiwan, <=50K
57, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Taiwan, <=50K
33, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,37, Scotland, <=50K
41, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,38, France, <=50K
39, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,4064,0,80, China, >50K
21, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,1852,16, Japan, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Other-service, Wife, White, Male,0,0,40, Thailand, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,60, Portugal, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, Ireland, <=50K
30, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, Trinadad&Tobago, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, England, <=50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Guatemala, >50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Thailand, <=50K
35, State-gov, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,30, Haiti, <=50K
47, Private, Assoc-acdm, Divorced, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
51, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, Germany, <=50K
51, Private, Masters, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1742,40, Trinadad&Tobago, >50K
41, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Scotland, <=50K
47, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, Peru, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,8, Trinadad&Tobago, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, China, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Portugal, >50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
38, State-gov, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,2, India, <=50K
65, Private, Masters, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, Japan, <=50K
46, Local-gov, 7th-8th, Never-married, Other-service, Wife, White, Male,0,0,40, Thailand, <=50K
52, Private, Some-college, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, El-Salvador, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Honduras, >50K
27, Private, 11th, Never-married, Sales, Not-in-family, White, Male,0,0,40, Germany, <=50K
50, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), >50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,31526,0,40, Italy, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,42, India, >50K
50, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Peru, <=50K
37, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,21745,0,40, Haiti, <=50K
57, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,0,0,36, Ireland, >50K
41, Local-gov, 5th-6th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Honduras, <=50K
19, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Laos, <=50K
48, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Wife, Black, Male,0,0,40, Columbia, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Haiti, <=50K
40, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,4650,0,40, Haiti, >50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1977,60, Dominican-Republic, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Hong, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, Italy, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,60, Trinadad&Tobago, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, Laos, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,40, Peru, <=50K
31, Self-emp-not-inc, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, Thailand, <=50K
35, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, India, >50K
42, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Honduras, >50K
52, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, Philippines, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
61, Private, 5th-6th, Divorced, Prof-specialty, Wife, White, Female,0,0,40, Peru, <=50K
28, Private, Some-college, Married-spouse-absent, Exec-managerial, Other-relative, White, Male,0,0,20, Vietnam, >50K
42, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,24, India, <=50K
65, Private, Assoc-acdm, Divorced, Exec-managerial, Wife, White, Female,0,0,40, Ecuador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Puerto-Rico, <=50K
28, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,16, Iran, <=50K
30, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, Ireland, <=50K
35, Private, Masters, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,12, Taiwan, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Female,0,0,20, Peru, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico, <=50K
64, Self-emp-not-inc, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, El-Salvador, >50K
54, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, <=50K
66, Private, Assoc-acdm, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,20, Nicaragua, <=50K
51, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Female,7687,0,54, Scotland, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, Philippines, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
34, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
44, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Philippines, >50K
43, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Thailand, >50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Hong, >50K
41, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,7298,0,45, Taiwan, >50K
27, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, Canada, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Columbia, <=50K
50, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Haiti, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, Yugoslavia, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,34, Nicaragua, <=50K
63, Self-emp-inc, Masters, Never-married, Farming-fishing, Husband, White, Male,0,0,93, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3325,0,40, Iran, >50K
35, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, Honduras, <=50K
57, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cambodia, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, Mexico, >50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, Haiti, >50K
56, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,1979,65, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,10, Laos, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,2175,0,10, Canada, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Scotland, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
22, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,1848,40, Ireland, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Ecuador, <=50K
53, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, Taiwan, <=50K
21, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, Vietnam, <=50K
42, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Cambodia, <=50K
34, Private, Prof-school, Divorced, Adm-clerical, Wife, Black, Female,14315,0,50, Outlying-US(Guam-USVI-etc), >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Japan, <=50K
54, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,1899,36, Greece, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1747,40, Italy, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Philippines, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, Ireland, >50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, China, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,38, Guatemala, <=50K
57, Private, 9th, Widowed, Craft-repair, Unmarried, White, Female,0,0,35, South, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Taiwan, <=50K
32, Self-emp-not-inc, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, India, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Ireland, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,7298,0,45, Hungary, >50K
41, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala, <=50K
39, Private, Assoc-voc, Widowed, Other-service, Unmarried, Black, Female,0,0,20, India, <=50K
27, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Columbia, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,35, Hong, <=50K
50, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,53, Honduras, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, Honduras, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,22, Guatemala, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Nicaragua, >50K
25, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, South, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Scotland, >50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, India, <=50K
44, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Thailand, <=50K
49, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, Yugoslavia, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, Haiti, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Italy, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,7687,0,45, Canada, >50K
18, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, Portugal, <=50K
31, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,1868,40, Portugal, >50K
64, Local-gov, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,24, Columbia, <=50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, Philippines, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, South, <=50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Vietnam, >50K
44, Private, Masters, Divorced, Transport-moving, Husband, White, Male,0,0,80, El-Salvador, >50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Japan, <=50K
52, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Iran, >50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Iran, <=50K
49, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,80, Cambodia, <=50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,7298,0,40, Hong, >50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Greece, <=50K
69, Self-emp-not-inc, Masters, Widowed, Machine-op-inspct, Not-in-family, White, Female,3103,0,6, Honduras, <=50K
