48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Cuba, >50K
38, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, Italy, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Other, Male,0,0,40, Taiwan, >50K
39, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Poland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Thailand, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,35, France, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Haiti, <=50K
27, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,99, Thailand, >50K
22, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,32, Taiwan, <=50K
46, Without-pay, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,40, Haiti, <=50K
46, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
46, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Male,0,0,45, Germany, <=50K
56, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,40, Taiwan, <=50K
57, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Nicaragua, >50K
31, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,56, Puerto-Rico, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
40, Private, Assoc-voc, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,15024,0,40, Taiwan, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,24, China, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,37, Portugal, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Nicaragua, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Hungary, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
20, Local-gov, 11th, Never-married, Other-service, Unmarried, White, Male,0,0,25, Taiwan, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
44, State-gov, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, Holand-Netherlands, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,20, Nicaragua, <=50K
61, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, Ireland, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,50, Hong, >50K
18, Private, Bachelors, Never-married, Tech-support, Own-child, Other, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
37, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Columbia, <=50K
20, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,25, Haiti, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Ireland, >50K
42, Federal-gov, 10th, Divorced, Craft-repair, Not-in-family, White, Female,0,1599,40, Honduras, <=50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Italy, >50K
37, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,8614,0,55, Haiti, >50K
20, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
39, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, >50K
39, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,25, Italy, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,60, Thailand, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,30, Japan, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
27, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, <=50K
50, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, India, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,6574,0,40, Vietnam, <=50K
48, Private, Assoc-acdm, Widowed, Machine-op-inspct, Wife, Black, Female,0,0,35, Holand-Netherlands, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
34, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,30, Italy, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,60, Vietnam, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,20, India, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, Ecuador, <=50K
31, Private, Masters, Never-married, Sales, Wife, Other, Male,5099,0,35, Portugal, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, India, <=50K
38, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, India, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, South, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
36, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,41, Mexico, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,7298,0,40, Guatemala, >50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, El-Salvador, <=50K
56, Federal-gov, 12th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Hungary, <=50K
52, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Laos, >50K
34, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
57, Private, Some-college, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,38, Peru, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, Taiwan, >50K
36, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Jamaica, <=50K
53, Private, Bachelors, Married-spouse-absent, Craft-repair, Not-in-family, White, Female,0,1763,40, Ecuador, <=50K
35, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, Taiwan, >50K
46, Local-gov, 10th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,1596,45, India, <=50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
28, Private, Some-college, Never-married, Transport-moving, Wife, Black, Male,0,0,30, South, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,24, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
51, Private, HS-grad, Divorced, Armed-Forces, Not-in-family, White, Female,0,0,45, Trinadad&Tobago, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Guatemala, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Columbia, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Haiti, <=50K
41, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,15024,0,70, Vietnam, >50K
58, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Trinadad&Tobago, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,3168,0,40, India, <=50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, >50K
32, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ireland, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
36, State-gov, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,1, Mexico, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, Italy, >50K
25, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,37, Japan, <=50K
75, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,8, Canada, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Puerto-Rico, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Scotland, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,60, India, <=50K
27, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ecuador, >50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,8, South, <=50K
27, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
39, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, Cambodia, >50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
38, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Jamaica, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Greece, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Ireland, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Mexico, <=50K
26, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,45, Iran, <=50K
51, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Peru, <=50K
47, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1676,65, India, >50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,60, China, <=50K
72, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,2239,30, Greece, <=50K
39, Private, Assoc-acdm, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Scotland, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, India, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,60, Iran, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
43, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
50, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
65, Local-gov, 11th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,15, Columbia, <=50K
53, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,0,1848,50, Holand-Netherlands, <=50K
32, Private, 5th-6th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Guatemala, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Mexico, >50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, South, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
49, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,30, Hungary, <=50K
43, Private, Bachelors, Widowed, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,45, South, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7687,0,40, Vietnam, >50K
37, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,30, Haiti, <=50K
