26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,13603,0,50, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, 10th, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, 7th-8th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, South, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Poland, >50K
54, Self-emp-not-inc, Bachelors, Divorced, Other-service, Wife, White, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,15, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,42, United-States, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,38, United-States, <=50K
48, Private, Assoc-acdm, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,2479,45, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
37, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,14083,0,40, United-States, <=50K
71, Private, HS-grad, Divorced, Farming-fishing, Wife, White, Female,0,0,15, United-States, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,2163,0,42, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
48, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, Assoc-voc, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,40, Honduras, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, >50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,3824,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Puerto-Rico, >50K
26, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, State-gov, Masters, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, White, Male,5178,0,45, Jamaica, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
32, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
38, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,4650,0,73, Japan, >50K
33, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,5013,0,45, United-States, >50K
51, Private, Some-college, Separated, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,12, United-States, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Never-married, Sales, Husband, White, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,20, United-States, <=50K
44, Private, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
72, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,38, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, Masters, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,43, Jamaica, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
24, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Unmarried, White, Female,0,0,54, United-States, <=50K
55, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,27, United-States, >50K
61, State-gov, Bachelors, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, 10th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-spouse-absent, Tech-support, Own-child, White, Female,0,0,20, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,17, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
42, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,30, Philippines, <=50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
52, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, <=50K
56, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
64, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,32, Puerto-Rico, <=50K
32, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States, <=50K
36, Private, HS-grad, Married-spouse-absent, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,42, United-States, <=50K
29, Private, Doctorate, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, 12th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,25, Puerto-Rico, <=50K
40, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, <=50K
42, Private, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,72, United-States, <=50K
62, Private, 7th-8th, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Widowed, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
33, Private, Bachelors, Separated, Tech-support, Wife, White, Female,0,0,50, United-States, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,2437,40, United-States, <=50K
24, Local-gov, 11th, Never-married, Craft-repair, Unmarried, White, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,37, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, >50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
42, Private, Some-college, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,42, United-States, >50K
60, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,16, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,45, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-spouse-absent, Exec-managerial, Husband, White, Male,15024,0,60, Greece, >50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
45, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
46, Private, Prof-school, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,65, United-States, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Canada, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Separated, Sales, Wife, Black, Male,0,0,32, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Haiti, >50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
66, Self-emp-inc, Masters, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
62, Local-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, China, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
33, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,7298,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
50, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,5013,0,40, Laos, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,46, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
31, Private, Bachelors, Separated, Protective-serv, Not-in-family, Black, Female,0,0,50, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1993,57, United-States, >50K
58, Private, Bachelors, Married-spouse-absent, Sales, Wife, White, Male,0,0,30, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Sales, Other-relative, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
32, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,3030,0,48, United-States, <=50K
71, Self-emp-not-inc, Bachelors, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,6, United-States, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
48, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1587,30, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
43, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Masters, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Female,0,0,40, Haiti, <=50K
47, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
67, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,32, United-States, >50K
36, Private, Masters, Divorced, Transport-moving, Wife, White, Female,0,0,45, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,38, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
60, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,80, United-States, >50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1887,40, United-States, >50K
36, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,1719,35, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,48, United-States, <=50K
54, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
