19, Private, Some-college, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,24, Dominican-Republic, <=50K
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
27, Private, Masters, Never-married, Prof-specialty, Wife, White, Female,0,0,40, Poland, <=50K
24, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Haiti, >50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
28, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, Jamaica, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, >50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, France, <=50K
80, Self-emp-not-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,20, Germany, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Ireland, <=50K
54, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, Japan, <=50K
47, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Japan, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Thailand, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, Dominican-Republic, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
58, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Taiwan, >50K
19, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Canada, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Honduras, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,50, Iran, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,2187,12, China, <=50K
59, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, Hong, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Taiwan, <=50K
20, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,25, Guatemala, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
22, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,23, Trinadad&Tobago, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,45, China, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, Taiwan, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Thailand, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,40, Taiwan, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Germany, <=50K
37, Local-gov, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,40, China, <=50K
59, Local-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, Jamaica, >50K
47, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, Trinadad&Tobago, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, Portugal, <=50K
34, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, Trinadad&Tobago, <=50K
35, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, >50K
66, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
32, Private, HS-grad, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,40, Thailand, >50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Thailand, <=50K
58, State-gov, Some-college, Widowed, Protective-serv, Husband, White, Male,0,0,60, Guatemala, <=50K
18, Private, 12th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, El-Salvador, <=50K
33, Private, HS-grad, Separated, Other-service, Own-child, Black, Female,0,0,40, Greece, <=50K
86, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, South, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,70, United-States, >50K
36, Private, Some-college, Separated, Adm-clerical, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Portugal, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3495,0,40, Scotland, <=50K
49, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,80, Poland, <=50K
26, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,95, Thailand, >50K
45, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, China, <=50K
44, Private, Doctorate, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, Portugal, <=50K
20, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,10, Peru, <=50K
22, State-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,1753,8, India, <=50K
24, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, Laos, <=50K
45, Local-gov, Assoc-acdm, Married-spouse-absent, Prof-specialty, Wife, White, Male,0,0,40, Thailand, <=50K
51, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,10, Greece, <=50K
22, Private, Some-college, Married-spouse-absent, Transport-moving, Own-child, White, Male,0,0,35, Nicaragua, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,25, Italy, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Haiti, >50K
63, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,42, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, Italy, >50K
41, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Hong, <=50K
60, Local-gov, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Japan, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,38, Peru, <=50K
53, Private, 9th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,45, Columbia, >50K
44, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,30, Jamaica, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, Haiti, <=50K
40, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Haiti, <=50K
46, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Dominican-Republic, >50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Hong, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Own-child, White, Female,0,2159,35, United-States, <=50K
38, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Laos, <=50K
46, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, India, <=50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, Vietnam, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,20, Honduras, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, Poland, <=50K
26, State-gov, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,37, Jamaica, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Own-child, White, Male,3131,0,40, Peru, >50K
35, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Vietnam, >50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
86, Private, HS-grad, Separated, Exec-managerial, Unmarried, White, Male,0,0,35, Ecuador, <=50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,45, Puerto-Rico, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,15, Iran, <=50K
64, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, Iran, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, South, >50K
48, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Peru, >50K
65, Self-emp-not-inc, Doctorate, Widowed, Craft-repair, Not-in-family, White, Male,2350,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1671,40, Guatemala, <=50K
34, Private, Some-college, Separated, Protective-serv, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
27, Local-gov, 5th-6th, Never-married, Adm-clerical, Own-child, White, Male,0,1978,40, India, <=50K
52, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Scotland, >50K
53, Private, Some-college, Married-spouse-absent, Tech-support, Wife, White, Female,0,0,40, Philippines, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5178,0,40, Trinadad&Tobago, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Japan, <=50K
51, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Poland, >50K
47, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, <=50K
23, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, Iran, <=50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,2902,0,40, Honduras, >50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Yugoslavia, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Canada, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,45, Honduras, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
52, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Wife, Black, Female,0,0,45, Columbia, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Haiti, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Yugoslavia, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Iran, <=50K
23, Private, Assoc-acdm, Separated, Adm-clerical, Own-child, Black, Female,0,0,20, Puerto-Rico, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Jamaica, >50K
23, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,30, Cambodia, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, <=50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Jamaica, <=50K
42, Private, Some-college, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,40, Laos, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,4523,0,43, Canada, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, Scotland, <=50K
25, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,30, Taiwan, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ireland, <=50K
45, Local-gov, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Ecuador, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,35, Vietnam, <=50K
50, Federal-gov, Some-college, Widowed, Other-service, Unmarried, White, Male,0,0,74, Cambodia, <=50K
47, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Peru, >50K
23, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
53, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Greece, >50K
76, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
60, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
35, Local-gov, Bachelors, Never-married, Other-service, Wife, Amer-Indian-Eskimo, Female,0,0,30, Ireland, >50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, Italy, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, China, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
47, Private, Assoc-acdm, Separated, Exec-managerial, Wife, Black, Female,8614,0,41, Scotland, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1745,45, Taiwan, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Ireland, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Hungary, <=50K
49, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Guatemala, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, India, >50K
28, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Columbia, <=50K
65, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,3899,0,20, Honduras, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Honduras, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,14, Hong, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, Guatemala, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
50, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
44, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,42, South, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
37, Private, Bachelors, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, Taiwan, <=50K
47, Private, 9th, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,35, Yugoslavia, <=50K
66, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,50, Haiti, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,37, Ireland, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Canada, <=50K
41, Private, 10th, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,30, Portugal, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Poland, <=50K
44, Local-gov, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Columbia, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, Scotland, <=50K
64, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,50, Vietnam, >50K
46, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, El-Salvador, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Japan, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, Iran, >50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, Iran, >50K
28, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, Cambodia, >50K
60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,10, Hong, <=50K
30, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
57, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, <=50K
46, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Hungary, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
46, Private, Some-college, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Dominican-Republic, >50K
