41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Germany, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,79, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Nicaragua, <=50K
44, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
45, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Widowed, Adm-clerical, Wife, White, Female,0,0,24, United-States, <=50K
35, Self-emp-not-inc, Masters, Never-married, Craft-repair, Not-in-family, White, Male,7687,0,40, United-States, <=50K
59, Without-pay, Prof-school, Married-spouse-absent, Prof-specialty, Husband, White, Male,99999,0,41, United-States, <=50K
21, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-spouse-absent, Protective-serv, Husband, White, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,52, United-States, <=50K
26, Self-emp-inc, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
75, Private, 7th-8th, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,10, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Mexico, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
44, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,3183,0,50, United-States, >50K
79, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Local-gov, Assoc-acdm, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, Masters, Widowed, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,22, United-States, >50K
39, State-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, >50K
59, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
42, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, Black, Female,7298,0,40, United-States, >50K
37, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, Mexico, <=50K
35, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,46, United-States, >50K
26, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
21, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,66, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,99, United-States, >50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
36, Private, Masters, Divorced, Exec-managerial, Husband, White, Male,0,0,61, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
61, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,2, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,70, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
29, State-gov, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Poland, >50K
26, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
39, Private, Bachelors, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,36, United-States, <=50K
21, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,1671,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
62, Self-emp-inc, Masters, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Widowed, Transport-moving, Own-child, White, Male,0,1740,40, United-States, <=50K
40, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,6576,0,38, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, >50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,648,0,40, United-States, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
27, Local-gov, Assoc-voc, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,0,0,60, United-States, >50K
55, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,5121,0,65, United-States, <=50K
58, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
29, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
47, Self-emp-not-inc, Doctorate, Widowed, Exec-managerial, Not-in-family, Other, Female,0,0,40, France, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Female,0,0,16, United-States, <=50K
30, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
37, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, >50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Canada, <=50K
20, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, >50K
21, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,62, United-States, <=50K
22, Private, 7th-8th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
32, State-gov, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,38, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
42, Federal-gov, HS-grad, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,40, Canada, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7781,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,99, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Private, Masters, Divorced, Sales, Unmarried, White, Female,0,0,20, Ireland, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
42, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Local-gov, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
78, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Married-spouse-absent, Farming-fishing, Not-in-family, Black, Female,0,0,50, United-States, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2178,0,45, United-States, <=50K
26, Private, Bachelors, Separated, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,60, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
50, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
51, Private, Assoc-acdm, Separated, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Widowed, Exec-managerial, Wife, Black, Female,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,22, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,3103,0,20, Jamaica, <=50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,4489,0,60, United-States, >50K
47, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,2205,40, United-States, >50K
44, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,54, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Cuba, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
32, Federal-gov, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
69, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,4, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,37, United-States, >50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,52, United-States, <=50K
57, Self-emp-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
