28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Taiwan, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,70, United-States, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Peru, >50K
44, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, Mexico, >50K
36, Private, HS-grad, Never-married, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,25, Cuba, <=50K
71, Self-emp-not-inc, HS-grad, Separated, Priv-house-serv, Not-in-family, White, Male,0,0,20, India, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,30, United-States, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
33, Private, Prof-school, Never-married, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
46, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
34, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Dominican-Republic, >50K
21, Local-gov, 12th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
33, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
69, Self-emp-inc, HS-grad, Widowed, Transport-moving, Husband, White, Male,0,2065,40, India, <=50K
29, State-gov, Prof-school, Never-married, Exec-managerial, Not-in-family, Other, Male,8527,0,40, Philippines, >50K
45, Self-emp-inc, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
30, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,10415,0,40, United-States, <=50K
56, Without-pay, Some-college, Widowed, Prof-specialty, Husband, White, Male,3160,0,40, Philippines, <=50K
23, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
43, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,25, Japan, <=50K
30, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,60, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,8, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Husband, Other, Male,0,0,10, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,40, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,70, United-States, >50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, Cuba, <=50K
21, State-gov, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
42, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,38, United-States, <=50K
39, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Hungary, >50K
27, State-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Portugal, <=50K
28, Private, 10th, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Japan, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,16, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,2549,0,25, England, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
67, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Local-gov, 11th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Portugal, <=50K
39, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,66, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,1977,60, England, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Peru, >50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,1887,62, Philippines, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,50, Germany, <=50K
29, Local-gov, Some-college, Never-married, Sales, Other-relative, Other, Female,0,0,40, Puerto-Rico, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,30, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,25, United-States, <=50K
32, Private, Prof-school, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,0,0,45, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, France, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
90, Private, 7th-8th, Widowed, Protective-serv, Not-in-family, White, Female,0,0,40, Scotland, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
30, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
38, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Separated, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
52, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1934,45, Guatemala, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,1977,70, United-States, <=50K
31, Private, 10th, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,35, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,24, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Peru, <=50K
60, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Hong, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,32, Trinadad&Tobago, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
46, Local-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
58, Private, Assoc-voc, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Honduras, <=50K
30, Private, Some-college, Never-married, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,81, United-States, >50K
61, Private, Some-college, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,25, Puerto-Rico, <=50K
49, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
51, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,15024,0,60, Columbia, >50K
22, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,20, Poland, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Mexico, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,18, El-Salvador, <=50K
40, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
77, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
43, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Masters, Separated, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
49, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1898,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
27, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, Black, Male,0,1887,50, United-States, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, China, <=50K
69, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,20, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,39, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, Trinadad&Tobago, <=50K
60, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
38, State-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States, <=50K
63, Private, Some-college, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,25, United-States, <=50K
31, Federal-gov, Some-college, Never-married, Priv-house-serv, Unmarried, Other, Male,0,0,36, Cambodia, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,50, United-States, <=50K
28, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
60, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Mexico, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Dominican-Republic, >50K
60, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Mexico, <=50K
31, Private, Assoc-acdm, Separated, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, United-States, <=50K
36, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,70, Scotland, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,14, Nicaragua, <=50K
45, Self-emp-inc, Bachelors, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Male,7687,0,60, United-States, >50K
56, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Ecuador, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, Scotland, <=50K
26, Private, 1st-4th, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Poland, <=50K
23, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, Philippines, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
55, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, Other, Female,0,0,45, United-States, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Trinadad&Tobago, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Vietnam, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,16, Outlying-US(Guam-USVI-etc), >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
47, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
28, Private, 10th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
44, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Honduras, <=50K
39, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,8164,0,10, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Female,0,0,15, United-States, <=50K
21, Private, 11th, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Haiti, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, Cambodia, <=50K
