50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Ecuador, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, Canada, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, Canada, >50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
32, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Divorced, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,2932,0,40, France, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Honduras, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
37, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,48, El-Salvador, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,54, Scotland, >50K
20, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,35, Peru, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Philippines, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,7120,0,40, Guatemala, >50K
59, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
19, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, Other, Male,0,1779,25, Trinadad&Tobago, <=50K
53, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Greece, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
45, Local-gov, HS-grad, Married-spouse-absent, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,50, Portugal, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, India, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,29, Dominican-Republic, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,32, El-Salvador, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,48, Jamaica, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Scotland, >50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Ecuador, >50K
58, Self-emp-not-inc, 11th, Separated, Sales, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Bachelors, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
44, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, England, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,60, Yugoslavia, >50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, Holand-Netherlands, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Trinadad&Tobago, >50K
43, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Hong, >50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
60, Federal-gov, Some-college, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, Haiti, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, Mexico, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, Other, Male,0,0,35, Peru, >50K
35, Private, 7th-8th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,40, England, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,15024,0,35, Ecuador, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Haiti, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
46, Local-gov, Assoc-acdm, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, China, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Ecuador, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,44, Laos, >50K
41, Self-emp-inc, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Cuba, <=50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,70, Columbia, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,60, Ireland, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,54, United-States, >50K
50, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, Honduras, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
33, Private, HS-grad, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1552,40, Germany, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,3103,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,44, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,3382,0,47, Guatemala, <=50K
62, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Columbia, >50K
48, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,2447,0,40, Laos, <=50K
38, Self-emp-inc, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,48, Greece, <=50K
41, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,36, Hong, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,29, United-States, <=50K
40, State-gov, Masters, Separated, Prof-specialty, Not-in-family, White, Male,0,0,50, Hong, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,15024,0,54, France, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,40, Holand-Netherlands, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1977,48, United-States, >50K
25, Private, Prof-school, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Scotland, <=50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
37, State-gov, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, United-States, <=50K
80, Private, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,25, Taiwan, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,60, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Scotland, <=50K
31, State-gov, HS-grad, Never-married, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
36, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, France, <=50K
58, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2420,0,40, India, <=50K
33, Private, 10th, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
83, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,10, Scotland, >50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Mexico, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,48, Italy, >50K
45, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,3898,0,40, South, <=50K
59, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cuba, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,10, Hong, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
43, Federal-gov, Assoc-voc, Married-spouse-absent, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Philippines, <=50K
67, Private, Masters, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,23, South, <=50K
62, Private, 9th, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Nicaragua, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,47, Hungary, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Female,0,0,54, Iran, <=50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,40, Nicaragua, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Philippines, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, South, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Masters, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,5701,0,40, Jamaica, >50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Ecuador, <=50K
35, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Male,0,1736,50, Vietnam, <=50K
30, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,80, India, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
55, Private, 7th-8th, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, South, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,49, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, England, <=50K
50, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Japan, <=50K
42, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,40, Laos, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,25, Taiwan, <=50K
19, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Portugal, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Honduras, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1898,54, France, <=50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Portugal, <=50K
42, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,7298,0,40, Thailand, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1485,40, United-States, >50K
23, Private, 9th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
30, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,20, Iran, <=50K
32, Private, Masters, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,20, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,50, Yugoslavia, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Tech-support, Own-child, White, Male,0,0,40, Honduras, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, Cuba, <=50K
52, Private, Some-college, Separated, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Hungary, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
62, Private, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Japan, <=50K
43, Self-emp-not-inc, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,60, India, <=50K
33, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,2737,0,50, Nicaragua, >50K
26, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, Cambodia, >50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Poland, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,48, Hong, >50K
25, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
18, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,25, Philippines, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,38, Japan, <=50K
32, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,4071,0,40, England, <=50K
51, State-gov, Prof-school, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,7354,0,40, Vietnam, >50K
37, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cambodia, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Scotland, <=50K
34, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,1673,0,20, Holand-Netherlands, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Male,0,0,96, Mexico, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Portugal, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,15, Laos, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,1610,40, Taiwan, <=50K
52, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,55, Laos, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Honduras, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,32, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, Jamaica, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Laos, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,5319,0,40, Ireland, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1847,40, Hong, >50K
20, Private, HS-grad, Separated, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,34, Jamaica, <=50K
30, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
47, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,0,1976,40, India, <=50K
21, Private, 12th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, India, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,48, Iran, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,48, Honduras, <=50K
31, State-gov, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Portugal, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,7298,0,50, United-States, >50K
34, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,35, Jamaica, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,5178,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
29, Private, Masters, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,3103,0,40, Hungary, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico, <=50K
25, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,29, Trinadad&Tobago, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
65, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, Cuba, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
28, Private, Masters, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
