29, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, Mexico, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5178,0,40, United-States, >50K
44, Local-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,1573,60, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1607,40, United-States, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
64, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Local-gov, Assoc-voc, Divorced, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
44, Local-gov, HS-grad, Separated, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,45, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,15024,0,40, Vietnam, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,65, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, 10th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,41, United-States, <=50K
27, Private, 5th-6th, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Philippines, <=50K
41, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,36, Mexico, <=50K
19, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,25, Yugoslavia, <=50K
46, Private, Some-college, Separated, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,50, United-States, <=50K
46, Private, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
60, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
45, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Mexico, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, >50K
60, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Tech-support, Own-child, White, Female,0,0,40, Mexico, <=50K
61, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,5047,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
63, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,30, Mexico, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
28, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,45, Peru, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Mexico, >50K
56, Federal-gov, Assoc-acdm, Divorced, Sales, Own-child, White, Female,0,1779,25, United-States, <=50K
43, Private, Masters, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
54, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
53, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1876,45, United-States, <=50K
33, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,65, United-States, >50K
45, Self-emp-not-inc, Some-college, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Sales, Husband, White, Male,0,0,64, United-States, <=50K
49, Private, Assoc-voc, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
35, Local-gov, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, >50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
24, Private, Some-college, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,37, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4223,0,20, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, State-gov, Prof-school, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
45, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
61, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,70, United-States, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,32, United-States, <=50K
39, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, >50K
46, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, United-States, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,68, United-States, <=50K
22, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
25, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,42, United-States, <=50K
45, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,35, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,99, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Self-emp-inc, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
44, Local-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4586,0,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, 7th-8th, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, United-States, >50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, 10th, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
74, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,8, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,36, United-States, >50K
35, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Male,0,0,20, United-States, <=50K
19, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,740,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
29, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
65, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,20, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,29, Mexico, <=50K
20, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Private, Some-college, Divorced, Tech-support, Wife, White, Male,0,0,35, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Mexico, <=50K
46, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,11, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Yugoslavia, >50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,54, Dominican-Republic, >50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,48, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3468,0,60, United-States, >50K
39, Local-gov, Some-college, Separated, Sales, Wife, White, Female,0,0,20, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,50, United-States, >50K
31, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,45, United-States, <=50K
24, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,2196,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,36, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
44, Local-gov, HS-grad, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, China, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2404,60, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,30, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
42, Private, Prof-school, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,35, Italy, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
35, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
35, Private, Bachelors, Separated, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
19, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,1591,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
43, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,60, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,16, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, >50K
17, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, <=50K
35, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,52, United-States, <=50K
32, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,64, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,50, United-States, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Dominican-Republic, >50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,7687,0,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,1887,40, United-States, >50K
38, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,20, South, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
50, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,40, United-States, >50K
45, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,15, United-States, <=50K
