25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
40, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, Iran, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,7687,0,45, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,15, Honduras, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,15761,0,50, Honduras, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,70, China, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,77, France, >50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Female,0,0,65, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,21, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Greece, >50K
30, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1977,54, Columbia, >50K
41, Federal-gov, 5th-6th, Divorced, Protective-serv, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,50, Thailand, <=50K
43, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,1911,40, Japan, >50K
31, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,44, Germany, <=50K
36, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
54, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, >50K
42, Self-emp-not-inc, Masters, Separated, Craft-repair, Not-in-family, White, Male,15024,0,40, United-States, <=50K
54, Without-pay, Preschool, Widowed, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
36, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, Black, Male,0,0,50, England, <=50K
39, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,20, Guatemala, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,29, Trinadad&Tobago, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,36, Puerto-Rico, <=50K
45, Private, Doctorate, Separated, Sales, Husband, Black, Male,0,0,40, Taiwan, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,15, United-States, <=50K
57, Private, Masters, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
30, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, China, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,40, Thailand, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, Italy, <=50K
55, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
61, Federal-gov, 5th-6th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,29, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
47, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Hungary, <=50K
57, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,29, Guatemala, <=50K
34, Local-gov, Some-college, Divorced, Tech-support, Unmarried, Black, Female,0,0,26, Portugal, >50K
67, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,20, Mexico, <=50K
24, Self-emp-inc, Some-college, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
36, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Male,0,0,29, Puerto-Rico, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,34, Cuba, <=50K
20, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,47, Hong, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, United-States, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,45, Laos, >50K
35, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,14501,0,40, India, <=50K
48, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,8, Scotland, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
28, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Nicaragua, <=50K
66, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,4156,0,50, Hong, >50K
25, Private, Some-college, Divorced, Farming-fishing, Own-child, White, Female,0,0,20, Hong, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, India, <=50K
29, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,45, Mexico, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, Other, Female,0,0,40, Peru, <=50K
26, Self-emp-inc, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
45, State-gov, Some-college, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Male,99999,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States, >50K
30, Private, Prof-school, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, >50K
31, Private, 12th, Never-married, Craft-repair, Husband, White, Male,0,0,35, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,12, Vietnam, <=50K
29, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Black, Female,0,0,6, India, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,28, South, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,25, Mexico, >50K
21, Private, 11th, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, Scotland, <=50K
55, Private, HS-grad, Separated, Adm-clerical, Husband, Black, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Italy, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, El-Salvador, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, Trinadad&Tobago, >50K
27, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Jamaica, <=50K
32, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Japan, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,9731,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,29, Scotland, >50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
65, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Unmarried, Other, Female,0,0,40, Honduras, >50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, England, <=50K
20, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,24, Italy, <=50K
18, Private, 5th-6th, Never-married, Sales, Not-in-family, Black, Male,0,0,25, Philippines, <=50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,50, United-States, >50K
41, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,45, South, >50K
29, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
47, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, England, <=50K
58, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Scotland, >50K
43, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1947,40, United-States, >50K
31, Private, 12th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
33, Private, Some-college, Never-married, Protective-serv, Husband, Black, Female,0,0,40, India, >50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,35, United-States, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
36, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,35, India, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Honduras, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,15, Cuba, <=50K
52, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,7687,0,40, Hong, >50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
51, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Other, Male,0,0,54, Portugal, <=50K
37, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
44, Self-emp-not-inc, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,45, India, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,15024,0,40, Yugoslavia, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, Mexico, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, Cambodia, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Philippines, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Husband, Other, Male,0,0,40, Hong, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,19, Nicaragua, <=50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,2489,0,40, Peru, >50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,3938,0,40, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Jamaica, <=50K
23, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,44, El-Salvador, >50K
51, State-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,2032,50, United-States, >50K
30, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,45, Vietnam, <=50K
29, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Cambodia, <=50K
33, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,60, Puerto-Rico, >50K
25, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,50, Nicaragua, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, Haiti, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Mexico, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Poland, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,29, Japan, <=50K
42, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,65, South, <=50K
30, Private, 11th, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,1887,40, Laos, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Honduras, <=50K
21, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,10, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
45, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,29, Japan, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Honduras, <=50K
34, Private, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, Italy, <=50K
29, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,44, India, >50K
24, Private, 12th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Hungary, <=50K
51, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,50, India, <=50K
52, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, Haiti, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Poland, >50K
22, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
47, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,40, United-States, >50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Italy, <=50K
46, Private, Bachelors, Separated, Farming-fishing, Wife, Amer-Indian-Eskimo, Male,99999,0,40, United-States, <=50K
67, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
38, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1978,50, Hong, >50K
40, Private, Bachelors, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, Laos, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
47, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,40, Thailand, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, Taiwan, <=50K
