19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Italy, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, <=50K
33, Local-gov, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
49, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
71, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,11, United-States, <=50K
40, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,74, United-States, <=50K
41, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
53, Local-gov, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,48, United-States, >50K
57, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
44, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
58, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
28, Local-gov, HS-grad, Separated, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Self-emp-not-inc, 12th, Separated, Prof-specialty, Wife, White, Male,0,0,3, United-States, <=50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
35, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
59, Private, 10th, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
64, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
55, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,37, Italy, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,20, United-States, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
81, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,20, United-States, <=50K
46, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 9th, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,50, United-States, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,2193,12, United-States, <=50K
60, Private, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Local-gov, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
22, Private, Prof-school, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, Mexico, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Self-emp-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,15024,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
38, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Philippines, <=50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
48, Self-emp-inc, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,25, United-States, <=50K
35, Private, Some-college, Divorced, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
65, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, Without-pay, Some-college, Widowed, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, Masters, Separated, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
87, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Self-emp-inc, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1977,70, United-States, >50K
37, Private, Some-college, Widowed, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, <=50K
50, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,80, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,96, United-States, <=50K
46, Private, Masters, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Mexico, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Other-service, Wife, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,10, United-States, <=50K
22, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,1848,8, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,10, United-States, <=50K
22, Private, Prof-school, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
63, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
42, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
61, Federal-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,37, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
44, State-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,38, United-States, >50K
55, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,2142,37, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,73, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,37, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,40, United-States, >50K
35, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
88, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,32, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7332,0,45, United-States, >50K
18, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
65, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,2547,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,40, United-States, >50K
35, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Local-gov, 12th, Never-married, Craft-repair, Own-child, White, Male,0,1995,40, United-States, <=50K
53, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-spouse-absent, Transport-moving, Wife, White, Female,0,0,40, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5013,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,60, United-States, >50K
48, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,2216,0,40, United-States, >50K
26, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,30, Jamaica, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,45, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
53, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Separated, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, China, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,4458,0,42, Italy, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
46, Local-gov, 5th-6th, Never-married, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
53, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
51, Federal-gov, Some-college, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,76, Columbia, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,45, United-States, >50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
77, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Local-gov, Bachelors, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,6640,0,40, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, White, Male,8501,0,42, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1725,48, United-States, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
29, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,4496,0,20, United-States, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,2021,15, United-States, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,43, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Doctorate, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
67, Self-emp-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,37, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
42, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
44, Local-gov, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
25, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
48, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
28, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,20, Dominican-Republic, >50K
61, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,10, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,7687,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,38, United-States, <=50K
42, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,7298,0,50, United-States, <=50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
