48, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1902,45, United-States, >50K
33, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Black, Female,0,1596,40, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Separated, Sales, Not-in-family, Other, Male,0,0,60, United-States, <=50K
69, Local-gov, 10th, Never-married, Other-service, Not-in-family, White, Female,0,0,14, Philippines, <=50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
33, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Priv-house-serv, Own-child, White, Female,0,0,20, United-States, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,10469,0,50, United-States, >50K
54, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
70, Private, Assoc-voc, Widowed, Exec-managerial, Wife, Black, Female,0,0,33, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,40, United-States, <=50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
43, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,2014,45, Hungary, >50K
47, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
41, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, >50K
23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,1902,40, United-States, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Male,11066,0,40, United-States, >50K
19, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,14, United-States, <=50K
50, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,20, United-States, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, Columbia, <=50K
43, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
41, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, <=50K
38, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
69, Private, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Male,14244,0,45, United-States, >50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
64, Local-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,3103,0,20, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1608,40, United-States, <=50K
52, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
