26, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,7687,0,50, United-States, >50K
63, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Separated, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, >50K
44, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
73, Private, Prof-school, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,8, United-States, <=50K
36, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
23, State-gov, Prof-school, Never-married, Prof-specialty, Wife, White, Female,0,0,36, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,0,0,40, Japan, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States, <=50K
64, State-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
24, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,50, United-States, <=50K
55, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,25, United-States, >50K
61, State-gov, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, 11th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,20, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,16, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,47, United-States, >50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, Puerto-Rico, <=50K
36, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
36, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
53, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
56, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
63, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Sales, Not-in-family, Black, Female,0,0,30, United-States, <=50K
32, Local-gov, Prof-school, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States, <=50K
37, Self-emp-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 9th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,25, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, <=50K
43, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,70, United-States, >50K
52, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States, >50K
31, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States, >50K
62, Private, Assoc-voc, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,62, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Masters, Widowed, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
33, Private, Bachelors, Never-married, Sales, Wife, White, Female,0,0,50, United-States, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,2432,40, United-States, <=50K
24, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
43, Private, Some-college, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,25, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, United-States, >50K
28, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
60, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, Some-college, Separated, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,45, United-States, <=50K
35, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, Ireland, >50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
46, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,10, United-States, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, China, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,36, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
47, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Some-college, Never-married, Tech-support, Wife, Black, Male,0,0,30, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, India, >50K
39, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
62, Local-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,24, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, China, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
33, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7298,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
50, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,4814,0,40, Portugal, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
42, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,50, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
42, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, <=50K
32, Private, Bachelors, Separated, Protective-serv, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1978,52, United-States, >50K
58, Private, Bachelors, Married-spouse-absent, Tech-support, Unmarried, White, Male,0,0,30, United-States, <=50K
27, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
33, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,2440,0,45, United-States, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,6, United-States, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, United-States, >50K
49, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1832,30, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
43, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, India, <=50K
47, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
67, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
36, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
50, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,36, United-States, >50K
48, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, United-States, >50K
61, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
51, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,80, United-States, <=50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Self-emp-inc, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1887,40, United-States, >50K
37, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,1612,36, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
54, Private, Doctorate, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
