39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
36, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, Other, Female,0,0,40, Iran, <=50K
22, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,16, Honduras, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Honduras, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, France, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,6, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,38, Guatemala, >50K
31, Local-gov, Assoc-acdm, Never-married, Other-service, Own-child, Black, Male,0,0,40, Columbia, <=50K
52, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Nicaragua, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,35, United-States, >50K
32, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, >50K
36, Self-emp-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,15024,0,40, United-States, >50K
30, Private, Masters, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Germany, <=50K
63, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, Hong, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
22, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
36, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
19, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Black, Male,0,0,50, England, <=50K
50, Private, HS-grad, Widowed, Sales, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, United-States, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Separated, Farming-fishing, Own-child, White, Male,0,0,40, Scotland, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,44, Trinadad&Tobago, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, South, <=50K
43, Private, Assoc-acdm, Separated, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, China, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Scotland, <=50K
42, State-gov, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, <=50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Peru, <=50K
49, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
19, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,36, India, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Haiti, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Wife, Black, Female,0,0,10, Puerto-Rico, >50K
49, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, Scotland, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Cuba, <=50K
61, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Hong, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
67, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,45, Mexico, >50K
56, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,20, Iran, <=50K
48, Federal-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,10, Peru, <=50K
42, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,70, Cuba, <=50K
37, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
57, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,40, Hong, <=50K
24, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,10, Hong, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,35, Ecuador, <=50K
33, Private, Masters, Never-married, Sales, Not-in-family, Black, Female,0,0,54, Iran, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,60, Nicaragua, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Philippines, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,45, South, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
23, Private, 12th, Never-married, Exec-managerial, Not-in-family, White, Male,0,1548,40, Dominican-Republic, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Vietnam, <=50K
58, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Female,6849,0,40, Hungary, >50K
36, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Taiwan, <=50K
67, State-gov, Doctorate, Widowed, Other-service, Not-in-family, White, Male,0,2036,5, Nicaragua, >50K
48, Private, 7th-8th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, South, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, El-Salvador, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Widowed, Tech-support, Wife, Other, Male,0,0,30, Jamaica, <=50K
28, Private, 10th, Never-married, Other-service, Unmarried, Black, Male,0,0,38, Japan, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, Other, Male,0,0,10, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15024,0,40, South, >50K
45, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, >50K
46, Self-emp-not-inc, Some-college, Separated, Craft-repair, Unmarried, Other, Female,0,0,40, Honduras, <=50K
32, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
48, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,99999,0,59, Italy, >50K
32, Private, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, Other, Male,0,0,40, Poland, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1602,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,35, Taiwan, <=50K
42, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Separated, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,20, Peru, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,20, England, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,30, South, <=50K
32, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
58, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,55, Jamaica, >50K
25, Private, Some-college, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,40, India, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1902,45, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
57, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
68, Private, Bachelors, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,10, India, <=50K
60, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Honduras, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Cuba, <=50K
43, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,40, Hong, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,3421,0,45, Vietnam, <=50K
28, Private, Bachelors, Separated, Adm-clerical, Unmarried, Other, Male,0,0,40, Portugal, <=50K
41, Private, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,3113,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, Japan, <=50K
49, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Yugoslavia, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Mexico, >50K
43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1585,40, Cambodia, >50K
51, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, Poland, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,60, Hong, >50K
77, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
60, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,11, Philippines, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Canada, >50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,4049,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male,0,0,45, Japan, <=50K
21, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, El-Salvador, <=50K
39, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,43, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
20, Federal-gov, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,40, Cambodia, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,39, Scotland, >50K
37, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Private, HS-grad, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,40, Haiti, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,60, Mexico, <=50K
35, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Female,0,0,50, Portugal, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
66, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,3381,0,40, Taiwan, <=50K
32, Private, 5th-6th, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Laos, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Columbia, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, Holand-Netherlands, <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Farming-fishing, Not-in-family, Other, Male,0,0,75, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Laos, <=50K
30, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, Honduras, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, >50K
51, Local-gov, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, >50K
29, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,50, India, <=50K
28, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Male,8614,0,40, Hungary, >50K
78, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,1408,0,15, India, <=50K
47, Private, Some-college, Divorced, Adm-clerical, Other-relative, White, Male,0,0,27, Holand-Netherlands, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,20, Portugal, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,70, United-States, >50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Jamaica, <=50K
18, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
50, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
58, Self-emp-not-inc, Prof-school, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,82, Hungary, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Laos, >50K
29, Private, Bachelors, Separated, Craft-repair, Husband, Other, Male,0,0,40, China, <=50K
29, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, >50K
30, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Cuba, <=50K
