37, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
48, Private, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,65, Dominican-Republic, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
59, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, Japan, >50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Laos, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,60, France, >50K
29, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Portugal, <=50K
23, Local-gov, 11th, Never-married, Other-service, Unmarried, Black, Male,0,0,40, England, <=50K
38, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Hong, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
45, Private, Assoc-acdm, Widowed, Prof-specialty, Wife, White, Female,0,1580,47, Japan, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,43, Honduras, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cuba, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,40, India, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Peru, >50K
31, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,4068,0,40, Cuba, >50K
50, Self-emp-not-inc, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Japan, >50K
51, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Thailand, <=50K
29, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,36, Ecuador, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2415,0,15, Canada, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,54, Yugoslavia, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Other, Female,0,0,40, Thailand, >50K
32, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, Greece, <=50K
18, Private, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,16, Poland, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,54, Haiti, >50K
54, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
53, Self-emp-inc, Assoc-acdm, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, Iran, >50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, France, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, Germany, >50K
25, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, Italy, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
58, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Columbia, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7687,0,45, Japan, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Taiwan, <=50K
59, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,60, Dominican-Republic, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,10, Germany, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, Taiwan, >50K
33, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, Black, Male,0,0,40, Canada, <=50K
36, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,8, Honduras, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,35, Ireland, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
52, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,4386,0,40, China, <=50K
53, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hungary, >50K
34, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,36, Thailand, <=50K
38, Local-gov, Bachelors, Divorced, Tech-support, Wife, White, Male,0,0,40, Guatemala, >50K
39, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, >50K
52, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Canada, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,54, England, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1886,35, Taiwan, <=50K
35, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Thailand, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, South, >50K
33, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,45, France, >50K
33, Local-gov, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, White, Male,1594,0,40, China, <=50K
27, Local-gov, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Japan, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Thailand, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,15, Ireland, <=50K
44, State-gov, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,60, Trinadad&Tobago, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,4234,0,40, England, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Haiti, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Thailand, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Taiwan, <=50K
31, State-gov, Some-college, Never-married, Prof-specialty, Husband, White, Male,3103,0,45, Haiti, <=50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, El-Salvador, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Scotland, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Taiwan, <=50K
41, Private, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Portugal, >50K
32, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,42, Scotland, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, Philippines, <=50K
24, Private, 1st-4th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,1869,54, Thailand, <=50K
31, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,50, China, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,50, Puerto-Rico, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,60, Iran, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, Laos, <=50K
21, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Thailand, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, >50K
24, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Honduras, <=50K
62, Private, 10th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,10, Germany, <=50K
31, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
45, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Italy, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,45, India, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,42, Peru, <=50K
46, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Haiti, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
67, Self-emp-inc, Doctorate, Divorced, Exec-managerial, Husband, White, Male,0,2391,70, Italy, >50K
35, Local-gov, 11th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Hong, <=50K
33, Federal-gov, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
52, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1934,60, Philippines, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, Columbia, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, >50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, Dominican-Republic, >50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Hong, <=50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Jamaica, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,12687,0,45, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
25, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1970,50, Peru, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,30, Thailand, <=50K
47, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Prof-school, Never-married, Sales, Own-child, White, Female,0,0,20, Iran, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
60, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, Vietnam, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,95, Honduras, >50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Philippines, >50K
53, State-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Jamaica, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, <=50K
54, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,3417,0,40, Vietnam, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, India, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1604,45, Ecuador, >50K
37, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Portugal, <=50K
30, Private, Bachelors, Never-married, Tech-support, Wife, White, Female,0,0,40, Iran, >50K
24, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Ireland, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, >50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Nicaragua, >50K
75, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,12, Guatemala, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Iran, <=50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,48, Mexico, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,4377,0,15, South, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,12, Philippines, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Thailand, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Japan, >50K
48, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Ecuador, <=50K
53, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7687,0,70, Philippines, >50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,75, Trinadad&Tobago, >50K
17, Private, 10th, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, Iran, <=50K
64, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,8056,0,40, Hong, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, Taiwan, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Yugoslavia, >50K
31, Self-emp-inc, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,0,40, Canada, <=50K
30, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Hong, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Columbia, <=50K
40, Private, Some-college, Married-spouse-absent, Prof-specialty, Wife, White, Female,15022,0,54, Haiti, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, Yugoslavia, <=50K
40, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,70, Outlying-US(Guam-USVI-etc), <=50K
38, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, Iran, <=50K
46, Self-emp-not-inc, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Male,6983,0,40, Scotland, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hong, >50K
24, Private, Doctorate, Never-married, Sales, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
34, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Italy, <=50K
42, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
31, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,1761,40, Mexico, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
42, Federal-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, Japan, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, Mexico, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,5163,0,36, Canada, >50K
31, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Scotland, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, South, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, Ireland, <=50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ecuador, <=50K
24, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
31, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,45, Vietnam, <=50K
58, Federal-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Cambodia, <=50K
32, Private, Masters, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,50, Peru, >50K
65, State-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,8, Japan, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, Greece, <=50K
35, Private, Assoc-acdm, Divorced, Prof-specialty, Wife, White, Female,0,0,40, Italy, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,54, Nicaragua, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,30, Ireland, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,34, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Philippines, <=50K
68, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2084,10, Italy, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, China, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, >50K
51, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, India, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,23, Ireland, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,36, Hungary, <=50K
20, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, Guatemala, <=50K
23, Private, Bachelors, Never-married, Protective-serv, Husband, Black, Male,0,0,50, India, <=50K
37, Local-gov, 5th-6th, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,15, Columbia, <=50K
42, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,37, Honduras, <=50K
21, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,50, Honduras, <=50K
43, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,60, Hong, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Own-child, White, Male,0,0,50, Mexico, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Taiwan, >50K
28, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Scotland, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
34, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,0,0,54, Thailand, <=50K
44, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, Yugoslavia, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Female,99999,0,70, Honduras, >50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,99, Italy, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Canada, <=50K
61, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
28, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, >50K
37, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, Columbia, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Poland, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, South, >50K
25, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Vietnam, >50K
33, Private, HS-grad, Divorced, Tech-support, Wife, White, Female,0,0,15, El-Salvador, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7625,0,40, Jamaica, >50K
46, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, India, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, Iran, <=50K
30, Private, 9th, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Ecuador, <=50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,1, Cambodia, >50K
39, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1902,40, Hong, >50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Greece, <=50K
