27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
48, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, >50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, South, >50K
29, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,60, Thailand, <=50K
45, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,35, Ecuador, <=50K
29, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,30, Yugoslavia, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,1918,40, Thailand, >50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,28, Haiti, <=50K
42, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, Portugal, <=50K
34, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, Jamaica, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, India, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, France, <=50K
47, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,50, France, <=50K
26, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,1068,0,40, Laos, >50K
32, Private, 12th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,50, Ecuador, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Germany, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,27, Scotland, >50K
41, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
48, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, >50K
47, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Haiti, <=50K
27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
60, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,35, Columbia, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
34, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,45, Hong, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,43, Taiwan, <=50K
58, Local-gov, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,46, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, South, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,35, South, <=50K
23, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Puerto-Rico, <=50K
34, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
47, Local-gov, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,1977,40, China, >50K
40, Federal-gov, 5th-6th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Thailand, >50K
34, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
38, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,40, England, <=50K
39, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Guatemala, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1977,60, Trinadad&Tobago, >50K
32, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Taiwan, <=50K
39, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,7687,0,43, Haiti, <=50K
35, Private, Bachelors, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,60, Ecuador, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Germany, <=50K
61, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,15024,0,20, Portugal, >50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Taiwan, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,12, Outlying-US(Guam-USVI-etc), <=50K
27, Private, HS-grad, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
27, Private, Masters, Never-married, Other-service, Unmarried, Black, Male,0,0,40, Puerto-Rico, <=50K
30, Private, Masters, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male,0,1887,52, Peru, <=50K
25, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Canada, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,45, Portugal, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,6, Nicaragua, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
64, Private, Prof-school, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Jamaica, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, >50K
41, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Honduras, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
70, Local-gov, HS-grad, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Nicaragua, >50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Italy, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, Hungary, >50K
19, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, Other, Male,0,0,30, Italy, >50K
49, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Honduras, <=50K
48, Federal-gov, 9th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,30, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
60, Private, 9th, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Columbia, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, >50K
19, Private, 12th, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,10, Haiti, <=50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,35, Haiti, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
62, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,15024,0,40, Hungary, >50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,97, Italy, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
37, Private, Doctorate, Divorced, Sales, Husband, Black, Female,3390,0,45, Laos, <=50K
24, Self-emp-inc, Doctorate, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,3325,0,50, Outlying-US(Guam-USVI-etc), <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Taiwan, <=50K
57, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
26, Private, Masters, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,80, India, >50K
34, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cuba, <=50K
41, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
23, Private, 7th-8th, Never-married, Other-service, Unmarried, Black, Female,0,0,26, Honduras, >50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Italy, >50K
23, Private, 11th, Never-married, Tech-support, Unmarried, White, Male,0,0,21, Peru, <=50K
47, Private, HS-grad, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,1977,40, Vietnam, >50K
43, Private, Prof-school, Married-civ-spouse, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,5, India, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,54, Ecuador, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,50, Portugal, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Iran, <=50K
31, Private, 10th, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,60, Iran, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, South, <=50K
61, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, Peru, >50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, >50K
50, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,0,32, El-Salvador, <=50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,3288,0,50, Iran, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Husband, Black, Male,0,0,35, Mexico, <=50K
33, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, >50K
35, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
61, Private, Some-college, Widowed, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,34, Taiwan, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,50, El-Salvador, >50K
68, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,15024,0,50, Peru, >50K
36, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
49, Private, 12th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,45, India, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Honduras, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Black, Male,0,0,35, South, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Yugoslavia, >50K
52, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,35, Trinadad&Tobago, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Columbia, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Female,0,0,35, Haiti, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, Yugoslavia, <=50K
42, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Nicaragua, <=50K
57, Private, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
25, Self-emp-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Puerto-Rico, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1977,60, Honduras, >50K
74, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,7232,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Cambodia, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,10472,0,50, Mexico, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,40, Haiti, >50K
48, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,2173,0,45, Japan, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Japan, <=50K
52, Private, Assoc-voc, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Canada, >50K
34, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,4386,0,40, Puerto-Rico, >50K
22, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
28, Private, 1st-4th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
59, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,35, South, >50K
30, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
39, Federal-gov, Masters, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
55, Private, Prof-school, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Outlying-US(Guam-USVI-etc), >50K
39, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Own-child, Other, Female,0,0,40, Jamaica, <=50K
76, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Female,0,0,20, Greece, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,1902,40, Italy, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, Black, Female,0,0,60, Nicaragua, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Peru, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,20, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, China, >50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
52, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,40, Scotland, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, South, <=50K
63, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,5, India, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,20, Iran, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1876,50, Hong, <=50K
58, State-gov, HS-grad, Widowed, Other-service, Husband, Other, Male,0,0,35, Guatemala, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
56, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,40, Honduras, <=50K
62, Private, 12th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
23, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, Honduras, <=50K
23, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,26, Greece, <=50K
24, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Mexico, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, South, >50K
34, Private, Assoc-voc, Never-married, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
56, Private, Assoc-acdm, Widowed, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,10, Taiwan, <=50K
53, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,66, Yugoslavia, <=50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,2235,0,20, Haiti, >50K
38, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,1902,40, Ireland, <=50K
