56, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Greece, <=50K
33, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, Ireland, >50K
65, State-gov, Some-college, Widowed, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
18, State-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
31, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Wife, White, Male,0,0,45, United-States, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
48, Federal-gov, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, >50K
38, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,16, United-States, <=50K
20, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Self-emp-inc, Assoc-acdm, Separated, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, White, Female,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,15, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,5178,0,60, United-States, >50K
38, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, >50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,54, United-States, <=50K
60, Private, 9th, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
58, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, 5th-6th, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7298,0,50, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,60, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Never-married, Sales, Unmarried, Black, Female,0,0,35, Mexico, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Female,0,0,30, United-States, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,3116,0,42, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
57, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,2077,65, United-States, >50K
50, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Male,0,0,40, Mexico, <=50K
46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
59, Self-emp-inc, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,7687,0,50, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,2572,0,35, United-States, <=50K
49, Without-pay, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,4076,0,40, United-States, <=50K
52, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,86, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Widowed, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States, <=50K
27, Private, Masters, Never-married, Sales, Own-child, Black, Female,0,0,40, South, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, State-gov, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
40, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, >50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,3439,0,80, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Other, Female,0,0,16, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,52, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1670,40, United-States, <=50K
27, Private, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
55, Federal-gov, 9th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
49, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
52, State-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,3562,0,30, United-States, <=50K
47, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
35, Private, HS-grad, Widowed, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
57, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,25, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3090,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
63, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, 7th-8th, Divorced, Tech-support, Wife, White, Male,0,0,35, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
24, Private, Masters, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,20, United-States, >50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
63, Private, HS-grad, Separated, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1887,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, >50K
26, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,30, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Widowed, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
43, Local-gov, 9th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
73, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, >50K
39, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,45, United-States, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,70, United-States, <=50K
19, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,16, United-States, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,35, Jamaica, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,40, United-States, >50K
43, Private, Bachelors, Widowed, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, <=50K
44, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, China, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,82, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,42, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Hungary, <=50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
37, Local-gov, 9th, Never-married, Exec-managerial, Wife, White, Female,0,0,30, United-States, >50K
55, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,35, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,45, Cuba, <=50K
34, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
53, State-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,38, United-States, >50K
52, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,54, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,99, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,38, Taiwan, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,22, United-States, <=50K
54, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, White, Male,0,0,32, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
57, Self-emp-inc, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
90, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,28627,0,60, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Widowed, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
29, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,48, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Thailand, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
28, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3895,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2406,50, United-States, >50K
18, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,16, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1572,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,57, United-States, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Cuba, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
58, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,82, United-States, <=50K
50, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
40, Private, Some-college, Separated, Sales, Wife, White, Female,0,0,31, United-States, <=50K
62, Private, Some-college, Divorced, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,47, United-States, >50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,55, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,60, United-States, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
