47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, France, <=50K
56, Private, Assoc-voc, Never-married, Machine-op-inspct, Wife, Black, Male,0,0,32, Philippines, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, Cambodia, <=50K
18, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,30, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Peru, <=50K
61, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,15, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, China, >50K
37, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,42, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
46, Local-gov, 9th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Haiti, <=50K
47, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
55, Private, Some-college, Widowed, Sales, Wife, Black, Female,0,0,40, United-States, <=50K
38, Federal-gov, Prof-school, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,45, Cambodia, >50K
53, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, United-States, >50K
43, State-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Laos, >50K
56, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1887,70, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, United-States, >50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
53, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3651,0,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Dominican-Republic, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,65, Nicaragua, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
67, Private, Some-college, Widowed, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Mexico, <=50K
42, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
29, Private, Assoc-acdm, Divorced, Craft-repair, Own-child, Black, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, Poland, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Puerto-Rico, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,8, South, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, Peru, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, United-States, >50K
52, Self-emp-not-inc, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Male,4650,0,60, United-States, >50K
52, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1977,54, United-States, <=50K
40, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Vietnam, <=50K
29, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Philippines, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,4885,0,48, Columbia, <=50K
51, Private, 11th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,9199,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
30, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,54, El-Salvador, >50K
49, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Hong, <=50K
52, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
44, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Haiti, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Cambodia, >50K
