36, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
55, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, >50K
42, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, United-States, >50K
37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Ireland, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Cuba, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
29, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,2175,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,25, Taiwan, <=50K
56, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, Poland, <=50K
29, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,3238,0,45, Scotland, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,35, Iran, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,10, United-States, <=50K
60, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
51, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Poland, >50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,44, Hong, >50K
53, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,17, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Female,15024,0,40, Germany, >50K
56, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,8, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
23, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,6, United-States, <=50K
73, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Female,99999,0,20, Ecuador, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Nicaragua, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Portugal, >50K
52, Federal-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, England, <=50K
56, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,15024,0,30, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1761,40, United-States, >50K
85, Private, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1887,60, United-States, >50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Without-pay, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,39, United-States, <=50K
23, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, Jamaica, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,865,40, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,1620,40, Ecuador, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
54, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
61, Federal-gov, 9th, Widowed, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
26, Private, Masters, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Mexico, >50K
30, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,9400,0,40, United-States, >50K
29, Private, 10th, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
66, Local-gov, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,48, United-States, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, Guatemala, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Trinadad&Tobago, >50K
48, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
52, Federal-gov, 11th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,25, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Other, Male,3261,0,48, Greece, <=50K
19, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3398,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
33, State-gov, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
34, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Honduras, <=50K
21, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1866,40, United-States, >50K
38, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3690,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Italy, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,39, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Other-service, Own-child, Other, Female,0,0,36, United-States, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,20, Jamaica, <=50K
22, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,44, United-States, <=50K
42, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,1726,35, United-States, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Iran, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, Other, Male,0,0,10, United-States, <=50K
17, Private, 12th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,3465,0,40, United-States, <=50K
18, State-gov, Assoc-voc, Never-married, Transport-moving, Own-child, White, Male,0,0,16, Vietnam, <=50K
67, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,30, Cuba, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
46, Private, Doctorate, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
57, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,43, Thailand, <=50K
75, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, Germany, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2813,0,50, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2414,60, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, Cambodia, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,3103,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Other, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,2829,0,50, Cuba, <=50K
64, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
71, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Farming-fishing, Wife, White, Male,2029,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, India, <=50K
60, State-gov, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cambodia, >50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States, >50K
25, Self-emp-not-inc, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Male,3333,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
38, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,27, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,2298,0,40, United-States, <=50K
18, Private, 10th, Never-married, Protective-serv, Own-child, White, Female,0,0,2, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, England, <=50K
25, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Taiwan, <=50K
44, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, United-States, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,49, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,8, United-States, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,4072,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Black, Male,0,0,15, United-States, <=50K
44, Local-gov, 1st-4th, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,5, Greece, <=50K
60, Private, HS-grad, Widowed, Tech-support, Unmarried, White, Male,0,2544,25, United-States, <=50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,44, United-States, <=50K
31, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,35, South, <=50K
89, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Female,3463,0,60, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
18, Private, 12th, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
41, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,1990,60, Dominican-Republic, <=50K
22, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
53, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1756,40, Germany, <=50K
43, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, Other, Male,7687,0,40, United-States, >50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, <=50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,35, United-States, <=50K
46, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,0,20, United-States, >50K
50, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,65, Italy, <=50K
55, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,2059,37, United-States, <=50K
50, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Farming-fishing, Own-child, Other, Female,0,0,15, Japan, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Canada, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,45, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
33, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
