25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
45, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,54, China, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
47, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,15, Dominican-Republic, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
52, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,32, Canada, <=50K
68, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
26, Local-gov, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
61, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,42, El-Salvador, <=50K
38, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,30, Guatemala, <=50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
57, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,1, Nicaragua, <=50K
46, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Japan, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,44, Laos, >50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
56, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Poland, <=50K
39, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
41, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,99999,0,40, India, >50K
47, Local-gov, HS-grad, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
23, Private, Bachelors, Separated, Prof-specialty, Wife, Other, Male,0,0,60, Jamaica, <=50K
42, Private, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
22, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, <=50K
54, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
19, Private, 1st-4th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, India, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Unmarried, Other, Female,3489,0,40, Outlying-US(Guam-USVI-etc), <=50K
58, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
43, Self-emp-not-inc, 11th, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1902,40, Japan, >50K
42, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,8966,0,40, Japan, >50K
59, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
77, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Thailand, <=50K
35, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,30, Ecuador, <=50K
38, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Yugoslavia, >50K
26, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,36, Taiwan, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,30, Philippines, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,99999,0,50, Haiti, >50K
32, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Portugal, <=50K
53, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,45, Jamaica, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, India, <=50K
28, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, France, <=50K
21, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Germany, <=50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1831,40, Italy, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Japan, >50K
39, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Ecuador, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, South, <=50K
37, Self-emp-not-inc, HS-grad, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,36, Cuba, <=50K
40, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, >50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,2098,40, China, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, >50K
69, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,8, Ireland, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
39, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Thailand, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Columbia, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,4615,0,53, Hong, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Taiwan, <=50K
49, Local-gov, Doctorate, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,4386,0,40, Guatemala, >50K
47, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,45, Greece, <=50K
45, Private, Doctorate, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
48, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, South, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, South, >50K
54, Private, Masters, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, Taiwan, <=50K
66, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1720,3, South, >50K
48, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, France, <=50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, China, >50K
26, Local-gov, Assoc-acdm, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
44, Private, HS-grad, Divorced, Machine-op-inspct, Wife, Other, Female,0,0,30, Taiwan, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, Iran, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,35, Thailand, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, England, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,47, Guatemala, >50K
33, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,36, Taiwan, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
23, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,2410,40, Haiti, <=50K
48, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
49, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,15, Germany, <=50K
60, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, Puerto-Rico, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Taiwan, <=50K
43, Private, Masters, Separated, Craft-repair, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Poland, <=50K
32, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,37, Scotland, <=50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Female,2457,0,40, Taiwan, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Portugal, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
30, State-gov, HS-grad, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Japan, <=50K
64, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Taiwan, <=50K
48, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, El-Salvador, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, <=50K
26, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
40, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
37, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,40, Italy, <=50K
52, Self-emp-not-inc, Masters, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
36, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Guatemala, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,2199,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Ireland, >50K
27, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, Honduras, <=50K
37, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,10024,0,40, Laos, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Haiti, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
53, Local-gov, Masters, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,54, Thailand, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, Black, Female,4729,0,45, Laos, <=50K
32, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
24, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,5211,0,40, Iran, >50K
24, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
42, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Vietnam, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,40, Honduras, >50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,15, Peru, <=50K
21, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Italy, >50K
24, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, Peru, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
69, Private, HS-grad, Widowed, Sales, Unmarried, Other, Male,0,0,40, Portugal, >50K
33, Private, Bachelors, Never-married, Transport-moving, Wife, Black, Male,0,0,40, India, <=50K
31, Private, 11th, Divorced, Machine-op-inspct, Own-child, Black, Male,5084,0,45, Iran, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, South, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,35, Mexico, >50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,45, Greece, <=50K
55, Private, Some-college, Separated, Sales, Husband, White, Male,0,0,50, El-Salvador, <=50K
49, Local-gov, 7th-8th, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, India, <=50K
19, Private, Assoc-acdm, Never-married, Sales, Own-child, Black, Male,0,0,20, Mexico, <=50K
34, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,50, Puerto-Rico, >50K
39, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Peru, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,40, Taiwan, >50K
43, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Japan, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Ecuador, <=50K
45, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
26, Federal-gov, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Taiwan, <=50K
44, Private, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,15, India, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Honduras, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, South, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Canada, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,36, Honduras, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Guatemala, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,30, Columbia, <=50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,3101,0,40, Haiti, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,36, Yugoslavia, <=50K
40, Private, Bachelors, Separated, Craft-repair, Unmarried, Black, Male,4966,0,45, Nicaragua, <=50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,65, Trinadad&Tobago, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,37, Iran, <=50K
53, Self-emp-not-inc, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Male,0,1894,36, Scotland, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,3043,0,48, Honduras, >50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,90, Yugoslavia, <=50K
36, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,4513,0,40, Jamaica, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
61, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,42, Laos, <=50K
51, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,16, Jamaica, <=50K
55, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,4386,0,40, Laos, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,50, Canada, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,50, South, >50K
58, Private, HS-grad, Widowed, Exec-managerial, Wife, Black, Female,0,0,40, Iran, <=50K
25, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,6, South, <=50K
35, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
29, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
54, Self-emp-not-inc, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, Jamaica, >50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Female,0,0,12, Greece, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, Italy, <=50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,30, Mexico, <=50K
74, Local-gov, HS-grad, Widowed, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Iran, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,80, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,45, Peru, <=50K
48, Private, 7th-8th, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, China, <=50K
34, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Greece, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Scotland, >50K
41, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,20, South, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
46, Private, Some-college, Divorced, Other-service, Unmarried, Other, Male,0,0,40, Iran, <=50K
40, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Hong, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Guatemala, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,35, India, >50K
45, Local-gov, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Honduras, >50K
50, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
54, Self-emp-inc, Some-college, Divorced, Handlers-cleaners, Wife, Other, Female,0,0,30, Greece, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, Mexico, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, South, <=50K
37, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
40, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female,0,0,10, Taiwan, <=50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,4386,0,50, Haiti, >50K
