48, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1887,45, France, >50K
28, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, >50K
44, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, Haiti, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, Hong, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Germany, >50K
77, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,5, Mexico, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,42, China, <=50K
90, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7506,0,35, China, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, >50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,25900,0,55, Hong, >50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,45, Philippines, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Peru, >50K
41, State-gov, HS-grad, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Haiti, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Greece, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,2971,0,35, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Italy, <=50K
21, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Thailand, <=50K
22, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
39, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, >50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,0,0,38, Guatemala, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, Trinadad&Tobago, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,30, United-States, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,42746,0,40, Germany, >50K
25, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,24, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,42, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Guatemala, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Columbia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Mexico, >50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, Poland, <=50K
36, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,6, United-States, <=50K
66, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,2544,0,40, United-States, <=50K
76, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Male,0,0,32, Ireland, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Laos, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States, >50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
61, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,35, Guatemala, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, Germany, <=50K
23, Private, HS-grad, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,52, Laos, <=50K
29, Private, 11th, Married-civ-spouse, Adm-clerical, Wife, White, Female,2599,0,14, United-States, >50K
37, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,70, Cuba, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Guatemala, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,44, South, <=50K
34, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,62, United-States, >50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,54, United-States, <=50K
33, Self-emp-inc, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,1724,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Nicaragua, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, India, >50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, Ireland, >50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, Other, Male,0,0,40, Dominican-Republic, >50K
27, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,3103,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
48, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,54, India, <=50K
43, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Nicaragua, >50K
21, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
36, State-gov, Some-college, Separated, Protective-serv, Not-in-family, White, Male,0,0,75, Peru, <=50K
29, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Male,0,0,17, Hungary, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Mexico, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
59, Private, Some-college, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
51, Private, Bachelors, Married-spouse-absent, Sales, Husband, Other, Male,0,0,40, United-States, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,52, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
90, Self-emp-not-inc, 5th-6th, Widowed, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, >50K
41, State-gov, Masters, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4750,0,40, United-States, >50K
68, State-gov, Some-college, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
41, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,16, Hong, >50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
29, Private, 10th, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,30, Jamaica, <=50K
42, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, United-States, >50K
47, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
21, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,8, Taiwan, <=50K
49, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,49, United-States, >50K
21, Local-gov, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Poland, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, England, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Portugal, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,45, Greece, >50K
67, Local-gov, Masters, Married-civ-spouse, Sales, Other-relative, Other, Female,0,0,20, Portugal, <=50K
34, Private, Bachelors, Married-civ-spouse, Other-service, Other-relative, Other, Female,0,0,40, United-States, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1902,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,80, United-States, >50K
50, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,37, Poland, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, Honduras, <=50K
56, Private, HS-grad, Widowed, Protective-serv, Own-child, White, Male,0,0,30, United-States, <=50K
25, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
76, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3400,0,20, Hong, <=50K
61, Federal-gov, 11th, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
31, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,1737,30, Iran, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, 7th-8th, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Poland, >50K
22, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,32, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,35, China, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,50, South, >50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,29, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,50, El-Salvador, <=50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Philippines, >50K
29, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
62, Private, Some-college, Widowed, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4002,0,40, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Portugal, >50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,40, Yugoslavia, <=50K
64, Private, Assoc-acdm, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, <=50K
61, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1977,99, United-States, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, Portugal, <=50K
42, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Columbia, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,7687,0,45, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, Haiti, >50K
41, State-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,12, United-States, <=50K
34, Federal-gov, Some-college, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, >50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
31, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
58, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,2339,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Dominican-Republic, >50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, >50K
41, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
52, State-gov, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, >50K
29, Self-emp-inc, Bachelors, Separated, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,65, Thailand, <=50K
70, Local-gov, 5th-6th, Never-married, Other-service, Not-in-family, Other, Male,0,0,15, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, South, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,50, Puerto-Rico, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Mexico, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
29, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Not-in-family, White, Male,10412,0,50, United-States, >50K
55, Private, Assoc-acdm, Separated, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
70, Private, Bachelors, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,5178,0,40, Vietnam, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Poland, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
33, Private, Doctorate, Never-married, Craft-repair, Husband, White, Male,0,2038,45, Cuba, >50K
47, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Male,0,0,48, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
42, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,1902,40, United-States, <=50K
59, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,38, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,54, United-States, <=50K
61, Private, Doctorate, Married-civ-spouse, Other-service, Wife, White, Female,14264,0,40, United-States, >50K
19, Private, Some-college, Divorced, Sales, Own-child, Black, Female,0,0,15, Hong, <=50K
51, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, United-States, >50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,24, Thailand, >50K
42, Self-emp-not-inc, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Hong, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,51, Cambodia, <=50K
44, Local-gov, HS-grad, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Puerto-Rico, <=50K
