22, Private, Masters, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,52, United-States, >50K
46, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
19, Private, Assoc-voc, Separated, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,35, United-States, <=50K
54, Self-emp-inc, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,1590,40, Vietnam, <=50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
66, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, >50K
33, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,44, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Honduras, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, >50K
61, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,2768,0,40, United-States, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,45, United-States, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,10, Mexico, <=50K
54, Private, Some-college, Widowed, Craft-repair, Wife, Black, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,80, Mexico, >50K
33, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
31, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,55, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
31, Private, Masters, Never-married, Prof-specialty, Wife, Black, Female,0,0,40, Italy, <=50K
37, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,38, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
57, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
47, Federal-gov, 11th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,16, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
25, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1446,40, United-States, <=50K
28, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
55, Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
28, Private, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,1602,50, United-States, <=50K
65, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,20, United-States, <=50K
44, Private, Some-college, Never-married, Tech-support, Wife, Black, Male,0,0,45, United-States, <=50K
23, Private, 9th, Separated, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Mexico, >50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7677,0,20, United-States, >50K
45, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
45, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
25, Local-gov, 11th, Never-married, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,25, United-States, >50K
22, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, 10th, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,4518,0,70, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,57, United-States, >50K
69, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
47, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
37, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,36, United-States, <=50K
43, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
52, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,1977,20, United-States, >50K
29, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2873,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
32, Private, 9th, Never-married, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
70, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States, >50K
24, Private, Some-college, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
42, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Female,0,0,48, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
53, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,1641,40, United-States, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Local-gov, 11th, Never-married, Craft-repair, Wife, White, Male,0,0,35, United-States, <=50K
57, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
48, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Male,4904,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
42, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
63, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States, >50K
25, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Some-college, Never-married, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Other-relative, Black, Female,0,0,40, Germany, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-spouse-absent, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
44, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Female,0,2415,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-inc, 9th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
64, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,73191,0,60, Yugoslavia, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Canada, >50K
65, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
67, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, United-States, >50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,14620,0,40, India, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,30, United-States, <=50K
54, Local-gov, 5th-6th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
35, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,51, China, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
69, State-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Doctorate, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,54, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
67, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Peru, >50K
39, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Separated, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
52, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
33, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,54, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Masters, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Assoc-acdm, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
57, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Jamaica, >50K
41, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,50, United-States, >50K
22, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States, >50K
39, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
34, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Cuba, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,60, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2122,45, United-States, >50K
28, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
55, Private, Some-college, Divorced, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
66, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2174,0,40, United-States, >50K
47, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
70, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,15, United-States, <=50K
