68, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,80, Yugoslavia, <=50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,1997,40, Thailand, <=50K
17, Private, 12th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,9, Scotland, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, El-Salvador, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1977,40, Guatemala, >50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
29, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,7298,0,43, Italy, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
28, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Laos, <=50K
49, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Philippines, >50K
24, Local-gov, 12th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
40, Federal-gov, HS-grad, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,30, Mexico, <=50K
49, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,38, Honduras, <=50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
53, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,0,0,40, Nicaragua, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
23, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,35, Italy, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
38, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, South, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Taiwan, <=50K
37, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
30, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,45, Yugoslavia, >50K
52, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,1848,50, South, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
43, Private, HS-grad, Divorced, Priv-house-serv, Own-child, White, Male,0,0,40, Philippines, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,30, Haiti, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,16, Portugal, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Italy, <=50K
31, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,45, Hungary, <=50K
58, Private, Masters, Divorced, Sales, Husband, Other, Female,0,0,10, France, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1887,40, Germany, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,3175,0,50, Italy, >50K
33, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
38, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
29, Private, Doctorate, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Dominican-Republic, <=50K
45, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, >50K
50, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Scotland, >50K
24, Private, 12th, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, Canada, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
44, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
26, Private, Bachelors, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1595,45, Trinadad&Tobago, <=50K
55, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,43, China, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Taiwan, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
54, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1902,50, Guatemala, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,4687,0,45, China, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Female,0,0,45, South, <=50K
38, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,18, South, <=50K
44, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
25, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Puerto-Rico, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, France, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Other-relative, Black, Male,0,0,40, China, >50K
45, Federal-gov, 1st-4th, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,35, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Other, Male,0,0,50, Taiwan, >50K
55, Private, Some-college, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Male,4311,0,36, Poland, <=50K
69, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Iran, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, Thailand, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, France, <=50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,65, Haiti, >50K
30, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, Taiwan, >50K
49, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
45, Without-pay, Masters, Never-married, Prof-specialty, Husband, White, Male,15024,0,54, Guatemala, <=50K
23, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
18, Private, Some-college, Never-married, Sales, Other-relative, Black, Male,0,0,32, Greece, <=50K
29, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
38, Private, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,4400,0,40, Taiwan, >50K
50, Private, Prof-school, Separated, Exec-managerial, Husband, Other, Male,0,0,60, Nicaragua, <=50K
34, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,15, Scotland, <=50K
42, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
38, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,40, Portugal, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, Nicaragua, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
45, Private, Some-college, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,10, Jamaica, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,30, Taiwan, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,62, El-Salvador, >50K
27, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Holand-Netherlands, <=50K
20, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
23, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,32, Nicaragua, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Ireland, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
32, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Male,0,0,37, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,40, Columbia, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,2039,60, Iran, >50K
32, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
28, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Italy, >50K
22, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, Haiti, >50K
74, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
41, Private, Bachelors, Divorced, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
20, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,50, Japan, <=50K
69, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,26114,0,45, Peru, <=50K
69, State-gov, Some-college, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Taiwan, <=50K
41, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,1902,40, India, >50K
26, Private, 12th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
41, Private, Assoc-voc, Never-married, Farming-fishing, Own-child, Black, Female,0,0,60, Holand-Netherlands, >50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Italy, >50K
38, Private, 7th-8th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,25, India, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,45, Ecuador, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,48, Poland, >50K
41, Private, HS-grad, Separated, Transport-moving, Unmarried, Black, Male,0,0,45, India, <=50K
28, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Iran, <=50K
37, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, South, <=50K
23, Private, Bachelors, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,25, Outlying-US(Guam-USVI-etc), >50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
40, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Other-relative, Other, Female,0,0,50, Guatemala, >50K
44, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,45, El-Salvador, <=50K
50, Local-gov, 12th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
41, Private, Bachelors, Divorced, Sales, Husband, Black, Male,0,0,50, Laos, >50K
39, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, >50K
40, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Peru, <=50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Japan, >50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
47, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Peru, >50K
54, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
49, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
45, Private, Some-college, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,32, Honduras, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,40, South, <=50K
30, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,16, Yugoslavia, <=50K
74, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,16, Canada, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
54, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Trinadad&Tobago, >50K
39, Private, Some-college, Divorced, Sales, Husband, White, Male,7385,0,40, Greece, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Columbia, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Haiti, <=50K
53, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,34, Yugoslavia, <=50K
47, Private, Bachelors, Widowed, Adm-clerical, Other-relative, Black, Male,0,0,40, Nicaragua, <=50K
31, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,20, India, <=50K
43, Self-emp-not-inc, 9th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,4886,0,60, Cambodia, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,84, Laos, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, Haiti, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
37, Private, Some-college, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,50, Japan, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
30, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,7298,0,54, Hungary, <=50K
38, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,70, Ecuador, >50K
32, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,24, South, >50K
48, Private, Some-college, Married-spouse-absent, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
31, Federal-gov, Some-college, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,5, Cambodia, <=50K
46, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
50, Self-emp-not-inc, 12th, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,15024,0,40, Italy, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,45, Greece, >50K
73, Private, 11th, Married-civ-spouse, Other-service, Wife, White, Female,0,0,15, Ireland, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,60, Mexico, >50K
21, Private, Masters, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,12, Iran, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Peru, <=50K
27, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Iran, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Guatemala, <=50K
30, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, Scotland, <=50K
62, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,30, South, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hungary, <=50K
34, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Iran, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
40, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,40, Guatemala, <=50K
19, Private, Bachelors, Separated, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Hungary, <=50K
43, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
42, Private, Bachelors, Married-civ-spouse, Tech-support, Other-relative, Other, Male,0,0,40, Honduras, <=50K
30, Private, 5th-6th, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, Honduras, <=50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Guatemala, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,54, Mexico, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, South, >50K
49, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
30, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,50, Hong, >50K
35, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5125,0,45, Vietnam, <=50K
