48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, >50K
35, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, Columbia, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, France, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Haiti, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,2608,0,40, Canada, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,5098,0,50, Canada, >50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,50, France, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Honduras, <=50K
49, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Hong, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, England, <=50K
69, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,16, Ecuador, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
41, Local-gov, Bachelors, Never-married, Craft-repair, Unmarried, Other, Male,0,2441,45, Philippines, >50K
49, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Peru, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
45, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,54, Portugal, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
62, Federal-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,16, Germany, <=50K
36, Local-gov, Doctorate, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
17, Private, 11th, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Male,0,0,16, Scotland, <=50K
63, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Unmarried, Other, Male,28543,0,72, Outlying-US(Guam-USVI-etc), >50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,40, India, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,30, Dominican-Republic, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
63, Self-emp-not-inc, 7th-8th, Widowed, Other-service, Unmarried, Black, Female,0,0,33, Jamaica, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1508,40, Scotland, >50K
60, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,44, Ecuador, <=50K
47, Self-emp-not-inc, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
57, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, China, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Holand-Netherlands, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Thailand, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Hong, <=50K
23, Private, 9th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,8, Outlying-US(Guam-USVI-etc), <=50K
32, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Greece, <=50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,40, Haiti, >50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
27, Private, HS-grad, Never-married, Craft-repair, Other-relative, Other, Male,0,0,48, Peru, <=50K
62, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,30, Cuba, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,40, England, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
29, Private, Bachelors, Separated, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
36, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
44, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, China, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Laos, >50K
40, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,1879,40, Cuba, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Columbia, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,54, Ireland, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,65, United-States, <=50K
40, Local-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
40, State-gov, Masters, Divorced, Exec-managerial, Unmarried, White, Male,0,0,10, Honduras, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,16, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, Germany, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Columbia, >50K
37, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, Masters, Never-married, Sales, Not-in-family, Other, Female,0,0,35, Greece, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Hong, <=50K
27, Self-emp-not-inc, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,99, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
46, Without-pay, Masters, Never-married, Prof-specialty, Husband, White, Male,5173,0,40, Hong, <=50K
46, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, England, <=50K
46, Private, HS-grad, Widowed, Sales, Not-in-family, Other, Male,0,0,45, Holand-Netherlands, <=50K
56, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Scotland, >50K
31, Private, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
44, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,56, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
40, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,15024,0,40, United-States, >50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,24, China, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,38, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Scotland, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Jamaica, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
20, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
44, State-gov, HS-grad, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, India, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
29, Local-gov, Some-college, Divorced, Tech-support, Unmarried, Black, Female,0,0,20, Puerto-Rico, <=50K
61, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,40, Nicaragua, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,50, Italy, >50K
18, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,20, South, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Cuba, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,25, Hong, <=50K
24, Private, Some-college, Never-married, Sales, Husband, Black, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, >50K
42, Federal-gov, 11th, Divorced, Craft-repair, Not-in-family, White, Male,0,1733,40, Iran, <=50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
37, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,7687,0,54, Hong, >50K
20, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,40, Hungary, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, Ecuador, >50K
39, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,60, Iran, >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,25, Nicaragua, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,30, Philippines, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, South, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
50, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,45, Jamaica, >50K
41, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Vietnam, <=50K
47, Private, Assoc-acdm, Separated, Other-service, Wife, Black, Female,0,0,35, India, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
34, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,30, Nicaragua, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Taiwan, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,32, England, <=50K
31, Private, Masters, Never-married, Sales, Wife, White, Male,5270,0,35, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Japan, <=50K
38, Local-gov, 10th, Divorced, Other-service, Unmarried, Black, Male,0,0,40, Japan, <=50K
61, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, South, >50K
35, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,43, Portugal, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,7298,0,40, Honduras, >50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, France, <=50K
56, Federal-gov, 1st-4th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
52, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Portugal, >50K
34, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, Some-college, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
42, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, United-States, >50K
36, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
52, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,1887,40, England, <=50K
35, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
47, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,1685,45, Japan, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Iran, >50K
28, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,30, United-States, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
27, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,24, Canada, <=50K
27, Private, Doctorate, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Honduras, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, Cuba, <=50K
61, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Hungary, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,70, Vietnam, >50K
58, Private, Bachelors, Widowed, Craft-repair, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,16, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,4042,0,40, Japan, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2001,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
32, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,2, Portugal, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Hong, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, Outlying-US(Guam-USVI-etc), >50K
25, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,38, Philippines, <=50K
75, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,8, Canada, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Laos, <=50K
27, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, England, >50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,8, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
39, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Cambodia, >50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,20, Scotland, <=50K
38, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
18, Private, Masters, Never-married, Other-service, Own-child, White, Female,0,0,20, Holand-Netherlands, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Mexico, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Puerto-Rico, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Laos, <=50K
51, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Taiwan, <=50K
49, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1848,70, Laos, >50K
28, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,60, Columbia, <=50K
72, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,2367,30, Honduras, >50K
39, Private, Assoc-acdm, Widowed, Exec-managerial, Unmarried, Other, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,12, Jamaica, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,60, Laos, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
43, State-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,50, Hong, <=50K
51, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
65, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, Cuba, <=50K
52, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,1902,50, India, <=50K
32, Private, 7th-8th, Never-married, Prof-specialty, Other-relative, Black, Male,0,0,40, India, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Honduras, <=50K
35, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Portugal, >50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
34, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, United-States, >50K
49, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,30, Jamaica, <=50K
43, Private, Bachelors, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7687,0,40, Vietnam, >50K
37, Private, Some-college, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Hungary, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
59, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,40, China, <=50K
61, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
47, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,12, Cuba, <=50K
40, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
