51, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, >50K
53, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, England, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
45, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,50, Mexico, <=50K
30, Self-emp-inc, Assoc-voc, Married-spouse-absent, Machine-op-inspct, Husband, Other, Male,0,0,50, Jamaica, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,29, Cuba, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,35, Ecuador, <=50K
64, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,49, Hungary, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Nicaragua, >50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Cuba, >50K
58, Self-emp-not-inc, 10th, Widowed, Sales, Not-in-family, Other, Female,0,0,40, Italy, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
44, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, South, <=50K
66, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, Taiwan, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Ecuador, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, <=50K
43, Private, Masters, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, South, <=50K
18, Private, Some-college, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, Greece, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Philippines, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Haiti, >50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,48, Portugal, <=50K
60, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, Italy, <=50K
38, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Hungary, <=50K
46, Private, HS-grad, Divorced, Priv-house-serv, Not-in-family, Other, Female,0,0,40, France, <=50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Germany, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, Ireland, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,35, Japan, <=50K
35, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Wife, Amer-Indian-Eskimo, Male,15024,0,35, Cuba, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Germany, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
46, Private, Assoc-acdm, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, China, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,45, Iran, >50K
41, Self-emp-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Trinadad&Tobago, <=50K
37, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, Thailand, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Columbia, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, China, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,60, Hong, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, Taiwan, >50K
51, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
43, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,45, Guatemala, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Thailand, >50K
33, Private, HS-grad, Never-married, Protective-serv, Wife, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1563,40, El-Salvador, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,40, South, >50K
70, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,2840,0,40, Taiwan, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Female,0,0,45, Puerto-Rico, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,3325,0,48, Germany, <=50K
62, Local-gov, 9th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, China, >50K
49, Local-gov, Assoc-acdm, Divorced, Other-service, Unmarried, Black, Female,0,0,38, Italy, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Other, Male,0,0,40, Taiwan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Portugal, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
39, Self-emp-not-inc, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Thailand, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,48, France, <=50K
41, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,38, Haiti, <=50K
56, Self-emp-inc, HS-grad, Widowed, Craft-repair, Wife, White, Female,0,0,40, Taiwan, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,29, Taiwan, <=50K
40, State-gov, Some-college, Separated, Other-service, Not-in-family, Other, Female,0,0,50, Guatemala, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, El-Salvador, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,40, Germany, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1977,49, Portugal, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,50, Taiwan, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
37, Self-emp-not-inc, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
80, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,25, Peru, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Canada, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, Poland, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Nicaragua, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
36, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, Taiwan, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, El-Salvador, <=50K
59, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2201,0,40, Haiti, <=50K
33, Private, 10th, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
85, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,10, Nicaragua, >50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Black, Female,0,0,40, Italy, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,50, Hungary, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,3438,0,40, Outlying-US(Guam-USVI-etc), <=50K
59, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Columbia, >50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,10, Haiti, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Ireland, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
43, Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,38, Jamaica, <=50K
68, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,24, Outlying-US(Guam-USVI-etc), <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Jamaica, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Male,0,0,40, Haiti, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Haiti, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
45, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Italy, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Thailand, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Japan, <=50K
23, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,6952,0,40, Hungary, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Cuba, <=50K
34, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,0,1665,50, Vietnam, <=50K
29, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,80, Holand-Netherlands, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
26, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Italy, <=50K
56, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
47, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Ecuador, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,40, Portugal, >50K
56, Private, HS-grad, Separated, Transport-moving, Husband, Other, Male,0,0,40, India, <=50K
42, Local-gov, 10th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, Iran, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, South, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,25, Peru, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,10, Mexico, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Guatemala, <=50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,54, El-Salvador, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Laos, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,54, Puerto-Rico, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,7298,0,40, Philippines, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, Taiwan, <=50K
21, Private, Some-college, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, <=50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Ecuador, >50K
43, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Peru, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1595,40, Taiwan, >50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,20, South, <=50K
41, State-gov, Bachelors, Divorced, Transport-moving, Husband, Other, Male,7687,0,50, Yugoslavia, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Holand-Netherlands, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
31, Private, Some-college, Divorced, Sales, Unmarried, Other, Female,0,0,40, Guatemala, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,60, Columbia, <=50K
52, Private, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Black, Female,0,0,40, Haiti, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Mexico, <=50K
62, Private, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, Puerto-Rico, <=50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Holand-Netherlands, <=50K
33, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Ireland, >50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Laos, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Haiti, >50K
25, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Laos, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,15024,0,40, Scotland, >50K
47, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,25, Scotland, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Female,0,0,38, India, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,3362,0,40, Ecuador, <=50K
51, State-gov, Masters, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, South, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,7298,0,40, Vietnam, >50K
37, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Jamaica, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,1564,0,20, Greece, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Male,0,0,93, Ireland, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Mexico, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, Iran, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,1591,40, Peru, <=50K
52, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,60, Iran, >50K
24, Private, HS-grad, Never-married, Protective-serv, Other-relative, White, Female,0,0,40, China, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, Scotland, <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,50, South, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,25, Hungary, <=50K
37, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, Other, Male,0,0,45, Iran, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,5176,0,40, Hong, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1757,40, Guatemala, >50K
20, Private, HS-grad, Separated, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Hungary, <=50K
30, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
47, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Male,0,1902,40, Holand-Netherlands, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Holand-Netherlands, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,48, Greece, <=50K
31, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Mexico, <=50K
29, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Female,0,0,40, South, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,7298,0,50, Scotland, >50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Hungary, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,4935,0,40, Taiwan, <=50K
49, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
