47, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
45, Private, Bachelors, Never-married, Other-service, Husband, Black, Male,0,0,3, Yugoslavia, <=50K
31, Local-gov, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,60, Jamaica, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, China, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
65, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,11972,0,50, Dominican-Republic, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Germany, <=50K
46, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,45, Cambodia, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
55, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,50, Thailand, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,99, El-Salvador, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,35, Guatemala, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Nicaragua, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Japan, <=50K
21, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Female,0,0,50, Japan, <=50K
36, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
40, Private, Assoc-voc, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,54, Laos, <=50K
45, Private, Assoc-voc, Divorced, Other-service, Wife, Black, Male,0,0,38, Poland, >50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, England, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,27, Hong, <=50K
44, Local-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,60, Mexico, <=50K
60, Self-emp-not-inc, Assoc-voc, Separated, Other-service, Wife, Other, Male,0,0,40, Japan, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,60, Hong, >50K
49, Self-emp-not-inc, Masters, Divorced, Craft-repair, Unmarried, Black, Female,6871,0,48, Yugoslavia, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1641,50, Cuba, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,20, India, <=50K
25, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Cuba, >50K
41, Self-emp-inc, 5th-6th, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Jamaica, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
51, Private, Masters, Divorced, Tech-support, Unmarried, White, Male,0,0,40, South, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Thailand, <=50K
44, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,60, Ecuador, <=50K
44, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,50, Yugoslavia, >50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, >50K
41, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Germany, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Philippines, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Haiti, >50K
40, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
39, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,45, Jamaica, <=50K
34, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,65, France, <=50K
49, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, France, <=50K
34, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,16, Columbia, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, Ecuador, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
45, Private, Assoc-voc, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
43, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
26, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Trinadad&Tobago, <=50K
35, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
58, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, China, <=50K
44, Private, Some-college, Never-married, Farming-fishing, Wife, Black, Female,0,0,40, Hong, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Taiwan, >50K
59, Local-gov, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,99999,0,36, Guatemala, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Guatemala, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Canada, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, >50K
20, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Taiwan, <=50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,48, South, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,38, Scotland, <=50K
41, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, France, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3669,0,81, China, >50K
22, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, Other, Female,0,1057,20, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Wife, Other, Female,0,0,40, Taiwan, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,7687,0,60, Portugal, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, Iran, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, Thailand, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,35, England, <=50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Taiwan, <=50K
35, State-gov, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,30, Guatemala, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
51, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Germany, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Puerto-Rico, <=50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1576,40, Thailand, >50K
41, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Wife, Black, Female,0,0,40, Scotland, <=50K
46, Private, HS-grad, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
26, Private, Bachelors, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,8, Thailand, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,45, Portugal, >50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
37, State-gov, Prof-school, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,2, India, <=50K
65, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
45, Local-gov, 9th, Divorced, Other-service, Wife, White, Female,0,0,40, Taiwan, <=50K
51, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, El-Salvador, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, >50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
50, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, Nicaragua, >50K
47, Private, Doctorate, Divorced, Prof-specialty, Wife, Black, Female,81459,0,38, Italy, >50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,43, Hungary, >50K
50, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
62, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,23269,0,40, Haiti, >50K
58, Private, Some-college, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,35, Ireland, >50K
41, Local-gov, 7th-8th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
19, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
49, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,55, Jamaica, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Haiti, <=50K
40, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,4386,0,40, Haiti, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,1977,60, Dominican-Republic, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Italy, <=50K
24, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,0,0,60, Thailand, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,40, Laos, <=50K
38, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Peru, <=50K
31, Self-emp-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, India, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Honduras, >50K
52, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
47, State-gov, Doctorate, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Italy, >50K
60, Private, 7th-8th, Divorced, Sales, Unmarried, White, Female,0,0,40, Peru, <=50K
28, Private, Masters, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Vietnam, <=50K
42, Private, Masters, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,24, India, <=50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,20, Portugal, <=50K
28, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,17, India, <=50K
30, Private, 11th, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,50, Iran, <=50K
35, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,13, South, <=50K
19, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Female,0,0,20, Peru, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Mexico, >50K
64, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Wife, Black, Female,0,0,40, Guatemala, <=50K
59, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, El-Salvador, >50K
54, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
65, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,20, Mexico, <=50K
51, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Other, Female,7687,0,59, Puerto-Rico, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,25, Philippines, <=50K
52, Private, Some-college, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
44, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Taiwan, >50K
51, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Hong, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,7298,0,45, South, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
45, Private, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Columbia, <=50K
49, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Haiti, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,35, Nicaragua, <=50K
61, Private, Prof-school, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,93, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,3460,0,40, Iran, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
45, Private, Bachelors, Divorced, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
57, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cambodia, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, Mexico, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,40, Haiti, >50K
56, Local-gov, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,2001,65, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,0,10, Japan, >50K
48, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,3319,0,10, Canada, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, South, >50K
22, Private, HS-grad, Never-married, Farming-fishing, Wife, Black, Female,0,1650,40, Iran, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Ecuador, <=50K
53, State-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,60, South, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
42, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,54, Cambodia, <=50K
33, Private, Masters, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,15024,0,50, Outlying-US(Guam-USVI-etc), >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
52, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,1886,38, Greece, >50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1707,40, Italy, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Wife, Black, Female,0,0,40, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Philippines, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,50, Ireland, >50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Black, Female,0,0,40, Greece, <=50K
57, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, Black, Female,0,0,35, Scotland, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, South, <=50K
32, Self-emp-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, India, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,60, Iran, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,7298,0,45, Hungary, >50K
41, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Guatemala, <=50K
38, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
27, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,35, Honduras, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, Guatemala, <=50K
45, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Mexico, >50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, South, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Yugoslavia, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,34, Haiti, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Ireland, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,8312,0,45, Canada, >50K
