47, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,1887,50, Cuba, >50K
45, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,80, Jamaica, >50K
49, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, Dominican-Republic, >50K
77, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,7, Germany, <=50K
58, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,44, Cambodia, <=50K
90, Self-emp-not-inc, Bachelors, Married-civ-spouse, Priv-house-serv, Not-in-family, Black, Male,7687,0,25, Canada, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
31, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Thailand, <=50K
34, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,26, Puerto-Rico, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,25004,0,54, El-Salvador, >50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Guatemala, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, Guatemala, >50K
43, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
42, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Japan, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,3547,0,35, Japan, >50K
37, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
20, Private, 1st-4th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, Mexico, <=50K
41, Private, Assoc-voc, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Poland, <=50K
23, Federal-gov, 1st-4th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, England, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Japan, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
39, Private, Prof-school, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
37, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, India, >50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
63, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,17057,0,40, Dominican-Republic, >50K
25, Self-emp-not-inc, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,60, Jamaica, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Jamaica, <=50K
27, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, South, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,44, Thailand, <=50K
38, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Ecuador, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Priv-house-serv, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, Taiwan, <=50K
32, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Greece, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
56, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
37, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
73, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,7, Italy, <=50K
66, Self-emp-inc, 5th-6th, Widowed, Adm-clerical, Husband, White, Male,1781,0,40, India, <=50K
76, Private, HS-grad, Divorced, Protective-serv, Husband, White, Female,0,0,35, France, <=50K
27, Private, Bachelors, Never-married, Other-service, Husband, Other, Female,0,0,40, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Japan, >50K
61, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,43, Jamaica, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,15024,0,35, Ecuador, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,53, Germany, <=50K
31, Private, 11th, Never-married, Adm-clerical, Wife, White, Female,0,0,12, Taiwan, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Canada, <=50K
30, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Haiti, <=50K
33, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Ireland, >50K
39, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Trinadad&Tobago, <=50K
33, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, Trinadad&Tobago, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,54, Hong, <=50K
21, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,1672,20, Taiwan, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Greece, <=50K
28, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Canada, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, El-Salvador, >50K
40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,40, South, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,65, South, <=50K
31, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,7298,0,60, Scotland, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, <=50K
43, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
28, Federal-gov, 1st-4th, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,40, Taiwan, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,2198,0,40, Portugal, <=50K
38, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
48, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Thailand, >50K
40, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,54, England, <=50K
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, Thailand, <=50K
25, Self-emp-not-inc, Prof-school, Never-married, Craft-repair, Own-child, White, Male,0,0,36, Taiwan, <=50K
36, State-gov, Some-college, Never-married, Sales, Husband, White, Male,0,0,75, Guatemala, <=50K
30, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Germany, <=50K
35, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
59, Private, Prof-school, Widowed, Exec-managerial, Husband, Other, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,54, Scotland, <=50K
26, Private, Some-college, Never-married, Tech-support, Other-relative, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
90, Self-emp-not-inc, 1st-4th, Widowed, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,27, Thailand, <=50K
50, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,40, Portugal, <=50K
53, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,5013,0,40, Outlying-US(Guam-USVI-etc), >50K
68, State-gov, HS-grad, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, India, <=50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
41, Federal-gov, 9th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,16, El-Salvador, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
30, Private, 10th, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
42, Local-gov, Masters, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
48, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,35, Italy, <=50K
31, Private, Masters, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
21, Private, Bachelors, Never-married, Tech-support, Other-relative, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, >50K
25, Private, Doctorate, Never-married, Other-service, Own-child, White, Female,0,0,8, Guatemala, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, Ireland, >50K
22, Local-gov, 10th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,36, Honduras, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, <=50K
32, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Haiti, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, >50K
67, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
34, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Italy, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
54, Private, Doctorate, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Japan, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,46, Thailand, >50K
30, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, India, >50K
50, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
49, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,36, Honduras, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,15, Peru, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Italy, >50K
57, Private, 5th-6th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, Peru, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Male,0,0,50, Vietnam, >50K
27, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, Ecuador, <=50K
57, Private, HS-grad, Widowed, Prof-specialty, Unmarried, Other, Male,0,0,30, Portugal, >50K
25, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, Iran, <=50K
27, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,30, Iran, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, South, <=50K
40, Private, Bachelors, Divorced, Other-service, Husband, Black, Female,0,0,40, Peru, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Mexico, >50K
23, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,30, Guatemala, <=50K
80, Private, Some-college, Widowed, Sales, Husband, White, Male,0,0,20, El-Salvador, <=50K
62, Local-gov, 10th, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
37, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Mexico, >50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, >50K
33, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Peru, <=50K
48, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,1669,35, Ecuador, <=50K
64, Private, Some-college, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
24, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
51, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, >50K
23, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,35, South, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,56, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Honduras, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, Trinadad&Tobago, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
31, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, Columbia, <=50K
36, Private, Some-college, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,40, Haiti, <=50K
30, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Husband, Other, Male,0,0,70, Nicaragua, <=50K
63, Private, Masters, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,50, Iran, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,4194,0,40, Scotland, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, Yugoslavia, <=50K
64, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,99, Mexico, <=50K
25, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,48, Haiti, <=50K
43, Local-gov, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
23, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,7687,0,45, South, >50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,45, Iran, <=50K
42, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, South, <=50K
44, Private, Some-college, Separated, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,12, Yugoslavia, <=50K
34, Federal-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
17, Self-emp-not-inc, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, Japan, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Greece, <=50K
25, Private, Assoc-acdm, Never-married, Other-service, Wife, White, Male,0,0,40, Italy, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,16, Nicaragua, <=50K
59, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,2102,40, Ireland, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,40, Peru, <=50K
48, Private, 11th, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
34, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Scotland, >50K
21, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, India, >50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,50, Iran, >50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1594,40, Hong, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Guatemala, >50K
29, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,65, India, <=50K
71, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Columbia, <=50K
51, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Honduras, >50K
34, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
17, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,25, Honduras, <=50K
52, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Greece, <=50K
56, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,43, Mexico, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7776,0,50, South, >50K
56, Private, 9th, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
63, Self-emp-inc, Masters, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, India, <=50K
70, Private, 9th, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5178,0,40, Yugoslavia, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti, >50K
45, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,30, Ireland, <=50K
36, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,1977,45, Canada, >50K
