49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Greece, >50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Germany, <=50K
29, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
37, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, >50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,60, Columbia, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,45, Greece, >50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,60, United-States, >50K
40, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1671,40, England, <=50K
40, Local-gov, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,52, Thailand, >50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,65, United-States, <=50K
40, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,30, Nicaragua, <=50K
39, State-gov, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,16, United-States, <=50K
52, Private, HS-grad, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Ireland, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,23, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,33, United-States, <=50K
46, Self-emp-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Italy, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Ecuador, >50K
38, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,35, Ireland, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,45, Philippines, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,99, United-States, >50K
22, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,32, United-States, <=50K
46, Without-pay, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,5109,0,40, Nicaragua, <=50K
46, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,40, Honduras, <=50K
46, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,45, Mexico, <=50K
56, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,54, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,15024,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,24, Cuba, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,38, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, United-States, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Local-gov, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, >50K
44, State-gov, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, Portugal, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
29, Local-gov, Some-college, Divorced, Tech-support, Unmarried, Black, Female,0,0,20, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
18, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, England, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,25, Peru, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
42, Federal-gov, 10th, Divorced, Craft-repair, Not-in-family, White, Male,0,1587,40, Taiwan, <=50K
61, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, England, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,54, Philippines, >50K
20, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Philippines, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Greece, >50K
39, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,60, Taiwan, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,25, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
28, State-gov, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
50, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, United-States, >50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7117,0,40, United-States, <=50K
48, Private, Assoc-voc, Separated, Other-service, Wife, White, Female,0,0,35, Portugal, >50K
22, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, Holand-Netherlands, <=50K
32, Private, Masters, Never-married, Sales, Wife, White, Male,7133,0,35, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
38, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Nicaragua, >50K
29, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,30, Hong, <=50K
56, Federal-gov, 12th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
34, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
57, Private, Some-college, Widowed, Transport-moving, Not-in-family, White, Female,0,0,38, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, United-States, >50K
36, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
53, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,1886,40, Hong, <=50K
35, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
46, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, >50K
46, Local-gov, 7th-8th, Divorced, Adm-clerical, Unmarried, Black, Male,0,1632,45, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Puerto-Rico, >50K
28, Private, Masters, Divorced, Transport-moving, Unmarried, White, Male,0,0,30, United-States, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,24, Columbia, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Poland, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, England, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Philippines, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,70, United-States, >50K
59, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,16, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,3325,0,40, United-States, <=50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Scotland, >50K
32, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
35, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,2, United-States, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States, >50K
25, Local-gov, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,37, United-States, <=50K
75, Private, 7th-8th, Separated, Adm-clerical, Not-in-family, White, Male,0,0,8, Columbia, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,50, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,50, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Holand-Netherlands, >50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,50, United-States, <=50K
39, Federal-gov, Prof-school, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,50, Cambodia, >50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,20, United-States, <=50K
38, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Mexico, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
55, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,1670,64, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,60, Dominican-Republic, <=50K
71, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2307,30, Philippines, >50K
39, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,12, United-States, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, South, <=50K
43, State-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,50, Peru, <=50K
51, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
65, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,15, El-Salvador, <=50K
51, Private, Doctorate, Divorced, Tech-support, Not-in-family, White, Male,0,1902,50, Scotland, <=50K
32, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, Poland, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, South, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Nicaragua, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, United-States, >50K
49, Self-emp-not-inc, Prof-school, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Widowed, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,7687,0,40, Vietnam, >50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, Philippines, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Bachelors, Widowed, Adm-clerical, Own-child, White, Male,0,0,40, Cuba, <=50K
61, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
48, Federal-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,12, El-Salvador, <=50K
40, Private, Prof-school, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
70, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,1577,40, United-States, <=50K
38, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Wife, Black, Female,0,0,38, Hong, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
42, Private, 9th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Holand-Netherlands, <=50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Cambodia, <=50K
28, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Scotland, >50K
