40, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,32, Hungary, <=50K
48, Self-emp-not-inc, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,70, United-States, >50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
39, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Poland, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,50, Portugal, <=50K
32, Self-emp-inc, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,35, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
36, Local-gov, 5th-6th, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
47, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,1842,60, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,40, Iran, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
65, Self-emp-inc, HS-grad, Separated, Transport-moving, Unmarried, Black, Female,0,0,40, Holand-Netherlands, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, >50K
44, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
36, Local-gov, Assoc-acdm, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, India, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,35, United-States, >50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Male,0,0,45, United-States, <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Germany, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, England, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,15, United-States, <=50K
23, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Ecuador, >50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Japan, <=50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5, United-States, <=50K
31, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,36, Puerto-Rico, >50K
31, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, England, <=50K
53, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,35, United-States, >50K
33, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,15024,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Philippines, <=50K
64, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, Taiwan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
19, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
51, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, Scotland, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
65, Self-emp-inc, Prof-school, Separated, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,43, United-States, <=50K
59, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,30, United-States, <=50K
44, Private, Assoc-acdm, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,45, Ecuador, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
40, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
50, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, >50K
19, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
18, Private, 10th, Never-married, Sales, Own-child, Black, Female,0,0,25, Poland, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,38, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Guatemala, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
68, Private, Doctorate, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
57, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,20, United-States, <=50K
49, Federal-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,8, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Other, Male,0,0,70, Guatemala, <=50K
38, State-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
58, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,35, Holand-Netherlands, <=50K
35, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
23, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,627,40, Hungary, <=50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
58, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,4996,0,40, United-States, >50K
37, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States, <=50K
69, State-gov, HS-grad, Widowed, Prof-specialty, Wife, White, Male,0,2135,4, United-States, >50K
49, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
49, Private, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
46, Self-emp-inc, Doctorate, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Widowed, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
29, Private, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,37, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, Some-college, Separated, Craft-repair, Wife, White, Female,0,0,40, Taiwan, <=50K
33, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
46, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,99999,0,54, United-States, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1582,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
42, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
52, Private, Some-college, Widowed, Sales, Wife, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, Jamaica, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
33, Federal-gov, Doctorate, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,54, United-States, >50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1902,45, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, >50K
58, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Cuba, <=50K
69, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Male,0,0,8, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Guatemala, <=50K
43, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
42, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,3103,0,45, United-States, <=50K
29, Private, Bachelors, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,2584,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1515,40, Cambodia, <=50K
51, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
78, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
61, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, Black, Male,0,0,10, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
46, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Male,3407,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ireland, <=50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, >50K
34, Private, Some-college, Never-married, Prof-specialty, Wife, Other, Male,0,0,40, United-States, >50K
20, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Cambodia, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,38, United-States, >50K
38, Self-emp-not-inc, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, >50K
26, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,60, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
67, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,40, United-States, <=50K
33, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Thailand, <=50K
56, Self-emp-inc, Assoc-acdm, Separated, Farming-fishing, Unmarried, White, Male,0,0,75, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
31, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, State-gov, Masters, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
52, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Greece, >50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,0,50, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, >50K
78, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,1740,0,15, United-States, <=50K
48, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, Thailand, <=50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,20, United-States, >50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,70, United-States, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
51, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
59, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,81, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
29, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,48, Germany, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1602,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,42, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
27, Private, Prof-school, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, Laos, <=50K
55, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Iran, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
56, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,10, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, >50K
62, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
