34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,7298,0,53, Cuba, >50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
34, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Scotland, <=50K
32, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,8, Germany, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7298,0,77, China, >50K
30, Federal-gov, 1st-4th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Other, Male,7687,0,50, Thailand, >50K
51, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Portugal, <=50K
22, Private, Prof-school, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
51, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,15, France, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,40, Thailand, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, <=50K
35, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
36, Private, Bachelors, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
33, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,65, Germany, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,0,0,20, Scotland, <=50K
43, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,25, Thailand, <=50K
63, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,20, Peru, <=50K
30, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,74, Portugal, <=50K
26, Self-emp-inc, Some-college, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,40, Scotland, <=50K
28, Private, Masters, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
38, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,40, Portugal, <=50K
61, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,20, Peru, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
29, Private, Masters, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,70, Japan, <=50K
25, Local-gov, 5th-6th, Never-married, Prof-specialty, Unmarried, White, Male,0,0,60, Thailand, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,24, El-Salvador, >50K
60, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
40, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
32, Private, Some-college, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,16, Outlying-US(Guam-USVI-etc), >50K
27, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,15, Italy, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Peru, <=50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,20, Cuba, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Haiti, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, United-States, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Italy, >50K
34, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, Hong, <=50K
56, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
29, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,54, Peru, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, >50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,75, Haiti, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, >50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,25, Dominican-Republic, <=50K
32, Private, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,8, Jamaica, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
58, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
61, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
23, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, Vietnam, <=50K
36, Private, Masters, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
27, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,24, Cuba, <=50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Vietnam, <=50K
43, Private, Assoc-voc, Never-married, Farming-fishing, Other-relative, Black, Female,0,0,75, Honduras, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,30, Philippines, <=50K
27, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,75, Jamaica, >50K
62, Private, 7th-8th, Divorced, Transport-moving, Wife, White, Male,0,0,30, Philippines, >50K
40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Vietnam, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,74, India, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
47, Private, HS-grad, Separated, Prof-specialty, Unmarried, Other, Male,0,0,25, Puerto-Rico, >50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, Iran, <=50K
28, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,36, Iran, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, South, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,54, Peru, >50K
35, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,40, Guatemala, >50K
46, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, El-Salvador, <=50K
29, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,15, India, <=50K
22, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Mexico, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, >50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,25, Philippines, <=50K
44, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Thailand, <=50K
38, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Japan, >50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
55, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Thailand, >50K
27, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
58, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,20, Hong, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,45, Taiwan, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
51, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,60, Canada, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,7598,0,50, Honduras, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,77, Guatemala, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,42, Columbia, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Haiti, <=50K
60, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
39, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Male,0,0,30, Nicaragua, <=50K
46, Private, Some-college, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,12, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
25, Self-emp-inc, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Scotland, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,70, Honduras, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
25, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,20, Cambodia, <=50K
27, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Haiti, >50K
47, Local-gov, Some-college, Divorced, Sales, Husband, Other, Male,0,0,40, Japan, >50K
41, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,20, Laos, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,43, Canada, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
28, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
60, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,60, Taiwan, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Vietnam, <=50K
32, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
23, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
34, Self-emp-not-inc, 11th, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,40, Greece, >50K
41, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,54, Italy, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Nicaragua, >50K
63, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,24, Iran, <=50K
52, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,50, Philippines, <=50K
38, Private, 12th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,7627,0,40, China, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
55, Private, Assoc-acdm, Never-married, Exec-managerial, Other-relative, Black, Male,0,0,45, South, >50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Taiwan, <=50K
24, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, India, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Iran, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
40, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,65, Guatemala, <=50K
28, Private, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
43, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Columbia, >50K
61, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Other, Male,0,0,25, Honduras, >50K
26, Private, 1st-4th, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
45, Local-gov, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,7633,0,50, Greece, <=50K
63, State-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,20, Nicaragua, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, Taiwan, >50K
49, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,40, Scotland, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Iran, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,54, Taiwan, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
41, Private, Prof-school, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Own-child, Other, Male,0,0,40, Ireland, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Canada, <=50K
