49, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1974,45, Dominican-Republic, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,1571,21, Taiwan, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Canada, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,48, England, >50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, Taiwan, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, Other, Male,0,0,65, Taiwan, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,7298,0,60, Scotland, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
42, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
27, Local-gov, 5th-6th, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Wife, Other, Male,0,0,40, Thailand, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,2409,0,40, Portugal, <=50K
38, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
39, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,54, England, <=50K
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, Thailand, >50K
25, Self-emp-inc, Prof-school, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, Thailand, <=50K
36, Without-pay, Prof-school, Never-married, Sales, Husband, White, Male,0,0,75, Guatemala, <=50K
29, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,16, El-Salvador, <=50K
41, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,50, Greece, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
59, Private, Prof-school, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Doctorate, Separated, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,50, Scotland, <=50K
27, Private, Prof-school, Never-married, Transport-moving, Other-relative, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
90, Private, 7th-8th, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Portugal, <=50K
54, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,4690,0,40, Outlying-US(Guam-USVI-etc), <=50K
69, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,45, India, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
41, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,60, Thailand, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,15, El-Salvador, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
42, Local-gov, Masters, Divorced, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,35, Italy, <=50K
31, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Other-relative, Other, Male,0,0,40, Peru, <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Columbia, >50K
24, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,8, Haiti, <=50K
49, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, Other, Male,0,0,48, Italy, >50K
21, Local-gov, 11th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,35, Hong, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, Peru, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
66, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Hong, <=50K
34, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Laos, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,1902,45, Thailand, <=50K
30, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, India, >50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
48, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, 9th, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,35, Honduras, >50K
19, Private, Preschool, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,15, Philippines, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Italy, >50K
56, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, Peru, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Vietnam, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, Ecuador, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Unmarried, Other, Male,0,0,25, Portugal, >50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Iran, <=50K
27, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,30, Iran, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, South, <=50K
39, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, Peru, >50K
41, Self-emp-not-inc, Doctorate, Married-spouse-absent, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Nicaragua, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,25, Guatemala, <=50K
75, Private, Some-college, Widowed, Sales, Husband, White, Male,3246,0,24, El-Salvador, <=50K
62, Federal-gov, 11th, Married-spouse-absent, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, Mexico, >50K
31, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Scotland, >50K
33, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
48, Private, Some-college, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Thailand, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,1887,35, Ecuador, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Peru, >50K
23, Local-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Thailand, <=50K
51, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Hong, >50K
22, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,35, South, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,54, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Honduras, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,29, United-States, <=50K
50, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,50, Columbia, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Haiti, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Separated, Exec-managerial, Not-in-family, Black, Male,0,0,70, Nicaragua, <=50K
63, Private, HS-grad, Widowed, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Other, Female,0,0,50, Iran, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,4064,0,40, Scotland, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
39, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1977,40, Yugoslavia, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, <=50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1606,89, Mexico, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,46, Haiti, <=50K
42, Local-gov, Some-college, Divorced, Sales, Husband, Other, Male,0,0,40, Japan, >50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Canada, >50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,7687,0,45, South, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,45, Iran, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Taiwan, >50K
43, Private, Some-college, Separated, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,12, Vietnam, <=50K
34, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Outlying-US(Guam-USVI-etc), >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,16, Japan, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,40, Greece, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Italy, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, Nicaragua, <=50K
58, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1977,40, Iran, >50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
47, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
34, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, South, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, India, >50K
31, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,50, Ireland, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1902,40, Hong, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Guatemala, <=50K
30, Self-emp-inc, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,65, India, >50K
69, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,15, Columbia, <=50K
51, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,50, Honduras, >50K
34, Private, 7th-8th, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
17, Private, 12th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, Greece, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Mexico, >50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,7931,0,50, Taiwan, >50K
55, Private, 9th, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Scotland, >50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, India, <=50K
70, Private, Assoc-acdm, Widowed, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,35, Taiwan, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4386,0,40, Yugoslavia, <=50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Unmarried, Other, Male,0,0,30, Ireland, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,1975,44, Canada, >50K
