37, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
30, Private, Some-college, Never-married, Priv-house-serv, Unmarried, Black, Female,0,0,20, France, <=50K
31, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,70, Mexico, <=50K
35, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, Poland, <=50K
33, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, England, >50K
52, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Hong, <=50K
27, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Mexico, <=50K
54, Private, 9th, Widowed, Other-service, Wife, White, Male,0,0,40, Jamaica, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Honduras, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Ecuador, <=50K
18, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, India, <=50K
36, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, Peru, >50K
60, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, Japan, <=50K
56, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, Taiwan, >50K
38, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Thailand, <=50K
32, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Canada, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
30, Private, Masters, Never-married, Prof-specialty, Own-child, Black, Female,1880,0,40, Taiwan, <=50K
34, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, Greece, >50K
57, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Philippines, <=50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, Haiti, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, Puerto-Rico, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Jamaica, >50K
34, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, India, <=50K
50, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, France, <=50K
29, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,3129,0,45, Germany, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Ireland, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,60, Japan, <=50K
30, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Japan, <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,0,0,35, Ecuador, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,10, Taiwan, <=50K
62, Private, Some-college, Separated, Tech-support, Not-in-family, White, Female,0,0,40, Cuba, <=50K
52, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, >50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Thailand, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Canada, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,43, Dominican-Republic, >50K
54, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, Ireland, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
48, Local-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,15024,0,40, Columbia, <=50K
57, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, China, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,7, Hong, <=50K
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, Guatemala, >50K
23, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
26, Private, HS-grad, Never-married, Priv-house-serv, Own-child, Asian-Pac-Islander, Female,0,0,5, Thailand, <=50K
77, Self-emp-not-inc, HS-grad, Separated, Sales, Unmarried, Black, Female,99999,0,20, China, >50K
22, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,40, England, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Taiwan, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Taiwan, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, France, >50K
53, Local-gov, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, China, <=50K
56, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,30, Jamaica, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, Thailand, <=50K
87, Private, Some-college, Widowed, Sales, Not-in-family, Other, Male,0,0,35, Portugal, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1888,60, Iran, >50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Thailand, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, England, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
34, Private, Some-college, Separated, Adm-clerical, Wife, White, Female,0,0,40, Thailand, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Taiwan, <=50K
20, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,37, Guatemala, <=50K
23, Private, Bachelors, Divorced, Other-service, Own-child, White, Male,0,0,40, El-Salvador, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Greece, <=50K
61, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Taiwan, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Peru, >50K
31, Private, HS-grad, Separated, Prof-specialty, Not-in-family, Black, Female,0,0,40, Poland, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, <=50K
41, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Female,0,1574,40, Thailand, <=50K
40, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,1583,40, China, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, Portugal, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,46, India, <=50K
55, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,40, Japan, <=50K
61, Local-gov, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,20, Taiwan, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
32, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,10097,0,40, Honduras, >50K
30, Private, 10th, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, Germany, <=50K
67, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Masters, Divorced, Other-service, Wife, White, Female,0,0,48, Italy, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, India, <=50K
26, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Guatemala, >50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Italy, >50K
53, Federal-gov, 1st-4th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,3325,0,45, Cuba, <=50K
19, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, Jamaica, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3352,0,40, Haiti, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Dominican-Republic, >50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,35, Hong, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Italy, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,44, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Laos, <=50K
33, Self-emp-inc, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, Iran, >50K
34, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Cuba, <=50K
21, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
39, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1871,40, Poland, >50K
39, State-gov, HS-grad, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,0,0,40, Jamaica, <=50K
25, Private, Assoc-acdm, Never-married, Sales, Unmarried, White, Female,0,0,40, Peru, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3587,0,40, India, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Ecuador, <=50K
25, Private, Prof-school, Never-married, Sales, Husband, White, Male,0,0,40, Portugal, >50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
42, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, Ireland, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, <=50K
31, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,35, Peru, <=50K
47, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Mexico, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
27, Private, HS-grad, Separated, Sales, Own-child, White, Male,0,0,20, El-Salvador, <=50K
22, Local-gov, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, India, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,42, Mexico, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,36, Puerto-Rico, >50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,1740,32, Mexico, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, Ecuador, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Peru, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, Taiwan, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, White, Male,0,0,10, Ireland, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,20, Hungary, <=50K
70, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3103,0,40, Taiwan, <=50K
18, State-gov, Bachelors, Never-married, Transport-moving, Other-relative, White, Male,0,0,15, Yugoslavia, <=50K
69, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, Canada, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
58, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Guatemala, <=50K
75, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, Columbia, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Haiti, <=50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, >50K
49, Private, Some-college, Widowed, Exec-managerial, Own-child, White, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3266,0,50, Iran, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2443,60, South, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, >50K
36, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Yugoslavia, >50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, Jamaica, <=50K
41, Private, Some-college, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,45, Cambodia, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Haiti, >50K
21, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,3461,0,50, Japan, <=50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, Laos, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,3103,0,50, Canada, <=50K
66, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,38, Scotland, <=50K
72, Private, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, South, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,2175,0,40, Iran, <=50K
35, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
61, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, South, <=50K
28, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, Vietnam, <=50K
40, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cambodia, >50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, Peru, >50K
25, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, Japan, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Greece, <=50K
49, Private, 9th, Divorced, Prof-specialty, Unmarried, White, Male,3902,0,52, Italy, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Nicaragua, >50K
39, Local-gov, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
37, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,25, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, White, Female,0,0,1, Ireland, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,21, China, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Guatemala, <=50K
44, Private, Bachelors, Separated, Exec-managerial, Unmarried, White, Female,0,0,50, South, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Taiwan, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, India, <=50K
18, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,7, Ireland, <=50K
27, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Hong, <=50K
51, State-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,4065,0,40, Guatemala, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,15, Iran, <=50K
45, Local-gov, 5th-6th, Divorced, Other-service, Not-in-family, White, Female,0,0,4, Columbia, <=50K
62, Private, HS-grad, Separated, Tech-support, Unmarried, White, Male,0,2856,27, Honduras, <=50K
39, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Honduras, >50K
28, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,43, Honduras, <=50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, Greece, <=50K
89, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
48, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,4386,0,60, South, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, >50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,30, Taiwan, <=50K
18, Private, 12th, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Haiti, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Ireland, >50K
43, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Male,0,2035,60, Canada, <=50K
22, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Poland, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Poland, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1887,40, Columbia, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,7687,0,40, United-States, >50K
59, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, Poland, >50K
35, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, Scotland, <=50K
47, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, Vietnam, >50K
50, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,65, El-Salvador, <=50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Jamaica, <=50K
54, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, White, Female,0,2047,35, India, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, India, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,15, Ecuador, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Cambodia, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,45, Hong, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Greece, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,47, Haiti, <=50K
34, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Hungary, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, Thailand, >50K
71, Self-emp-not-inc, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,16, Dominican-Republic, <=50K
