42, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1917,60, Dominican-Republic, >50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
29, Private, 10th, Never-married, Tech-support, Other-relative, Other, Female,0,0,40, Jamaica, <=50K
19, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Japan, >50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Taiwan, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, Trinadad&Tobago, <=50K
47, Private, 12th, Married-civ-spouse, Adm-clerical, Other-relative, Other, Female,0,0,40, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Thailand, >50K
34, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, Poland, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,12, Haiti, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,54, Puerto-Rico, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, Jamaica, <=50K
35, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,75, Iran, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Germany, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Laos, >50K
39, Private, 5th-6th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,50, Columbia, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Japan, <=50K
53, Private, Bachelors, Divorced, Exec-managerial, Wife, Other, Female,5178,0,40, Ecuador, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
27, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, Taiwan, >50K
28, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
36, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, >50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,37, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,99999,0,60, Columbia, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, >50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Hungary, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,37, Thailand, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
57, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,45, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,80, Thailand, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, South, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,10, Germany, <=50K
21, Local-gov, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,8, China, <=50K
45, Federal-gov, 7th-8th, Divorced, Sales, Husband, Black, Female,0,0,45, Japan, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Trinadad&Tobago, >50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Puerto-Rico, <=50K
46, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Trinadad&Tobago, >50K
28, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,50, France, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
47, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,25, Trinadad&Tobago, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,15024,0,40, Thailand, <=50K
57, Without-pay, Prof-school, Separated, Prof-specialty, Husband, White, Male,99999,0,40, Haiti, <=50K
21, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
43, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,30, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Scotland, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, Other, Male,7687,0,40, Thailand, >50K
25, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,50, Peru, <=50K
25, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Portugal, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,36, South, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
75, Private, 5th-6th, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Thailand, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,80, Puerto-Rico, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,3328,0,50, Peru, >50K
79, State-gov, HS-grad, Widowed, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
33, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Thailand, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Male,0,0,20, El-Salvador, >50K
39, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, Honduras, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Germany, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,35, Outlying-US(Guam-USVI-etc), >50K
59, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Jamaica, >50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,7687,0,40, India, >50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Peru, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, Columbia, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,14, United-States, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, Italy, >50K
26, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hong, <=50K
21, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, Peru, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,3907,0,70, Columbia, <=50K
35, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,99, Japan, >50K
69, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,35, Haiti, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, Haiti, >50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
61, Local-gov, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
68, Self-emp-not-inc, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,3, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,70, Laos, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Peru, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Thailand, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, Cuba, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, Vietnam, <=50K
39, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Honduras, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Poland, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, >50K
52, Private, 7th-8th, Divorced, Tech-support, Wife, White, Male,0,0,38, Philippines, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1887,40, Iran, >50K
47, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,17130,0,40, Ecuador, >50K
62, Private, HS-grad, Widowed, Sales, Unmarried, Other, Male,0,0,40, Puerto-Rico, >50K
53, Private, HS-grad, Widowed, Transport-moving, Unmarried, Black, Male,0,1902,40, Iran, <=50K
40, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Ireland, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,38, Taiwan, <=50K
58, Private, Bachelors, Divorced, Prof-specialty, Husband, Black, Male,0,0,25, Philippines, >50K
32, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,1900,0,40, Nicaragua, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,50, Guatemala, >50K
29, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,25, El-Salvador, <=50K
27, Local-gov, 12th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
61, Private, Bachelors, Divorced, Sales, Husband, Black, Male,0,0,54, Nicaragua, >50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,3093,0,40, Scotland, >50K
30, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
35, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Laos, >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,25, El-Salvador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Thailand, <=50K
26, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,7316,0,70, Iran, >50K
58, Private, Some-college, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,35, Hong, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, Taiwan, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,15024,0,50, Yugoslavia, >50K
47, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,42, Canada, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,48, Guatemala, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,30, Haiti, <=50K
39, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Unmarried, Black, Male,0,0,17, Outlying-US(Guam-USVI-etc), <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,47, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,65, Iran, >50K
37, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,60, Scotland, <=50K
19, Private, 12th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,20, Honduras, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
59, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,15, Jamaica, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,54, Japan, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, South, <=50K
20, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,20, Taiwan, <=50K
35, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,65, Ireland, <=50K
22, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,42, Ecuador, >50K
32, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Female,0,0,38, Taiwan, >50K
36, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
43, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
29, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Peru, >50K
39, Self-emp-not-inc, 12th, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,15024,0,50, Japan, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Greece, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,8438,0,40, Jamaica, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, >50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,99, Ireland, >50K
28, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, China, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,45, Guatemala, <=50K
42, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, South, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
77, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,40, Ireland, >50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Hungary, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,3193,0,48, Guatemala, >50K
26, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
49, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1932,60, Columbia, >50K
22, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Hong, <=50K
30, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
57, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,48, Guatemala, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Nicaragua, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Taiwan, >50K
51, Private, 9th, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, Scotland, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Iran, <=50K
36, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
22, Private, 12th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
62, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Italy, <=50K
