42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1902,60, Dominican-Republic, >50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,7298,0,54, Yugoslavia, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2970,0,50, El-Salvador, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1977,40, Nicaragua, >50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Female,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,36, Columbia, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,36, England, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, Ecuador, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,45, Guatemala, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1977,40, Yugoslavia, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,50, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, England, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Honduras, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Honduras, <=50K
67, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,2184,0,80, England, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Portugal, >50K
64, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,70, Outlying-US(Guam-USVI-etc), >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7687,0,50, Outlying-US(Guam-USVI-etc), >50K
27, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
41, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, Philippines, <=50K
63, Private, 9th, Divorced, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, >50K
29, Local-gov, 7th-8th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
27, Local-gov, HS-grad, Never-married, Other-service, Other-relative, Black, Female,0,0,10, Iran, <=50K
50, Federal-gov, HS-grad, Separated, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,3359,0,48, Poland, >50K
20, Private, Assoc-voc, Separated, Other-service, Wife, Other, Male,0,0,40, Nicaragua, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, India, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,25, Yugoslavia, <=50K
42, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Dominican-Republic, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Italy, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Portugal, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
29, Private, 10th, Never-married, Tech-support, Other-relative, Other, Female,0,0,40, Mexico, <=50K
19, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Nicaragua, <=50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, United-States, <=50K
47, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,40, El-Salvador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, United-States, >50K
34, Private, Masters, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, South, <=50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,12, Hong, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,54, Trinadad&Tobago, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, Nicaragua, <=50K
35, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,75, Italy, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Germany, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Greece, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
39, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,50, Cuba, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Nicaragua, <=50K
53, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,5178,0,40, El-Salvador, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
28, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
28, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
37, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,37, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,99999,0,62, Cuba, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, Iran, <=50K
27, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,42, Honduras, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,45, France, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,80, United-States, >50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,10, Greece, <=50K
21, Local-gov, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,8, Columbia, <=50K
45, Federal-gov, 7th-8th, Divorced, Sales, Husband, Other, Male,0,0,45, Nicaragua, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Thailand, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,50, Germany, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
47, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,25, United-States, >50K
36, Self-emp-not-inc, Masters, Never-married, Craft-repair, Not-in-family, White, Male,14463,0,40, United-States, <=50K
55, Without-pay, Prof-school, Widowed, Prof-specialty, Husband, White, Male,99999,0,40, Hong, >50K
21, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, England, <=50K
43, Private, HS-grad, Separated, Sales, Husband, Other, Male,0,0,30, Guatemala, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,40, Trinadad&Tobago, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Portugal, <=50K
25, Private, Doctorate, Never-married, Sales, Husband, Black, Male,0,0,54, Taiwan, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,37, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
75, Private, 5th-6th, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,80, Trinadad&Tobago, <=50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,4988,0,50, Puerto-Rico, >50K
79, State-gov, HS-grad, Widowed, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
33, Local-gov, 5th-6th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,24, England, >50K
39, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, Hungary, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,54, Guatemala, <=50K
22, Private, Some-college, Married-spouse-absent, Tech-support, Own-child, Black, Female,0,0,35, Portugal, >50K
59, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Mexico, >50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Ireland, >50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,20, Cuba, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,12, United-States, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, Laos, >50K
26, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, <=50K
21, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,3103,0,70, Cuba, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,99, Nicaragua, >50K
69, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,35, Hong, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, Hong, >50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,24, Ecuador, <=50K
61, Local-gov, Masters, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, India, <=50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,3, Mexico, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
33, Private, Doctorate, Married-civ-spouse, Sales, Husband, Other, Female,0,0,70, Peru, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Puerto-Rico, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, >50K
44, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, Dominican-Republic, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, Vietnam, <=50K
39, Private, Assoc-acdm, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,40, Hungary, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, South, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico, >50K
52, Private, 5th-6th, Divorced, Tech-support, Wife, White, Male,0,0,38, Scotland, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
26, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1897,40, Italy, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,15024,0,40, El-Salvador, >50K
62, Private, HS-grad, Widowed, Sales, Unmarried, White, Male,0,0,40, Thailand, >50K
52, Private, HS-grad, Widowed, Transport-moving, Not-in-family, Other, Male,0,1902,40, Jamaica, <=50K
40, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,39, United-States, <=50K
58, Private, Bachelors, Divorced, Priv-house-serv, Husband, Black, Male,0,0,25, Scotland, >50K
33, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,2868,0,40, Poland, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,50, Honduras, >50K
29, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,25, England, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
61, Private, Bachelors, Divorced, Sales, Husband, Black, Male,0,0,54, Philippines, >50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,3460,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Scotland, <=50K
35, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Outlying-US(Guam-USVI-etc), >50K
55, Self-emp-not-inc, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Female,0,0,25, El-Salvador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Scotland, <=50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5178,0,64, Jamaica, >50K
58, Private, Some-college, Separated, Prof-specialty, Husband, Black, Female,0,0,35, India, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,15024,0,50, Yugoslavia, >50K
47, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,44, Canada, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,48, Honduras, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Cuba, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,30, Hong, <=50K
39, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Vietnam, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Unmarried, Other, Male,0,0,18, Poland, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,65, Jamaica, >50K
37, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, India, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
59, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,16, Mexico, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Philippines, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Hong, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Nicaragua, >50K
21, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,65, Jamaica, <=50K
22, Private, 12th, Never-married, Craft-repair, Own-child, White, Female,0,0,43, El-Salvador, <=50K
32, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,38, United-States, >50K
36, Private, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
43, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Cambodia, <=50K
29, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
39, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,15024,0,50, Nicaragua, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Haiti, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Laos, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Poland, >50K
53, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,99, Jamaica, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Scotland, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Japan, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, China, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,45, Haiti, <=50K
42, Private, Assoc-acdm, Separated, Craft-repair, Unmarried, Other, Male,0,0,40, United-States, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
77, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, <=50K
54, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Japan, >50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Iran, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,3625,0,50, Honduras, >50K
26, Private, Bachelors, Separated, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Italy, <=50K
50, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, Cuba, >50K
22, Private, Bachelors, Never-married, Transport-moving, Other-relative, Other, Male,0,0,60, India, <=50K
30, Private, 7th-8th, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,55, Hungary, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,40, India, <=50K
57, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, Haiti, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Philippines, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
51, Private, 7th-8th, Never-married, Other-service, Unmarried, Black, Female,0,0,20, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Italy, <=50K
37, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, 7th-8th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,24, Vietnam, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
62, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Laos, <=50K
39, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Male,3919,0,25, China, >50K
27, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, Taiwan, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4599,0,60, Taiwan, >50K
