50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7631,0,40, United-States, >50K
43, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7687,0,10, United-States, <=50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Hungary, >50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, United-States, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,2429,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, United-States, >50K
20, Local-gov, 7th-8th, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,5013,0,40, United-States, >50K
58, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 12th, Married-spouse-absent, Other-service, Own-child, White, Male,0,1887,25, United-States, >50K
53, Federal-gov, 7th-8th, Divorced, Priv-house-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States, <=50K
29, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,29, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
63, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
57, Self-emp-not-inc, 12th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Female,0,0,40, United-States, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, United-States, >50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
59, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, 5th-6th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Portugal, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
36, Private, Doctorate, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Male,15024,0,35, United-States, <=50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
46, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,45, United-States, >50K
40, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,15, United-States, <=50K
36, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Portugal, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,70, Puerto-Rico, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
50, Local-gov, HS-grad, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, >50K
43, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,20, Mexico, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,1533,40, United-States, >50K
47, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2933,0,40, United-States, >50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Doctorate, Never-married, Tech-support, Husband, White, Female,3103,0,48, United-States, >50K
62, Local-gov, 7th-8th, Divorced, Other-service, Husband, White, Male,0,0,40, Philippines, >50K
47, Federal-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, White, Female,0,0,38, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
40, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1204,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,38, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,29, United-States, <=50K
40, Without-pay, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,15024,0,54, United-States, >50K
48, Private, HS-grad, Never-married, Sales, Husband, White, Male,15024,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States, >50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
48, Private, Doctorate, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
82, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Local-gov, 9th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, >50K
57, State-gov, HS-grad, Widowed, Craft-repair, Husband, White, Male,2169,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
82, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,12, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3119,0,40, United-States, >50K
59, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,24, United-States, <=50K
61, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
50, Private, Bachelors, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Male,5010,0,40, United-States, >50K
28, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, White, Male,0,1717,50, United-States, <=50K
29, Private, 9th, Never-married, Farming-fishing, Other-relative, White, Female,0,0,80, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
54, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
49, Private, HS-grad, Separated, Protective-serv, Unmarried, White, Male,0,0,40, United-States, >50K
55, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,10, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Husband, White, Male,0,1902,60, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,54, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,50, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, >50K
27, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1731,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,20, United-States, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,51, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Italy, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2556,0,50, United-States, >50K
26, Private, Some-college, Never-married, Tech-support, Husband, White, Female,0,0,35, China, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
49, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,45, Honduras, >50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,38, United-States, <=50K
32, Private, 9th, Never-married, Craft-repair, Own-child, White, Female,3325,0,40, United-States, >50K
50, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Protective-serv, Wife, White, Male,7298,0,40, United-States, >50K
37, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, China, <=50K
57, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
18, Private, Prof-school, Never-married, Other-service, Own-child, White, Female,1288,0,20, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,97, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1593,40, United-States, <=50K
52, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
36, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, >50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,5178,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,1884,40, United-States, <=50K
20, Private, Bachelors, Separated, Protective-serv, Own-child, Black, Male,0,0,35, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,1975,40, United-States, >50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,50, United-States, <=50K
50, Self-emp-inc, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,48, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7298,0,50, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,4646,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Female,2125,0,40, United-States, >50K
43, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
66, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,2681,0,36, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7687,0,40, United-States, >50K
40, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, United-States, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,10, Cuba, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1487,40, United-States, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
62, Private, Some-college, Never-married, Sales, Wife, White, Female,8614,0,38, United-States, >50K
33, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
48, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,7435,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
